tau,gamma
1e-07,5.948610932904686e-05
1.1097524964120721e-07,0.0003059731875182634
1.2315506032928263e-07,0.0010705735949483148
1.3667163564620074e-07,0.00262777041021366
1.5167168884709241e-07,0.004803631623795817
1.6831803533309585e-07,0.0071498093865014255
1.867913599020781e-07,0.00945401195083375
2.0729217795953698e-07,0.01171830264304264
2.300430119772917e-07,0.013998175738668623
2.5529080682395163e-07,0.016297755551576126
2.833096101839324e-07,0.018602828409625988
3.1440354715915e-07,0.020923360071735637
3.489101213406774e-07,0.023245473470136693
3.872038781812557e-07,0.025592077920276797
4.2970047043208437e-07,0.02794097314509609
4.768611697714474e-07,0.030314581762733776
5.291978735958437e-07,0.032695792046178916
5.872786613189477e-07,0.03509693652108163
6.517339604882421e-07,0.03751586291376171
7.232633896483533e-07,0.03994611260463128
8.026433522257174e-07,0.042405659291904006
8.907354638610439e-07,0.04486823404486076
9.884959046625586e-07,0.047368626915996685
1.096985797892384e-06,0.04986845008549021
1.217382727739662e-06,0.05240769985944128
1.3509935211980278e-06,0.054950383289966834
1.499268432786047e-06,0.05752564204141618
1.6638168860761274e-06,0.06011586833321755
1.8464249428955464e-06,0.06272512969125778
2.049074689815846e-06,0.06536500287623116
2.2739657523579273e-06,0.06800846703552503
2.523539170434766e-06,0.07069653359983864
2.800503894183631e-06,0.07337701608184406
3.107866187782014e-06,0.07610843738362051
3.4489622604057595e-06,0.07883053124448901
3.827494478516315e-06,0.08159846491250096
4.247571552536894e-06,0.08436665003582461
4.713753134116729e-06,0.08716440435586147
5.2310993080562585e-06,0.08998074958604846
5.805225516094895e-06,0.0928039113926189
6.44236350872137e-06,0.09566624932106295
7.149428986597577e-06,0.09851391155091113
7.934096665797492e-06,0.10141526586901715
8.804883581643465e-06,0.1042897532257318
9.771241535346501e-06,0.10721937388103384
1.0843659686896109e-05,0.11012440661128499
1.2033778407775906e-05,0.11307015924621193
1.3354515629298974e-05,0.11600801320187178
1.48202070579886e-05,0.11895930381002039
1.6446761779946626e-05,0.12192797917515515
1.8251834943190462e-05,0.12487810277526037
2.0255019392306664e-05,0.12786960773754727
2.2478058335487252e-05,0.13081653239463528
2.4945081352303165e-05,0.13381705186213394
2.7682866303920665e-05,0.1367621748444544
3.072112998861759e-05,0.1397542235110429
3.409285069746814e-05,0.14269939170160845
3.783462617131933e-05,0.1456652820192697
4.1987070844439056e-05,0.14860907481328828
4.659525668664687e-05,0.15153445928177878
5.170920242896755e-05,0.15446910611615533
5.7384416483024044e-05,0.15734522155150196
6.368249944718586e-05,0.16025539316794385
7.067181273927492e-05,0.16307902989354894
7.842822061337681e-05,0.16594311401685127
8.703591361485166e-05,0.16871414157286843
9.658832241158708e-05,0.17150769801789428
0.00010718913192051276,0.17422491533590342
0.00011895340673703195,0.17692514011678112
0.0001320088400831418,0.17958192450008312
0.00014649713983072864,0.18217148033233171
0.0001625755666443795,0.1847528925997056
0.00018041864093920718,0.18722159747193326
0.00020022003718155845,0.18970415189333026
0.0002221946860939524,0.19204774768731933
0.0002465811075822604,0.19440210762923205
0.0002736439997074672,0.19661841127291074
0.00030367711180354605,0.19881416289884024
0.00033700643292719284,0.20089793329283176
0.0003739937302478798,0.20290874371366752
0.0004150404757850477,0.20484717277963385
0.00046059220411451084,0.2066544025201816
0.0005111433483440171,0.2084250066802784
0.0005672426068491978,0.21001834725832114
0.0006294988990221888,0.2115902084547087
0.0006985879746785249,0.21296499950474784
0.0007752597488629464,0.21430306887471015
0.000860346441668451,0.21545522261707012
0.0009547716114208065,0.21652621815965623
0.001059560179277617,0.21744665312575898
0.0011758495540521582,0.218224420850136
0.0013049019780144017,0.21889518550522089
0.001448118227674533,0.219363535527836
0.0016070528182616384,0.21975724615152512
0.0017834308769319094,0.21990920359806349
0.0019791668678535573,0.21999221679890785
0.002196385372416547,0.2198259929737687
0.002437444150122222,0.2195642088645001
0.002704959730463137,0.2190770297280536
0.0030018358135755923,0.21844101761829926
0.003331294787934677,0.2176220060024484
0.0036969127071950323,0.21659382005760247
0.00410265810582719,0.2154425561017289
0.004552935074866948,0.21409470467983088
0.00505263106533568,0.21283600062320612
0.005607169938205458,0.2118133715442681
0.006222570836730231,0.21193891179050103
0.006905513520162331,0.21460911203261876
0.007663410868007463,0.2222720649183861
0.008504489341802686,0.23517258731273769
0.009437878277775391,0.24623142989224742
0.010473708979594508,0.243960555215702
0.011623224686798541,0.22724094127348193
0.01289890261253308,0.20766874715032635
0.014314589375234785,0.1939089680536917
0.015885651294280528,0.1858722270600439
0.01762914118095948,0.18024662853732162
0.01956398343517065,0.1754433714157252
0.021711179456945052,0.1708823163001314
0.02409403560239527,0.16648081278146584
0.026738416158399492,0.1620571472496541
0.029673024081888724,0.1575341763908673
0.032929712550971546,0.15293635786028573
0.036543830709572546,0.14819458936923197
0.040554607358408275,0.1434214155800424
0.04500557675700498,0.13851485511951517
0.0499450511585514,0.13360509486195518
0.05542664520663107,0.12859744101987858
0.06150985788580504,0.1235947697921898
0.06826071834272393,0.11854755930838985
0.0757525025877192,0.11350283003704467
0.08406652885618333,0.10847231560272283
0.09329304026284696,0.10344325890638603
0.10353218432956637,0.09847959975249318
0.11489510001873086,0.0935276365275618
0.1275051240713013,0.08867628044789345
0.1414991297434576,0.08386174815099279
0.15702901247293774,0.07916567435251588
0.17426333860096507,0.07454314112803827
0.19338917504552322,0.07004442345144903
0.21461411978584058,0.06565952920845629
0.23816855519761607,0.06139922298663083
0.2643081486974108,0.05728767941365466
0.29331662783900486,0.05330395740528705
0.32550885998350565,0.04949238388693809
0.36123426997094304,0.04581768167288537
0.40088063288984643,0.04232529810956386
0.4448782831127585,0.03898360816775278
0.4937047852839004,0.03582369840422551
0.5478901179593945,0.032828966292457
0.6080224261649427,0.0300094267012375
0.67475440531107,0.02736542372836921
0.748810385759003,0.02488834742783387
0.8309941949353403,0.02258975342624783
0.9221978823334341,0.02045053045588129
1.0234114021054528,0.018484566199281235
1.135733358343105,0.01667117122513008
1.2603829296797273,0.01501911075970527
1.3987131026472386,0.013512076691946292
1.552225357427048,0.012150271923049258
1.7225859653987874,0.010923469720697474
1.9116440753857036,0.009823919839382973
2.121451784910632,0.008845914159711503
2.35428641432242,0.007976689580273344
2.612675225563332,0.007212289971536253
2.8994228538828812,0.006538161189724881
3.2176417502507353,0.0059498748140290585
3.5707859649004625,0.005433335087893302
3.9626886387014784,0.004982642789811952
4.397603609302721,0.0045852899990175815
4.880251583654434,0.00423388365213538
5.415871378079476,0.003918003131514207
6.010276782070388,0.0036291195614804516
6.669919663030129,0.0033592329118052864
7.401959996915652,0.0030993421676637455
8.214343584919439,0.0028441234345952934
9.115888299750837,0.0025845554101854244
10.11637979766207,0.002317251636863378
11.226677735108158,0.0020359751341529407
12.458833642950081,0.0017416435580374788
13.826221737646593,0.0014287375191589587
15.343684089300131,0.0010872494233077755
17.02769172225898,0.000720510105744123
18.896523396912116,0.00037922205708396144
20.970464013232306,0.00014586429146692752
23.27202478960412,3.8952847613937794e-05
25.826187606826746,7.04224310399679e-06
28.66067616948256,8.523962304893963e-07
31.80625692794119,6.875575323376455e-08
35.297073027306574,3.688786258780404e-09
39.17101490809261,1.315306374135401e-10
43.47013158125035,3.11603440796915e-12
48.241087041653735,4.9040389241118426e-14
53.535666774107185,5.126954084282378e-16
59.411339849650396,3.5604894194574766e-18
65.93188271333541,1.6424835869320484e-20
73.16807143427206,5.0330582105136324e-23
81.19844993184009,1.0244761222043665e-25
90.11018251665037,1.385193535216974e-28
100.0,1.2441069053187858e-31
