tau,gamma
1e-07,8.999499657253488e-05
1.1097524964120721e-07,0.00046284633676212355
1.2315506032928263e-07,0.0016190230432402376
1.3667163564620074e-07,0.003971563481973679
1.5167168884709241e-07,0.007251321065650698
1.6831803533309585e-07,0.010771066661327388
1.867913599020781e-07,0.014202190710207615
2.0729217795953698e-07,0.017541920197365626
2.300430119772917e-07,0.0208681159193636
2.5529080682395163e-07,0.024182013992964924
2.833096101839324e-07,0.027455941971420685
3.1440354715915e-07,0.03070073208809038
3.489101213406774e-07,0.03389076215249746
3.872038781812557e-07,0.037056098267531826
4.2970047043208437e-07,0.04016063591973091
4.768611697714474e-07,0.043232712282991734
5.291978735958437e-07,0.046246006643547284
5.872786613189477e-07,0.04921329860852676
6.517339604882421e-07,0.052131500696660796
7.232633896483533e-07,0.05498663273587349
8.026433522257174e-07,0.057804270017792474
8.907354638610439e-07,0.060544453834340414
9.884959046625586e-07,0.0632544441750141
1.096985797892384e-06,0.06588104230106755
1.217382727739662e-06,0.06847563902683917
1.3509935211980278e-06,0.07099231923369015
1.499268432786047e-06,0.07346513037926793
1.6638168860761274e-06,0.07587550793913464
1.8464249428955464e-06,0.07822363397158598
2.049074689815846e-06,0.08052927335246668
2.2739657523579273e-06,0.08275463313605455
2.523539170434766e-06,0.08495425477716699
2.800503894183631e-06,0.08706346103674345
3.107866187782014e-06,0.08915371037857237
3.4489622604057595e-06,0.09115643268938298
3.827494478516315e-06,0.09313394344440505
4.247571552536894e-06,0.09504031362839024
4.713753134116729e-06,0.09690425666953438
5.2310993080562585e-06,0.0987222767353136
5.805225516094895e-06,0.10047635883915348
6.44236350872137e-06,0.1022103010708334
7.149428986597577e-06,0.10386335929662108
7.934096665797492e-06,0.10551378556298796
8.804883581643465e-06,0.10707864762444895
9.771241535346501e-06,0.10864406067849106
1.0843659686896109e-05,0.11013500762019349
1.2033778407775906e-05,0.11161451978890038
1.3354515629298974e-05,0.1130442380789326
1.48202070579886e-05,0.11444024480712181
1.6446761779946626e-05,0.11581737925514192
1.8251834943190462e-05,0.11713720892833795
2.0255019392306664e-05,0.118465438656464
2.2478058335487252e-05,0.11972132265590865
2.4945081352303165e-05,0.12100034696414512
2.7682866303920665e-05,0.12220767742943975
3.072112998861759e-05,0.12343581134800898
3.409285069746814e-05,0.12461030055801256
3.783462617131933e-05,0.1257877919124536
4.1987070844439056e-05,0.12694257982369303
4.659525668664687e-05,0.1280744880149338
5.170920242896755e-05,0.12921830071681983
5.7384416483024044e-05,0.13031592641601333
6.368249944718586e-05,0.13145303882228482
7.067181273927492e-05,0.13253341288543757
7.842822061337681e-05,0.13366553174082432
8.703591361485166e-05,0.13474917008455906
9.658832241158708e-05,0.13587865294830875
0.00010718913192051276,0.13698640172494478
0.00011895340673703195,0.13811971488835703
0.0001320088400831418,0.13926981863448687
0.00014649713983072864,0.14041999964238105
0.0001625755666443795,0.14162641336058782
0.00018041864093920718,0.14281359850269723
0.00020022003718155845,0.14408607677144636
0.0002221946860939524,0.14533577914318488
0.0002465811075822604,0.1466815915512458
0.0002736439997074672,0.14802114267629143
0.00030367711180354605,0.14944763363165706
0.00033700643292719284,0.15090176591211552
0.0003739937302478798,0.15241861903413223
0.0004150404757850477,0.15400537540157644
0.00046059220411451084,0.1556254713792293
0.0005111433483440171,0.1573534355656852
0.0005672426068491978,0.15909158506526258
0.0006294988990221888,0.16095892657237246
0.0006985879746785249,0.16282838413519857
0.0007752597488629464,0.16482363607224243
0.000860346441668451,0.16683164151297358
0.0009547716114208065,0.16894145130047622
0.001059560179277617,0.17111795829582355
0.0011758495540521582,0.17345611918534606
0.0013049019780144017,0.17615349776595618
0.001448118227674533,0.17943374180358743
0.0016070528182616384,0.1837248071590069
