tau,gamma
1e-07,6.15711366834369e-06
1.1097524964120721e-07,5.289016452781914e-05
1.2315506032928263e-07,0.0002654270621275433
1.3667163564620074e-07,0.000786587459078514
1.5167168884709241e-07,0.0014230429305990236
1.6831803533309585e-07,0.0017188397505020657
1.867913599020781e-07,0.0016404590738824361
2.0729217795953698e-07,0.0014487818219254367
2.300430119772917e-07,0.0012629642678939725
2.5529080682395163e-07,0.0011165879286453855
2.833096101839324e-07,0.0009970157457795134
3.1440354715915e-07,0.0009057089933780522
3.489101213406774e-07,0.0008318267066901735
3.872038781812557e-07,0.000775716273779318
4.2970047043208437e-07,0.0007310221338997267
4.768611697714474e-07,0.0006966361436336375
5.291978735958437e-07,0.0006700710013854398
5.872786613189477e-07,0.000648304837958138
6.517339604882421e-07,0.0006324278198353906
7.232633896483533e-07,0.0006176115986132935
8.026433522257174e-07,0.0006078632598319107
8.907354638610439e-07,0.00059765698504018
9.884959046625586e-07,0.0005923286704953288
1.096985797892384e-06,0.0005874090323118278
1.217382727739662e-06,0.0005876321608640146
1.3509935211980278e-06,0.0005909470001435543
1.499268432786047e-06,0.000600390205435956
1.6638168860761274e-06,0.0006169346828768525
1.8464249428955464e-06,0.0006420918454108801
2.049074689815846e-06,0.0006803140620055161
2.2739657523579273e-06,0.0007328772626461858
2.523539170434766e-06,0.0008087260157020032
2.800503894183631e-06,0.0009110322295024688
3.107866187782014e-06,0.001054444185403915
3.4489622604057595e-06,0.0012440346055133166
3.827494478516315e-06,0.0014953766425434406
4.247571552536894e-06,0.001798054509042961
4.713753134116729e-06,0.0021454570938345165
5.2310993080562585e-06,0.0024635901188507303
5.805225516094895e-06,0.0027035745983842456
6.44236350872137e-06,0.002796054582330209
7.149428986597577e-06,0.0026693119570199066
7.934096665797492e-06,0.0024156673968370995
8.804883581643465e-06,0.0020629992969320933
9.771241535346501e-06,0.0016953127734706456
1.0843659686896109e-05,0.001375957751716777
1.2033778407775906e-05,0.0011155696906128977
1.3354515629298974e-05,0.0009214896952572676
1.48202070579886e-05,0.0007778730603670817
1.6446761779946626e-05,0.0006766787121647287
1.8251834943190462e-05,0.0006031089594343115
2.0255019392306664e-05,0.0005531616300415321
2.2478058335487252e-05,0.0005173776641507728
2.4945081352303165e-05,0.0004955723512568988
2.7682866303920665e-05,0.00048167181929995327
3.072112998861759e-05,0.0004768235936694834
3.409285069746814e-05,0.00047690407895102107
3.783462617131933e-05,0.00048258196865758166
4.1987070844439056e-05,0.0004911840506702721
4.659525668664687e-05,0.0005015032542455273
5.170920242896755e-05,0.0005127669633390592
5.7384416483024044e-05,0.0005210077398412165
6.368249944718586e-05,0.0005285229260431501
7.067181273927492e-05,0.0005294393635904355
7.842822061337681e-05,0.0005289061040607751
8.703591361485166e-05,0.0005223283384442788
9.658832241158708e-05,0.0005148186573891704
0.00010718913192051276,0.0005054336732604863
0.00011895340673703195,0.0004967712788090176
0.0001320088400831418,0.0004908768461122903
0.00014649713983072864,0.00048772813268064386
0.0001625755666443795,0.0004909462542787002
0.00018041864093920718,0.0004989498072096301
0.00020022003718155845,0.0005164496459089965
0.0002221946860939524,0.0005415528252944777
0.0002465811075822604,0.0005803945088790269
0.0002736439997074672,0.0006323135361852314
0.00030367711180354605,0.0007062402441697127
0.00033700643292719284,0.0008060350447287642
0.0003739937302478798,0.0009486063581701438
0.0004150404757850477,0.0011556097922292353
0.00046059220411451084,0.0014946819349876952
0.0005111433483440171,0.002261310167237813
0.0005672426068491978,0.005376425130977524
0.0006294988990221888,0.02358740499522148
0.0006985879746785249,0.12750520039105406
0.0007752597488629464,0.5497663109325513
0.000860346441668451,1.5357560260894587
0.0009547716114208065,2.5811838465414283
0.001059560179277617,2.550079454932121
0.0011758495540521582,1.4718798206640296
0.0013049019780144017,0.4972431899626154
0.001448118227674533,0.09985618616754559
0.0016070528182616384,0.012965701981792862
0.0017834308769319094,0.001783717498909044
0.0019791668678535573,0.0007043814088972899
0.002196385372416547,0.0005162182035578135
0.002437444150122222,0.0004270870742647998
0.002704959730463137,0.0003725848208552723
0.0030018358135755923,0.0003399599849526293
0.003331294787934677,0.00032505851191751487
0.0036969127071950323,0.0003262764590822928
0.00410265810582719,0.0003573563958649737
0.004552935074866948,0.0006721575399145596
0.00505263106533568,0.004457990443636769
0.005607169938205458,0.033614051148121514
0.006222570836730231,0.16315306558152015
0.006905513520162331,0.495375168270324
0.007663410868007463,1.0318563042624675
0.008504489341802686,1.6921946508670096
0.009437878277775391,2.234078518945603
0.010473708979594508,2.0892683712147546
0.011623224686798541,1.231039331854258
0.01289890261253308,0.43343033716883994
0.014314589375234785,0.08966671990924426
0.015885651294280528,0.010966495938235565
0.01762914118095948,0.0008997645245035481
0.01956398343517065,0.0001361153441650838
0.021711179456945052,8.125402875167875e-05
0.02409403560239527,6.428900184573238e-05
0.026738416158399492,5.315182041611781e-05
0.029673024081888724,4.499981666248828e-05
0.032929712550971546,3.903089305228586e-05
0.036543830709572546,3.433838397184145e-05
0.040554607358408275,3.078900815028349e-05
0.04500557675700498,2.7870504760534032e-05
0.0499450511585514,2.5628261922728477e-05
0.05542664520663107,2.37516161616511e-05
0.06150985788580504,2.2300702428933466e-05
0.06826071834272393,2.1109620618595473e-05
0.0757525025877192,2.019156426143046e-05
0.08406652885618333,1.9498357149574033e-05
0.09329304026284696,1.8980217845529784e-05
0.10353218432956637,1.8683839139295475e-05
0.11489510001873086,1.8504642042349588e-05
0.1275051240713013,1.8559461858894357e-05
0.1414991297434576,1.8712289620415967e-05
0.15702901247293774,1.91219641442045e-05
0.17426333860096507,1.965517795749712e-05
0.19338917504552322,2.0483385014446737e-05
0.21461411978584058,2.1516811250635162e-05
0.23816855519761607,2.2915888987336077e-05
0.2643081486974108,2.4680361801572108e-05
