tau,gamma
1e-07,4.180991742968393e-05
1.1097524964120721e-07,6.268673725418605e-05
1.2315506032928263e-07,8.741390404345368e-05
1.3667163564620074e-07,0.00011376620946607924
1.5167168884709241e-07,0.00013879358510504505
1.6831803533309585e-07,0.00015958411768905275
1.867913599020781e-07,0.0001740666311497585
2.0729217795953698e-07,0.0001815114826378138
2.300430119772917e-07,0.00018254426853137133
2.5529080682395163e-07,0.00017873405789222788
2.833096101839324e-07,0.00017199713550356511
3.1440354715915e-07,0.00016407767881432858
3.489101213406774e-07,0.0001562559532568683
3.872038781812557e-07,0.0001492913892109326
4.2970047043208437e-07,0.0001435168774694977
4.768611697714474e-07,0.0001389847429000669
5.291978735958437e-07,0.00013559709185172547
5.872786613189477e-07,0.00013319491011622094
6.517339604882421e-07,0.00013160824815610883
7.232633896483533e-07,0.00013068032598930677
8.026433522257174e-07,0.00013027783353367016
8.907354638610439e-07,0.00013029533532599115
9.884959046625586e-07,0.0001306576415138092
1.096985797892384e-06,0.00013132150906624
1.217382727739662e-06,0.0001322768962304973
1.3509935211980278e-06,0.00013354769215916625
1.499268432786047e-06,0.00013519197650191218
1.6638168860761274e-06,0.0001373021950455346
1.8464249428955464e-06,0.00014000605493587638
2.049074689815846e-06,0.0001434694258196326
2.2739657523579273e-06,0.0001479031614109039
2.523539170434766e-06,0.00015357676479432216
2.800503894183631e-06,0.0001608437239881878
3.107866187782014e-06,0.00017018718777406033
3.4489622604057595e-06,0.00018230249340065168
3.827494478516315e-06,0.0001982487369448803
4.247571552536894e-06,0.00021973156591125793
4.713753134116729e-06,0.00024963265707653165
5.2310993080562585e-06,0.0002929855324576081
5.805225516094895e-06,0.0003587060397417488
6.44236350872137e-06,0.00046247214063325213
7.149428986597577e-06,0.0006310879076293106
7.934096665797492e-06,0.0009082413370862377
8.804883581643465e-06,0.0013605202425866964
9.771241535346501e-06,0.0020808093445855657
1.0843659686896109e-05,0.0031842209095066733
1.2033778407775906e-05,0.004790821977022118
1.3354515629298974e-05,0.00699156092505395
1.48202070579886e-05,0.009800402095992266
1.6446761779946626e-05,0.013105791154761768
1.8251834943190462e-05,0.016643538809709
2.0255019392306664e-05,0.020013906201630547
2.2478058335487252e-05,0.022753040429637255
2.4945081352303165e-05,0.02444537576142589
2.7682866303920665e-05,0.024840573423453464
3.072112998861759e-05,0.023930608448674763
3.409285069746814e-05,0.021957298860259603
3.783462617131933e-05,0.01935174294022101
4.1987070844439056e-05,0.01663789565261789
4.659525668664687e-05,0.014346161053885413
5.170920242896755e-05,0.01297295207312457
5.7384416483024044e-05,0.01299445125068555
6.368249944718586e-05,0.014909729012527769
7.067181273927492e-05,0.019262669398853342
7.842822061337681e-05,0.02658494866657907
8.703591361485166e-05,0.037223673539403875
9.658832241158708e-05,0.05107204685621976
0.00010718913192051276,0.06729758226400696
0.00011895340673703195,0.08422194713846161
0.0001320088400831418,0.09949696121218257
0.00014649713983072864,0.11061373828736427
0.0001625755666443795,0.11561154244148353
0.00018041864093920718,0.11371759094212312
