tau,gamma
1e-07,3.405448085993139e-05
1.1097524964120721e-07,5.1157204208173386e-05
1.2315506032928263e-07,7.150132973447482e-05
1.3667163564620074e-07,9.331285922082738e-05
1.5167168884709241e-07,0.00011421120050860082
1.6831803533309585e-07,0.00013181803141089978
1.867913599020781e-07,0.00014440640213050918
2.0729217795953698e-07,0.00015131549430302092
2.300430119772917e-07,0.00015297789943301027
2.5529080682395163e-07,0.00015060271137106758
2.833096101839324e-07,0.00014570313116834968
3.1440354715915e-07,0.00013967739306700041
3.489101213406774e-07,0.00013356653960566923
3.872038781812557e-07,0.0001279993342066412
4.2970047043208437e-07,0.00012326086767331415
4.768611697714474e-07,0.00011940661610901414
5.291978735958437e-07,0.00011636754681323447
5.872786613189477e-07,0.00011402418894385793
6.517339604882421e-07,0.00011224988998414744
7.232633896483533e-07,0.00011093237950534607
8.026433522257174e-07,0.0001099829572731984
8.907354638610439e-07,0.00010933964641465167
9.884959046625586e-07,0.00010896772674514063
1.096985797892384e-06,0.00010885919117995946
1.217382727739662e-06,0.0001090317449238862
1.3509935211980278e-06,0.00010952762424424946
1.499268432786047e-06,0.000110412458744316
1.6638168860761274e-06,0.000111774474622047
1.8464249428955464e-06,0.00011372446049567032
2.049074689815846e-06,0.0001163970699492108
2.2739657523579273e-06,0.00011995423766196061
2.523539170434766e-06,0.00012459181157075782
2.800503894183631e-06,0.00013055109546243176
3.107866187782014e-06,0.00013813810331702095
3.4489622604057595e-06,0.00014775536156283345
3.827494478516315e-06,0.00015995473710553193
4.247571552536894e-06,0.00017552613016138085
4.713753134116729e-06,0.00019564774841931653
5.2310993080562585e-06,0.0002221418453398167
5.805225516094895e-06,0.00025790908676568065
6.44236350872137e-06,0.0003076590608083725
7.149428986597577e-06,0.0003791142398270621
7.934096665797492e-06,0.0004849274159663264
8.804883581643465e-06,0.0006455758313099234
9.771241535346501e-06,0.0008933862950010787
1.0843659686896109e-05,0.0012774588704827512
1.2033778407775906e-05,0.0018684502681433003
1.3354515629298974e-05,0.0027609726104310247
1.48202070579886e-05,0.004070178513352255
1.6446761779946626e-05,0.005918891344235426
1.8251834943190462e-05,0.00841359060579892
2.0255019392306664e-05,0.011612188339272767
2.2478058335487252e-05,0.015492512107009143
2.4945081352303165e-05,0.01993431836271874
2.7682866303920665e-05,0.02472564989145899
3.072112998861759e-05,0.02959534975911166
3.409285069746814e-05,0.034261452361704504
3.783462617131933e-05,0.03847730738490575
4.1987070844439056e-05,0.04205922835746371
4.659525668664687e-05,0.04489026887645062
5.170920242896755e-05,0.04690720589374283
5.7384416483024044e-05,0.04808399612448281
6.368249944718586e-05,0.04842229341282014
7.067181273927492e-05,0.047952153648725376
7.842822061337681e-05,0.046740161318735055
8.703591361485166e-05,0.0449008896718678
9.658832241158708e-05,0.04260882516827664
0.00010718913192051276,0.040107840331602994
0.00011895340673703195,0.03771293488383662
0.0001320088400831418,0.03579743227523147
0.00014649713983072864,0.03476274778225168
0.0001625755666443795,0.034998797959631685
0.00018041864093920718,0.036856314751845934
0.00020022003718155845,0.04065687110483674
0.0002221946860939524,0.046750975239227124
0.0002465811075822604,0.05559883800695478
0.0002736439997074672,0.06781436624379868
0.00030367711180354605,0.0841207563788974
0.00033700643292719284,0.10524114612594719
0.0003739937302478798,0.13185206172543532
0.0004150404757850477,0.16474675763952334
0.00046059220411451084,0.20517837040379716
0.0005111433483440171,0.25501984920292403
0.0005672426068491978,0.31616536750350455
0.0006294988990221888,0.38886868708476346
0.0006985879746785249,0.4695432948634935
0.0007752597488629464,0.5494412825319728
0.000860346441668451,0.6157281127242937
0.0009547716114208065,0.6553041642447544
0.001059560179277617,0.6598558607326656
0.0011758495540521582,0.62944270680761
0.0013049019780144017,0.57252865409302
0.001448118227674533,0.5024610518289845
0.0016070528182616384,0.4324603534891895
0.0017834308769319094,0.37174389592027696
0.0019791668678535573,0.32428141786110626
0.002196385372416547,0.28994034248569484
0.002437444150122222,0.26667503748149496
0.002704959730463137,0.2524026192423369
0.0030018358135755923,0.24589580265190206
0.003331294787934677,0.24677298550076668
0.0036969127071950323,0.2550969322837474
0.00410265810582719,0.27112788295747375
0.004552935074866948,0.29546760665094457
0.00505263106533568,0.32932070532229546
0.005607169938205458,0.3742040398267061
0.006222570836730231,0.4305693146076185
0.006905513520162331,0.4956221110465227
0.007663410868007463,0.56166447188134
0.008504489341802686,0.616629996502122
0.009437878277775391,0.6474797664847004
0.010473708979594508,0.6452058234966441
0.011623224686798541,0.6087551827633788
0.01289890261253308,0.5455242502303416
0.014314589375234785,0.4681185924564084
0.015885651294280528,0.38933650900775063
0.01762914118095948,0.3181503847425837
0.01956398343517065,0.2583940023092174
0.021711179456945052,0.20995287333661752
0.02409403560239527,0.17096149592029983
0.026738416158399492,0.13951689462533087
0.029673024081888724,0.1143081060299419
0.032929712550971546,0.09445052336557509
0.036543830709572546,0.07913297702183521
0.040554607358408275,0.06746889688689482
