tau,gamma
1e-07,0.0005756548347924559
1.1097524964120721e-07,0.0008563067594367289
1.2315506032928263e-07,0.001182381109831014
1.3667163564620074e-07,0.0015200095493249353
1.5167168884709241e-07,0.0018260861613916518
1.6831803533309585e-07,0.002059690876269891
1.867913599020781e-07,0.0021936578303261398
2.0729217795953698e-07,0.002221310079333395
2.300430119772917e-07,0.0021558461943111664
2.5529080682395163e-07,0.0020235668289087226
2.833096101839324e-07,0.0018547027131128116
3.1440354715915e-07,0.0016757513948391395
3.489101213406774e-07,0.0015054475860126024
3.872038781812557e-07,0.001354310015731914
4.2970047043208437e-07,0.001226384284449692
4.768611697714474e-07,0.001121635913045458
5.291978735958437e-07,0.0010379917757243379
5.872786613189477e-07,0.0009726818584998231
6.517339604882421e-07,0.0009229534696441612
7.232633896483533e-07,0.0008863752498503832
8.026433522257174e-07,0.0008609275235350967
8.907354638610439e-07,0.000845002953856104
9.884959046625586e-07,0.0008373787853659134
1.096985797892384e-06,0.0008371848779378182
1.217382727739662e-06,0.0008438748410870748
1.3509935211980278e-06,0.0008572018576915621
1.499268432786047e-06,0.0008772000986108015
1.6638168860761274e-06,0.0009041740082357749
1.8464249428955464e-06,0.0009387000157208921
2.049074689815846e-06,0.00098164791052379
2.2739657523579273e-06,0.001034231880759001
2.523539170434766e-06,0.0010981036972822033
2.800503894183631e-06,0.0011755022760906017
3.107866187782014e-06,0.0012694740881952287
3.4489622604057595e-06,0.0013841760528033814
3.827494478516315e-06,0.001525263616265279
4.247571552536894e-06,0.0017003465761697208
4.713753134116729e-06,0.0019194570289812966
5.2310993080562585e-06,0.0021954118708761416
5.805225516094895e-06,0.0025438686648538837
6.44236350872137e-06,0.0029827885560307346
7.149428986597577e-06,0.003530980206790359
7.934096665797492e-06,0.004205474632419384
8.804883581643465e-06,0.005017737844113858
9.771241535346501e-06,0.005969173282837493
1.0843659686896109e-05,0.007046891514305227
1.2033778407775906e-05,0.008221099808650508
1.3354515629298974e-05,0.009445419974354326
1.48202070579886e-05,0.010660839056599591
1.6446761779946626e-05,0.011802975158709482
1.8251834943190462e-05,0.01281132025049612
2.0255019392306664e-05,0.013638589244445123
2.2478058335487252e-05,0.014258495922772205
2.4945081352303165e-05,0.014670997597664317
2.7682866303920665e-05,0.014904803804841866
3.072112998861759e-05,0.015017295392039472
3.409285069746814e-05,0.01509190651265359
3.783462617131933e-05,0.015232850616472459
4.1987070844439056e-05,0.015557282413815023
4.659525668664687e-05,0.01618572944716871
5.170920242896755e-05,0.01723255272285454
5.7384416483024044e-05,0.01879862239334749
6.368249944718586e-05,0.020967703351418385
7.067181273927492e-05,0.023806159117951146
7.842822061337681e-05,0.027363345165436852
8.703591361485166e-05,0.03166923777500216
9.658832241158708e-05,0.036728270874369716
0.00010718913192051276,0.04251413451847744
0.00011895340673703195,0.048976058666860674
0.0001320088400831418,0.0560666986119415
0.00014649713983072864,0.06379092134732976
0.0001625755666443795,0.07225774914002689
0.00018041864093920718,0.08170816312266962
0.00020022003718155845,0.09250236454287725
0.0002221946860939524,0.10507723233205424
0.0002465811075822604,0.11990293356955598
0.0002736439997074672,0.1374538507268619
0.00030367711180354605,0.15817540343742034
0.00033700643292719284,0.18242124726349251
0.0003739937302478798,0.21037948864663866
0.0004150404757850477,0.24205066600385633
0.00046059220411451084,0.27729338977529433
0.0005111433483440171,0.31581164837567915
0.0005672426068491978,0.35687533485539513
0.0006294988990221888,0.39872999464759346
0.0006985879746785249,0.43803658425434344
0.0007752597488629464,0.4699602811556559
0.000860346441668451,0.48932761156421684
0.0009547716114208065,0.4925837115475124
0.001059560179277617,0.47958465169025793
0.0011758495540521582,0.45415468391623365
0.0013049019780144017,0.42299219691370626
0.001448118227674533,0.39345921801040407
0.0016070528182616384,0.37134117021750546
0.0017834308769319094,0.3594922218565517
0.0019791668678535573,0.357654648665759
0.002196385372416547,0.3631788649609022
0.002437444150122222,0.37216694609352813
0.002704959730463137,0.3806442545472926
0.0030018358135755923,0.3855205491178015
0.003331294787934677,0.38522031357812364
0.0036969127071950323,0.3799414829814857
0.00410265810582719,0.3715564713560829
0.004552935074866948,0.36319466935516415
0.00505263106533568,0.35854937499525275
0.005607169938205458,0.3609641616835658
0.006222570836730231,0.372405094442093
0.006905513520162331,0.39253319674088677
0.007663410868007463,0.41822769630811024
0.008504489341802686,0.4439529684241935
0.009437878277775391,0.46314019959035657
0.010473708979594508,0.4702452232751423
0.011623224686798541,0.46262926845614627
0.01289890261253308,0.44132878476573106
0.014314589375234785,0.41032026472143046
0.015885651294280528,0.3747268362328289
0.01762914118095948,0.3389562747312705
0.01956398343517065,0.3056400549327142
0.021711179456945052,0.2756236897053367
0.02409403560239527,0.24864131734156286
0.026738416158399492,0.22408648244487891
0.029673024081888724,0.20148328292038617
0.032929712550971546,0.18059959335545445
0.036543830709572546,0.1613586376427405
0.040554607358408275,0.1437199896689242
0.04500557675700498,0.12760868688675658
0.0499450511585514,0.11289197608724172
0.05542664520663107,0.09938329144073262
0.06150985788580504,0.08686626819428425
0.06826071834272393,0.07513870816702407
0.0757525025877192,0.06406644943827153
0.08406652885618333,0.05362454461451794
0.09329304026284696,0.04390387573701583
0.10353218432956637,0.03507693329071913
0.11489510001873086,0.027336239152233304
0.1275051240713013,0.020830523824997033
0.1414991297434576,0.015621986896821965
0.15702901247293774,0.011676046502964915
0.17426333860096507,0.00888076089991365
0.19338917504552322,0.007083455042829221
0.21461411978584058,0.00612945506938111
0.23816855519761607,0.0058904296140402474
0.2643081486974108,0.006274474500163953
0.29331662783900486,0.007215119218754909
0.32550885998350565,0.008642388969902881
0.36123426997094304,0.010446393528443225
0.40088063288984643,0.012450311139619417
0.4448782831127585,0.014410038094586406
0.4937047852839004,0.016048449317215777
0.5478901179593945,0.017115620576204048
0.6080224261649427,0.017451566468132847
0.67475440531107,0.017024842813060614
0.748810385759003,0.015931546038508826
0.8309941949353403,0.014358030134346675
0.9221978823334341,0.012525719298753745
1.0234114021054528,0.010640034121658171
1.135733358343105,0.008858146598353071
1.2603829296797273,0.007278658306073329
1.3987131026472386,0.005947447121899859
1.552225357427048,0.004871028865817958
1.7225859653987874,0.004030638521727916
1.9116440753857036,0.0033937233232522227
2.121451784910632,0.0029222210572359777
2.35428641432242,0.0025781542350832957
2.612675225563332,0.0023271916315609187
2.8994228538828812,0.002140633265445921
3.2176417502507353,0.0019961522227360156
3.5707859649004625,0.0018776158045295103
3.9626886387014784,0.001774316070462818
4.397603609302721,0.0016799044503792515
4.880251583654434,0.0015912493927683785
5.415871378079476,0.0015073497991809673
6.010276782070388,0.0014283628781108116
6.669919663030129,0.0013547525474253447
7.401959996915652,0.0012865416069088587
8.214343584919439,0.0012226720371871216
9.115888299750837,0.0011605527837779035
10.11637979766207,0.0010959787528731163
11.226677735108158,0.0010236566512726842
12.458833642950081,0.000938460313776992
13.826221737646593,0.0008372126182373817
15.343684089300131,0.0007203761986550768
17.02769172225898,0.0005928184160106238
18.896523396912116,0.0004630601834810788
20.970464013232306,0.00034110317394633595
23.27202478960412,0.000235676488083477
25.826187606826746,0.00015205787940873232
28.66067616948256,9.128810799363694e-05
31.80625692794119,5.0849843431457096e-05
35.297073027306574,2.6220538148526656e-05
39.17101490809261,1.2493258122963466e-05
43.47013158125035,5.4923197626580584e-06
48.241087041653735,2.225211555485221e-06
