tau,gamma
1e-07,9.199496453294495e-07
1.1097524964120721e-07,7.899159701147817e-06
1.2315506032928263e-07,3.9587227225045426e-05
1.3667163564620074e-07,0.00011679432234364296
1.5167168884709241e-07,0.00020840011256316546
1.6831803533309585e-07,0.00024247328162116502
1.867913599020781e-07,0.00021449912642348054
2.0729217795953698e-07,0.00017003773566431294
2.300430119772917e-07,0.0001306722302528163
2.5529080682395163e-07,0.00010507201500780514
2.833096101839324e-07,9.396036814674483e-05
3.1440354715915e-07,9.151021288718527e-05
3.489101213406774e-07,9.13373912031839e-05
3.872038781812557e-07,9.075502537916957e-05
4.2970047043208437e-07,8.674631950257063e-05
4.768611697714474e-07,8.252977478990324e-05
5.291978735958437e-07,8.95054614334323e-05
5.872786613189477e-07,0.00013829993594793286
6.517339604882421e-07,0.00030217052748002574
7.232633896483533e-07,0.0006749839848126239
8.026433522257174e-07,0.001364541143135985
8.907354638610439e-07,0.002499371177048559
9.884959046625586e-07,0.0040120011545899245
1.096985797892384e-06,0.005801598519387144
1.217382727739662e-06,0.007771918543220193
1.3509935211980278e-06,0.009585774745086062
1.499268432786047e-06,0.011200564923893923
1.6638168860761274e-06,0.01233671413199034
1.8464249428955464e-06,0.01291924498347374
2.049074689815846e-06,0.012965390619245004
2.2739657523579273e-06,0.012352861700010868
2.523539170434766e-06,0.011357689260036255
2.800503894183631e-06,0.009951031075219918
3.107866187782014e-06,0.008430934001456857
3.4489622604057595e-06,0.006962752643513296
3.827494478516315e-06,0.005709834442721745
4.247571552536894e-06,0.0049162710915500825
4.713753134116729e-06,0.004648804716697135
5.2310993080562585e-06,0.005007615586431097
5.805225516094895e-06,0.00603451222160635
6.44236350872137e-06,0.007615655982554062
7.149428986597577e-06,0.00970257124167185
7.934096665797492e-06,0.012117828143043715
8.804883581643465e-06,0.014595565591044838
9.771241535346501e-06,0.017077076068688964
1.0843659686896109e-05,0.019124056473575336
1.2033778407775906e-05,0.020783250866936633
1.3354515629298974e-05,0.021715123349588
1.48202070579886e-05,0.021906545867720326
1.6446761779946626e-05,0.021377246645824504
1.8251834943190462e-05,0.019987015582332294
