tau,gamma
1e-07,1.7628466914109384e-05
1.1097524964120721e-07,0.00015147759577279504
1.2315506032928263e-07,0.0007609680273158198
1.3667163564620074e-07,0.002262630807147933
1.5167168884709241e-07,0.004135094396920784
1.6831803533309585e-07,0.005127036570217448
1.867913599020781e-07,0.005131810160820545
2.0729217795953698e-07,0.004796418701877542
2.300430119772917e-07,0.0044237174603176475
2.5529080682395163e-07,0.004118145458146232
2.833096101839324e-07,0.0038448106573834334
3.1440354715915e-07,0.0036279548861347876
3.489101213406774e-07,0.003431166673813846
3.872038781812557e-07,0.003270957807629249
4.2970047043208437e-07,0.0031251874443713017
4.768611697714474e-07,0.0029987791770023082
5.291978735958437e-07,0.002887294288756449
5.872786613189477e-07,0.00278292585176002
6.517339604882421e-07,0.0026980153352140967
7.232633896483533e-07,0.0026157055700297047
8.026433522257174e-07,0.0025586144485202464
8.907354638610439e-07,0.0025077528742812145
9.884959046625586e-07,0.0024874051346359042
1.096985797892384e-06,0.00248253066237029
1.217382727739662e-06,0.0025133064002866015
1.3509935211980278e-06,0.002571746307738474
1.499268432786047e-06,0.0026718487364377668
1.6638168860761274e-06,0.0028136594510346875
1.8464249428955464e-06,0.0030036980001505605
2.049074689815846e-06,0.003249999116108497
2.2739657523579273e-06,0.0035471300892540706
2.523539170434766e-06,0.00391068705433624
2.800503894183631e-06,0.004313467208808894
3.107866187782014e-06,0.004779376881548457
3.4489622604057595e-06,0.005252342245417037
3.827494478516315e-06,0.005764006617220827
4.247571552536894e-06,0.0062497212031291
4.713753134116729e-06,0.006734430304557984
5.2310993080562585e-06,0.00719339785826695
5.805225516094895e-06,0.007622887875450869
6.44236350872137e-06,0.008059977397183745
7.149428986597577e-06,0.008465351472164064
7.934096665797492e-06,0.008913084725908979
8.804883581643465e-06,0.009331690922449253
9.771241535346501e-06,0.009801249129080541
1.0843659686896109e-05,0.0102312749372928
1.2033778407775906e-05,0.01068325096534448
1.3354515629298974e-05,0.011085585917907986
1.48202070579886e-05,0.011454833885079237
1.6446761779946626e-05,0.011790334755330608
1.8251834943190462e-05,0.012051636127993422
2.0255019392306664e-05,0.012331841817634526
2.2478058335487252e-05,0.012559913460066468
2.4945081352303165e-05,0.012890634192377728
2.7682866303920665e-05,0.013275072388336449
3.072112998861759e-05,0.013892730550995155
3.409285069746814e-05,0.014775657189633418
3.783462617131933e-05,0.016158478543974196
4.1987070844439056e-05,0.018251970487212037
4.659525668664687e-05,0.021455954585851433
5.170920242896755e-05,0.026197388218335654
5.7384416483024044e-05,0.0327790516746215
6.368249944718586e-05,0.04056920409743781
7.067181273927492e-05,0.04839730856800428
7.842822061337681e-05,0.05416740084097531
8.703591361485166e-05,0.05436469251735347
9.658832241158708e-05,0.05015729989030669
0.00010718913192051276,0.04286051603578384
0.00011895340673703195,0.03402420288835626
0.0001320088400831418,0.026416835875088234
0.00014649713983072864,0.0205922558123093
0.0001625755666443795,0.016642669684861923
0.00018041864093920718,0.014211834641224925
0.00020022003718155845,0.013034305578121701
0.0002221946860939524,0.012951658370617191
0.0002465811075822604,0.014226884512613294
0.0002736439997074672,0.017532392110044204
0.00030367711180354605,0.02430809224683833
0.00033700643292719284,0.03674201669047891
0.0003739937302478798,0.05615032191852693
0.0004150404757850477,0.08146206762550333
0.00046059220411451084,0.11122609791480158
0.0005111433483440171,0.1371194757922509
0.0005672426068491978,0.1524151348981581
0.0006294988990221888,0.1560400568893856
0.0006985879746785249,0.14401047381616364
0.0007752597488629464,0.12392481070786225
0.000860346441668451,0.10266042955016288
0.0009547716114208065,0.08329358188163191
0.001059560179277617,0.06868129770664606
0.0011758495540521582,0.059037398984254294
0.0013049019780144017,0.055465223341810546
0.001448118227674533,0.05928212652790228
0.0016070528182616384,0.07406911381971844
0.0017834308769319094,0.10662063974054607
0.0019791668678535573,0.16637311708738448
0.002196385372416547,0.25659151399530533
0.002437444150122222,0.335748892227225
0.002704959730463137,0.33375737962973634
0.0030018358135755923,0.26781360721014275
0.003331294787934677,0.2038085144416728
0.0036969127071950323,0.16338595010836085
0.00410265810582719,0.1438702589162674
0.004552935074866948,0.14277722610316448
0.00505263106533568,0.1694836778478765
0.005607169938205458,0.2513636199756294
0.006222570836730231,0.4469564321449865
0.006905513520162331,0.79551192944985
0.007663410868007463,1.1086513636613993
0.008504489341802686,1.0432183465668226
0.009437878277775391,0.6613259023595
0.010473708979594508,0.31866824725405124
0.011623224686798541,0.13421655681744324
0.01289890261253308,0.052140810879693286
0.014314589375234785,0.020841905753679297
0.015885651294280528,0.01016839839118361
0.01762914118095948,0.006068704587883223
0.01956398343517065,0.004039302942981352
0.021711179456945052,0.0028611743823630385
0.02409403560239527,0.0021061414424766224
0.026738416158399492,0.0016076276775524071
0.029673024081888724,0.001260502137759018
0.032929712550971546,0.001018954000591115
0.036543830709572546,0.000841972292396948
0.040554607358408275,0.0007144017300123488
0.04500557675700498,0.0006170799479880859
0.0499450511585514,0.0005447220985586561
0.05542664520663107,0.00048740095677308033
0.06150985788580504,0.0004429619669476392
0.06826071834272393,0.00040635392205826267
0.0757525025877192,0.0003759013676983235
0.08406652885618333,0.0003498828328728237
0.09329304026284696,0.00032605598602658146
0.10353218432956637,0.0003052247435021193
0.11489510001873086,0.00028458875687305637
0.1275051240713013,0.0002664067989459319
0.1414991297434576,0.0002480528813805026
0.15702901247293774,0.0002318667856810765
0.17426333860096507,0.0002161529077405183
0.19338917504552322,0.0002023257011961263
0.21461411978584058,0.00018981795770122863
0.23816855519761607,0.00017888091437158834
0.2643081486974108,0.00016979779493169001
0.29331662783900486,0.00016192267079663728
0.32550885998350565,0.0001560272251429494
0.36123426997094304,0.00015092904800773524
0.40088063288984643,0.00014762417641810566
0.4448782831127585,0.00014470173542632987
0.4937047852839004,0.00014317003774346658
0.5478901179593945,0.00014170885433725734
0.6080224261649427,0.00014108965563341087
0.67475440531107,0.00014047197192044682
0.748810385759003,0.00014011794066627525
0.8309941949353403,0.0001399932490346209
0.9221978823334341,0.00013971563544316553
1.0234114021054528,0.00014006633991374434
1.135733358343105,0.00014014989934433523
1.2603829296797273,0.00014122468966541895
1.3987131026472386,0.00014218626978776449
1.552225357427048,0.00014432580920278532
1.7225859653987874,0.00014664152672738074
1.9116440753857036,0.0001500959684908631
2.121451784910632,0.0001540638072403741
2.35428641432242,0.0001589215794250047
2.612675225563332,0.0001646785935774917
2.8994228538828812,0.00017097670238936023
3.2176417502507353,0.00017864783167646393
3.5707859649004625,0.0001866560266543278
3.9626886387014784,0.00019662174675796104
4.397603609302721,0.0002071811399011852
4.880251583654434,0.00022041732253547163
5.415871378079476,0.00023517715404530512
6.010276782070388,0.00025354394698499266
6.669919663030129,0.0002750847862051928
7.401959996915652,0.00030147443422989134
8.214343584919439,0.000333423444237622
