tau,gamma
1e-07,1.721711037571858e-05
1.1097524964120721e-07,0.00014807680840970823
1.2315506032928263e-07,0.0007460961415863726
1.3667163564620074e-07,0.0022396378910091775
1.5167168884709241e-07,0.004211029078844668
1.6831803533309585e-07,0.0055989097229949495
1.867913599020781e-07,0.006308715377576484
2.0729217795953698e-07,0.006776815613645256
2.300430119772917e-07,0.0072235009501484
2.5529080682395163e-07,0.00766628406278255
2.833096101839324e-07,0.007985692484342746
3.1440354715915e-07,0.00815999043883713
3.489101213406774e-07,0.007997673307551599
3.872038781812557e-07,0.007580364201903199
4.2970047043208437e-07,0.006870409351146412
4.768611697714474e-07,0.005967340247384294
5.291978735958437e-07,0.005042691064102591
5.872786613189477e-07,0.004134891415234156
6.517339604882421e-07,0.003368670414178787
7.232633896483533e-07,0.002736619637813746
8.026433522257174e-07,0.002255650499643959
8.907354638610439e-07,0.001895770275344567
9.884959046625586e-07,0.001640728471919179
1.096985797892384e-06,0.0014648003553657351
1.217382727739662e-06,0.0013549696915879394
1.3509935211980278e-06,0.001298172540405527
1.499268432786047e-06,0.0012898442548194692
1.6638168860761274e-06,0.0013283263665045582
1.8464249428955464e-06,0.0014164086289146726
2.049074689815846e-06,0.0015626305653772916
2.2739657523579273e-06,0.0017756775501434868
2.523539170434766e-06,0.002071779378385552
2.800503894183631e-06,0.0024562303784670283
3.107866187782014e-06,0.0029406869023054704
3.4489622604057595e-06,0.003491896332305209
3.827494478516315e-06,0.004104200717983589
4.247571552536894e-06,0.00466877018017713
4.713753134116729e-06,0.00517027038183824
5.2310993080562585e-06,0.005521990390665715
5.805225516094895e-06,0.0056939403827800305
6.44236350872137e-06,0.005747699801313524
7.149428986597577e-06,0.005662944897857372
7.934096665797492e-06,0.005554076386534918
8.804883581643465e-06,0.00541843391988352
9.771241535346501e-06,0.005328976655028548
1.0843659686896109e-05,0.005275035213404207
1.2033778407775906e-05,0.005286449828319642
1.3354515629298974e-05,0.005345718022282008
1.48202070579886e-05,0.005454237790281218
1.6446761779946626e-05,0.005608195981103556
1.8251834943190462e-05,0.0057895204147119066
2.0255019392306664e-05,0.006039991353106531
2.2478058335487252e-05,0.006355013383200387
2.4945081352303165e-05,0.006886565391583125
2.7682866303920665e-05,0.007854911694397698
3.072112998861759e-05,0.010012333640509496
3.409285069746814e-05,0.014733157001786151
3.783462617131933e-05,0.024135732855023878
4.1987070844439056e-05,0.040916568526685355
4.659525668664687e-05,0.06397564132964043
5.170920242896755e-05,0.08365745455595854
5.7384416483024044e-05,0.09341299994860622
6.368249944718586e-05,0.08915008329103392
7.067181273927492e-05,0.06721466601506783
7.842822061337681e-05,0.04043104924019397
8.703591361485166e-05,0.02126721828142516
9.658832241158708e-05,0.010049568733390937
0.00010718913192051276,0.004559874340928569
0.00011895340673703195,0.002410593061088798
0.0001320088400831418,0.0016081009805865066
0.00014649713983072864,0.001246819915126397
0.0001625755666443795,0.001060983388567003
0.00018041864093920718,0.0009645928249138814
0.00020022003718155845,0.0009330621925666304
0.0002221946860939524,0.0009528108258128951
0.0002465811075822604,0.0010321534038176085
0.0002736439997074672,0.0011957809579349517
0.00030367711180354605,0.0015988535215484597
0.00033700643292719284,0.003077612632593428
0.0003739937302478798,0.00918236494872862
0.0004150404757850477,0.027655432427920724
0.00046059220411451084,0.06398769817834599
0.0005111433483440171,0.116788741198598
0.0005672426068491978,0.18292526959218747
0.0006294988990221888,0.2407919227038204
0.0006985879746785249,0.2660603269708018
0.0007752597488629464,0.2615283626100978
0.000860346441668451,0.22628694675921818
0.0009547716114208065,0.1722595934204279
0.001059560179277617,0.118826599778392
0.0011758495540521582,0.07266365506464574
0.0013049019780144017,0.04252219034237706
0.001448118227674533,0.029940185819608726
0.0016070528182616384,0.03125243992624561
0.0017834308769319094,0.04507220705553459
0.0019791668678535573,0.06974206555104145
0.002196385372416547,0.10480579999978235
0.002437444150122222,0.14685132320697292
0.002704959730463137,0.18810276563687833
0.0030018358135755923,0.22862968991955135
0.003331294787934677,0.26521933257709357
