tau,gamma
1e-07,2.550659274781496e-06
1.1097524964120721e-07,2.190643505925785e-05
1.2315506032928263e-07,0.00010987110952111855
1.3667163564620074e-07,0.0003249732219602457
1.5167168884709241e-07,0.0005844357727429614
1.6831803533309585e-07,0.0006947943200208732
1.867913599020781e-07,0.000642728765309057
2.0729217795953698e-07,0.0005439126805920737
2.300430119772917e-07,0.00045044174660804074
2.5529080682395163e-07,0.0003758453496048548
2.833096101839324e-07,0.00031476172421971376
3.1440354715915e-07,0.0002662784421825059
3.489101213406774e-07,0.0002265284372313058
3.872038781812557e-07,0.00019423100595682984
4.2970047043208437e-07,0.0001677183649243277
4.768611697714474e-07,0.00014554086201133736
5.291978735958437e-07,0.0001273799631328555
5.872786613189477e-07,0.00011178225125350088
6.517339604882421e-07,9.907035560761283e-05
7.232633896483533e-07,8.798133926840353e-05
8.026433522257174e-07,7.897501353150793e-05
8.907354638610439e-07,7.111268727660525e-05
9.884959046625586e-07,6.472129955351606e-05
1.096985797892384e-06,5.922066054716957e-05
1.217382727739662e-06,5.471929307313615e-05
1.3509935211980278e-06,5.0958477420618544e-05
1.499268432786047e-06,4.784117017439069e-05
1.6638168860761274e-06,4.536353925898502e-05
1.8464249428955464e-06,4.327241563101718e-05
2.049074689815846e-06,4.174260765453576e-05
2.2739657523579273e-06,4.04263600504932e-05
2.523539170434766e-06,3.959441662332095e-05
2.800503894183631e-06,3.8872079751351e-05
3.107866187782014e-06,3.8538085507677954e-05
3.4489622604057595e-06,3.826186371801286e-05
3.827494478516315e-06,3.824211716683925e-05
4.247571552536894e-06,3.826356643678638e-05
4.713753134116729e-06,3.836752085728771e-05
5.2310993080562585e-06,3.851572027799822e-05
5.805225516094895e-06,3.854848283441104e-05
6.44236350872137e-06,3.862944587382235e-05
7.149428986597577e-06,3.842498698129578e-05
7.934096665797492e-06,3.825043505310508e-05
8.804883581643465e-06,3.771648244723851e-05
9.771241535346501e-06,3.7158691270262365e-05
1.0843659686896109e-05,3.629848292272123e-05
1.2033778407775906e-05,3.5341931368753794e-05
1.3354515629298974e-05,3.4236369264738343e-05
1.48202070579886e-05,3.298301170504532e-05
1.6446761779946626e-05,3.1748928075063775e-05
1.8251834943190462e-05,3.0364868745026176e-05
2.0255019392306664e-05,2.9114436034623233e-05
2.2478058335487252e-05,2.775745480022241e-05
2.4945081352303165e-05,2.6572213436023805e-05
2.7682866303920665e-05,2.5347488752206933e-05
3.072112998861759e-05,2.4271138447641608e-05
3.409285069746814e-05,2.3225598228220466e-05
3.783462617131933e-05,2.2272857085855518e-05
4.1987070844439056e-05,2.141111313656696e-05
4.659525668664687e-05,2.058343354677573e-05
5.170920242896755e-05,1.988796589414278e-05
5.7384416483024044e-05,1.9186548591321467e-05
6.368249944718586e-05,1.8634405269308297e-05
7.067181273927492e-05,1.8066181738002265e-05
7.842822061337681e-05,1.763999432284519e-05
8.703591361485166e-05,1.721638028519808e-05
9.658832241158708e-05,1.6908783236272265e-05
0.00010718913192051276,1.6640751815182083e-05
0.00011895340673703195,1.6452885701513045e-05
0.0001320088400831418,1.634654803791056e-05
0.00014649713983072864,1.6283825905717067e-05
0.0001625755666443795,1.633832060978559e-05
0.00018041864093920718,1.640697038947561e-05
0.00020022003718155845,1.6613879121018507e-05
0.0002221946860939524,1.6818553109906574e-05
0.0002465811075822604,1.716147192797946e-05
0.0002736439997074672,1.750244485591638e-05
0.00030367711180354605,1.795650189197128e-05
0.00033700643292719284,1.8426313902571928e-05
0.0003739937302478798,1.895994193537876e-05
0.0004150404757850477,1.9541852897730992e-05
0.00046059220411451084,2.0125282548584784e-05
0.0005111433483440171,2.079740000136654e-05
0.0005672426068491978,2.1419704431414644e-05
0.0006294988990221888,2.2168447958324906e-05
0.0006985879746785249,2.2857356892664644e-05
0.0007752597488629464,2.3700510062665437e-05
0.000860346441668451,2.453651411853599e-05
0.0009547716114208065,2.5550183985650382e-05
0.001059560179277617,2.6676261846019968e-05
0.0011758495540521582,2.8021365649875085e-05
0.0013049019780144017,2.966432081214329e-05
0.001448118227674533,3.16254965449155e-05
0.0016070528182616384,3.4157076143652607e-05
0.0017834308769319094,3.723581826421417e-05
0.0019791668678535573,4.132990460541929e-05
0.002196385372416547,4.6489794539720734e-05
0.002437444150122222,5.353018042604323e-05
0.002704959730463137,6.287160569931994e-05
0.0030018358135755923,7.61201212531933e-05
0.003331294787934677,9.49711985095105e-05
0.0036969127071950323,0.00012355936110370114
0.00410265810582719,0.0001696209370924114
0.004552935074866948,0.0002728770977910968
0.00505263106533568,0.0007914336123014956
0.005607169938205458,0.0043867847480094325
0.006222570836730231,0.025236165575081116
0.006905513520162331,0.12633133392396872
0.007663410868007463,0.5115312606455384
0.008504489341802686,1.439950665562271
0.009437878277775391,2.5248438775200857
0.010473708979594508,2.633085757756409
0.011623224686798541,1.6081512144176013
0.01289890261253308,0.5727673458335867
0.014314589375234785,0.11929140852857989
0.015885651294280528,0.015146619778808532
0.01762914118095948,0.0018670305531808104
0.01956398343517065,0.0008908070633248669
0.021711179456945052,0.0008352485240873369
0.02409403560239527,0.0008258983622593895
0.026738416158399492,0.0008210903699510603
0.029673024081888724,0.0008198220940277407
0.032929712550971546,0.0008213703924058906
0.036543830709572546,0.0008216735356151281
0.040554607358408275,0.0008245116352314329
0.04500557675700498,0.0008226645730867704
0.0499450511585514,0.0008227240149390726
0.05542664520663107,0.0008162234548042455
0.06150985788580504,0.0008094196275055423
0.06826071834272393,0.0007952097500180182
0.0757525025877192,0.0007767639157843747
0.08406652885618333,0.0007515119617001829
0.09329304026284696,0.0007182450422600298
0.10353218432956637,0.0006811014262406145
0.11489510001873086,0.0006357711053947323
0.1275051240713013,0.0005908106954394361
0.1414991297434576,0.0005422275341971186
0.15702901247293774,0.000497516350744285
0.17426333860096507,0.0004549752986024865
0.19338917504552322,0.0004181623098120312
0.21461411978584058,0.00038706573187881045
0.23816855519761607,0.0003620509586691741
0.2643081486974108,0.00034390203896979434
0.29331662783900486,0.000331404919142895
0.32550885998350565,0.0003259510710771466
0.36123426997094304,0.0003257751512469207
0.40088063288984643,0.00033297989837876863
0.4448782831127585,0.0003456870480043032
0.4937047852839004,0.0003667620806243164
0.5478901179593945,0.00039431717681744847
0.6080224261649427,0.0004318242434373449
0.67475440531107,0.0004773148681718278
0.748810385759003,0.0005342213062426191
0.8309941949353403,0.0006005598651364583
