tau,gamma
1e-07,9.143563652159552e-06
1.1097524964120721e-07,7.854078441032759e-05
1.2315506032928263e-07,0.00039409978095571483
1.3667163564620074e-07,0.00116738859023398
1.5167168884709241e-07,0.0021090643149345384
1.6831803533309585e-07,0.002537947497354474
1.867913599020781e-07,0.0024032305902835227
2.0729217795953698e-07,0.002095258116341816
2.300430119772917e-07,0.0017914843225770563
2.5529080682395163e-07,0.001543962682759346
2.833096101839324e-07,0.0013349285528527167
3.1440354715915e-07,0.00116650403651523
3.489101213406774e-07,0.001024766454945796
3.872038781812557e-07,0.000908384188956647
4.2970047043208437e-07,0.000810823823271046
4.768611697714474e-07,0.000728226484839049
5.291978735958437e-07,0.000659311483559797
5.872786613189477e-07,0.0005986358509011654
6.517339604882421e-07,0.0005481379223343217
7.232633896483533e-07,0.0005019390204217493
8.026433522257174e-07,0.0004632911610087061
8.907354638610439e-07,0.00042708676845302617
9.884959046625586e-07,0.0003962579342471462
1.096985797892384e-06,0.0003674106191535779
1.217382727739662e-06,0.0003420975901651587
1.3509935211980278e-06,0.0003190022490331892
1.499268432786047e-06,0.0002979962609384254
1.6638168860761274e-06,0.0002795657841426257
1.8464249428955464e-06,0.0002622478774232664
2.049074689815846e-06,0.000247641018334424
2.2739657523579273e-06,0.00023362488356710795
2.523539170434766e-06,0.00022212275802476557
2.800503894183631e-06,0.0002110484991760109
3.107866187782014e-06,0.00020200248322289327
3.4489622604057595e-06,0.0001934539969415834
3.827494478516315e-06,0.00018627070148130158
4.247571552536894e-06,0.000179770145025056
4.713753134116729e-06,0.0001739263023555314
5.2310993080562585e-06,0.00016896397587612126
5.805225516094895e-06,0.00016404262875573683
6.44236350872137e-06,0.00016012134047629423
7.149428986597577e-06,0.00015584561612750058
7.934096665797492e-06,0.00015253509368787297
8.804883581643465e-06,0.0001487724890890285
9.771241535346501e-06,0.0001457650515044398
1.0843659686896109e-05,0.00014248917139173803
1.2033778407775906e-05,0.0001396321994661363
1.3354515629298974e-05,0.000136859847965061
1.48202070579886e-05,0.00013414428360328468
1.6446761779946626e-05,0.00013188190975463784
1.8251834943190462e-05,0.00012939511958754584
2.0255019392306664e-05,0.00012761599291476227
2.2478058335487252e-05,0.0001254881679030447
2.4945081352303165e-05,0.00012413993121322046
2.7682866303920665e-05,0.00012250179769598128
3.072112998861759e-05,0.00012152858681109217
3.409285069746814e-05,0.00012047599681177555
3.783462617131933e-05,0.00011983352481565003
4.1987070844439056e-05,0.00011939819829991052
4.659525668664687e-05,0.00011905405806220264
5.170920242896755e-05,0.00011918729495416008
5.7384416483024044e-05,0.00011911662597773894
6.368249944718586e-05,0.00011969220489515674
7.067181273927492e-05,0.00011987848972612025
7.842822061337681e-05,0.00012071832898990596
8.703591361485166e-05,0.00012115566473291517
9.658832241158708e-05,0.00012207543425964905
0.00010718913192051276,0.00012276115942009172
0.00011895340673703195,0.00012362112871012513
