tau,gamma
1e-07,1.5072875041508852e-05
1.1097524964120721e-07,0.00012935981044961774
1.2315506032928263e-07,0.0006472455626772081
1.3667163564620074e-07,0.0018995053376127133
1.5167168884709241e-07,0.0033337263710802754
1.6831803533309585e-07,0.003704290494116232
1.867913599020781e-07,0.0029781860468931875
2.0729217795953698e-07,0.002090008831850448
2.300430119772917e-07,0.0014403603213153965
2.5529080682395163e-07,0.001018703047382777
2.833096101839324e-07,0.0007424877102759848
3.1440354715915e-07,0.0005571001674948664
3.489101213406774e-07,0.0004289503515876708
3.872038781812557e-07,0.0003374346760251663
4.2970047043208437e-07,0.00027082933994347034
4.768611697714474e-07,0.00022021854989736636
5.291978735958437e-07,0.00018189253360672642
5.872786613189477e-07,0.0001513023485008949
6.517339604882421e-07,0.0001276807754207789
7.232633896483533e-07,0.00010849874093801643
8.026433522257174e-07,9.373525185896874e-05
8.907354638610439e-07,8.200732943284368e-05
9.884959046625586e-07,7.327903249130453e-05
1.096985797892384e-06,6.682144710110648e-05
1.217382727739662e-06,6.252828554540264e-05
1.3509935211980278e-06,6.004774103044846e-05
1.499268432786047e-06,5.928924658210413e-05
1.6638168860761274e-06,6.015798290414916e-05
1.8464249428955464e-06,6.259093985063956e-05
2.049074689815846e-06,6.670049395399877e-05
2.2739657523579273e-06,7.234776153438551e-05
2.523539170434766e-06,7.983856859869218e-05
2.800503894183631e-06,8.872781746638662e-05
3.107866187782014e-06,9.954993380383323e-05
3.4489622604057595e-06,0.00011133512616790806
3.827494478516315e-06,0.0001248676843983064
4.247571552536894e-06,0.0001389088343837921
4.713753134116729e-06,0.0001542654894175634
5.2310993080562585e-06,0.00017037679693569034
5.805225516094895e-06,0.00018764991532300044
6.44236350872137e-06,0.0002069839522877347
7.149428986597577e-06,0.00022819964442677792
7.934096665797492e-06,0.00025350133237386476
8.804883581643465e-06,0.0002819653208773381
9.771241535346501e-06,0.00031621986390325196
1.0843659686896109e-05,0.000353620803687231
1.2033778407775906e-05,0.0003956373693587479
1.3354515629298974e-05,0.0004359933276640343
1.48202070579886e-05,0.0004727039015829383
1.6446761779946626e-05,0.000497397028379868
1.8251834943190462e-05,0.0005030773081142
2.0255019392306664e-05,0.0004904575125979772
2.2478058335487252e-05,0.00045217935258789034
2.4945081352303165e-05,0.00040089429653545147
2.7682866303920665e-05,0.0003394052262137111
3.072112998861759e-05,0.00027681824298749077
3.409285069746814e-05,0.0002207987259852133
3.783462617131933e-05,0.00017243534775026044
4.1987070844439056e-05,0.00013455122714064853
4.659525668664687e-05,0.00010495641739060965
5.170920242896755e-05,8.307892687069306e-05
5.7384416483024044e-05,6.665527141619447e-05
6.368249944718586e-05,5.4675652162924955e-05
7.067181273927492e-05,4.5689424895775935e-05
7.842822061337681e-05,3.9040528710946164e-05
8.703591361485166e-05,3.395895493727768e-05
9.658832241158708e-05,3.006604003182769e-05
0.00010718913192051276,2.70119263137837e-05
0.00011895340673703195,2.453271400731539e-05
0.0001320088400831418,2.2530823622702784e-05
0.00014649713983072864,2.076867829421469e-05
0.0001625755666443795,1.929980087462085e-05
0.00018041864093920718,1.7898385343720573e-05
0.00020022003718155845,1.6686898573573343e-05
0.0002221946860939524,1.548396523623573e-05
0.0002465811075822604,1.440400437448922e-05
0.0002736439997074672,1.3349061976246033e-05
0.00030367711180354605,1.2372704692230685e-05
0.00033700643292719284,1.1466869906548388e-05
0.0003739937302478798,1.0614786129038099e-05
0.0004150404757850477,9.867617729448689e-06
0.00046059220411451084,9.162038948307956e-06
0.0005111433483440171,8.569183834877028e-06
0.0005672426068491978,8.010331179047388e-06
0.0006294988990221888,7.5505975694202395e-06
0.0006985879746785249,7.1209295708944e-06
0.0007752597488629464,6.766738757845479e-06
0.000860346441668451,6.445868053105735e-06
0.0009547716114208065,6.17701589311996e-06
0.001059560179277617,5.952263753311553e-06
0.0011758495540521582,5.763668367750253e-06
