tau,gamma
1e-07,0.0007842685055570761
1.1097524964120721e-07,0.0017253784986169035
1.2315506032928263e-07,0.003154120381730833
1.3667163564620074e-07,0.004828085291452855
1.5167168884709241e-07,0.006274592444261908
1.6831803533309585e-07,0.007088401250636109
1.867913599020781e-07,0.00720608055318399
2.0729217795953698e-07,0.006842812453520668
2.300430119772917e-07,0.006187138021362709
2.5529080682395163e-07,0.005253828130943416
2.833096101839324e-07,0.004032906999102356
3.1440354715915e-07,0.002652116792410474
3.489101213406774e-07,0.0013148027008497967
3.872038781812557e-07,0.00014278340547661743
4.2970047043208437e-07,-0.0008463550303766708
4.768611697714474e-07,-0.0016449237379813385
5.291978735958437e-07,-0.002215025118636043
5.872786613189477e-07,-0.0025424451954726935
6.517339604882421e-07,-0.002676098570399771
7.232633896483533e-07,-0.00269484088710178
8.026433522257174e-07,-0.0026605506373115454
8.907354638610439e-07,-0.002614434778479453
9.884959046625586e-07,-0.002594127003096974
1.096985797892384e-06,-0.002629411659084716
1.217382727739662e-06,-0.0027218612864892506
1.3509935211980278e-06,-0.0028386158658920573
1.499268432786047e-06,-0.002925187699340168
1.6638168860761274e-06,-0.0029189053868110136
1.8464249428955464e-06,-0.0027544933150900576
2.049074689815846e-06,-0.002370170798603704
2.2739657523579273e-06,-0.0017201285385461352
2.523539170434766e-06,-0.0007874979232272333
2.800503894183631e-06,0.0004092696345374015
3.107866187782014e-06,0.0018162542537280973
3.4489622604057595e-06,0.003346757029283314
3.827494478516315e-06,0.004886629238714837
4.247571552536894e-06,0.006304095280565769
4.713753134116729e-06,0.007463637052755798
5.2310993080562585e-06,0.008241070761520567
5.805225516094895e-06,0.00853746750559896
6.44236350872137e-06,0.008290910278689619
7.149428986597577e-06,0.007485276989685464
7.934096665797492e-06,0.006154699289400498
8.804883581643465e-06,0.004382655207325487
9.771241535346501e-06,0.0022958715813960655
1.0843659686896109e-05,5.3915406605954284e-05
1.2033778407775906e-05,-0.002164397411309516
1.3354515629298974e-05,-0.004176583672688974
1.48202070579886e-05,-0.005812661581144963
1.6446761779946626e-05,-0.006930262839472937
1.8251834943190462e-05,-0.007427304757420398
2.0255019392306664e-05,-0.007251100086824494
2.2478058335487252e-05,-0.00640315968608771
2.4945081352303165e-05,-0.00493932292531911
2.7682866303920665e-05,-0.0029652137759748004
3.072112998861759e-05,-0.0006275820822875337
3.409285069746814e-05,0.0018976775098577562
3.783462617131933e-05,0.004419836199824352
4.1987070844439056e-05,0.006748897807272213
4.659525668664687e-05,0.008711346299698426
5.170920242896755e-05,0.010164868709777211
5.7384416483024044e-05,0.01101095600750401
6.368249944718586e-05,0.011204278708847888
7.067181273927492e-05,0.010757890181182105
7.842822061337681e-05,0.009743593194575703
8.703591361485166e-05,0.008287112549349352
9.658832241158708e-05,0.006558319089752318
0.00010718913192051276,0.0047571398980687015
0.00011895340673703195,0.0030962401476543723
0.0001320088400831418,0.001781926695287122
0.00014649713983072864,0.0009949142227772304
0.0001625755666443795,0.0008728635855569377
0.00018041864093920718,0.0014964853817038143
0.00020022003718155845,0.002880816795285054
0.0002221946860939524,0.004972794564980342
0.0002465811075822604,0.007655468458379279
0.0002736439997074672,0.010758565533367787
0.00030367711180354605,0.01407431506282195
0.00033700643292719284,0.0173770274383248
0.0003739937302478798,0.020444702321476597
0.0004150404757850477,0.023080798602638727
0.00046059220411451084,0.025134482115602007
0.0005111433483440171,0.026517705359270637
0.0005672426068491978,0.027217844655906993
0.0006294988990221888,0.02730501988908906
0.0006985879746785249,0.026933677470017892
0.0007752597488629464,0.02633867974103403
0.000860346441668451,0.02582643090264403
0.0009547716114208065,0.025761875726020955
0.001059560179277617,0.026552102939786187
0.0011758495540521582,0.02862702237083603
0.0013049019780144017,0.032417572400961985
0.001448118227674533,0.03833197222788778
0.0016070528182616384,0.04673099447003853
0.0017834308769319094,0.057903488604046496
0.0019791668678535573,0.07204381225818872
0.002196385372416547,0.0892333847400082
0.002437444150122222,0.10942841086325816
0.002704959730463137,0.13245494979088698
0.0030018358135755923,0.15801073272552837
0.003331294787934677,0.1856729530260207
0.0036969127071950323,0.21491227348239472
0.00410265810582719,0.2451124474837533
0.004552935074866948,0.2755912925825842
0.00505263106533568,0.3056138763644708
0.005607169938205458,0.33438882822580795
0.006222570836730231,0.36104553247422105
0.006905513520162331,0.38460563841963014
0.007663410868007463,0.4039823837392833
0.008504489341802686,0.4180505702406859
0.009437878277775391,0.42581210388528146
0.010473708979594508,0.42662483902296877
0.011623224686798541,0.42039040166256
0.01289890261253308,0.40758507744463923
0.014314589375234785,0.3891146096622612
0.015885651294280528,0.3660882017813477
0.01762914118095948,0.3396260961543504
0.01956398343517065,0.3107574405755127
0.021711179456945052,0.28040137058804737
0.02409403560239527,0.24939112643256361
0.026738416158399492,0.2185007284510537
0.029673024081888724,0.18845331481125724
0.032929712550971546,0.15991003249833802
0.036543830709572546,0.13344779360143968
0.040554607358408275,0.10953574363729443
0.04500557675700498,0.08851642318351252
0.0499450511585514,0.0705940951165625
0.05542664520663107,0.05583128755801825
0.06150985788580504,0.044154611351059754
0.06826071834272393,0.03537041158146278
0.0757525025877192,0.029188526187204623
0.08406652885618333,0.025250950285743867
0.09329304026284696,0.023161650846236073
0.10353218432956637,0.0225141837907114
0.11489510001873086,0.02291471850790282
0.1275051240713013,0.02399892434581009
0.1414991297434576,0.02544231967071409
0.15702901247293774,0.026964537018812858
0.17426333860096507,0.02832857659669143
0.19338917504552322,0.029336476029931974
0.21461411978584058,0.02982290605397223
0.23816855519761607,0.029648278788981065
0.2643081486974108,0.02869274953650789
0.29331662783900486,0.02685221018101137
0.32550885998350565,0.02403693747794685
0.36123426997094304,0.02017314127807509
0.40088063288984643,0.015207236032742431
0.4448782831127585,0.009112232616245875
0.4937047852839004,0.0018953475859482712
0.5478901179593945,-0.006394350661817014
0.6080224261649427,-0.015659410493792332
0.67475440531107,-0.025749720964841714
0.748810385759003,-0.03646133890668237
0.8309941949353403,-0.04753895894313143
0.9221978823334341,-0.058682273676369925
1.0234114021054528,-0.06955608623125839
1.135733358343105,-0.07980405066528592
1.2603829296797273,-0.08906562356424333
1.3987131026472386,-0.09699567352864034
1.552225357427048,-0.10328571608974008
1.7225859653987874,-0.10768517267482342
1.9116440753857036,-0.11002065173664857
2.121451784910632,-0.11021067102789714
2.35428641432242,-0.10827359721709615
2.612675225563332,-0.10432723658958193
2.8994228538828812,-0.09858020360393265
3.2176417502507353,-0.0913166537424117
3.5707859649004625,-0.08287634023061183
3.9626886387014784,-0.07363219964546493
4.397603609302721,-0.06396745468744856
4.880251583654434,-0.05425424644676339
5.415871378079476,-0.04483488152612528
6.010276782070388,-0.036005729826900576
6.669919663030129,-0.028004023056552547
7.401959996915652,-0.02099883266650715
8.214343584919439,-0.015087747309737406
9.115888299750837,-0.01029874866300208
10.11637979766207,-0.006595509048212108
11.226677735108158,-0.003885689847636907
12.458833642950081,-0.0020334030456200017
13.826221737646593,-0.0008756175340574065
15.343684089300131,-0.0002393657913567178
17.02769172225898,4.2753245705960476e-05
18.896523396912116,0.0001180463992503743
20.970464013232306,9.987227535446683e-05
23.27202478960412,5.913468242211233e-05
25.826187606826746,2.7328865551881877e-05
28.66067616948256,1.017841887871566e-05
31.80625692794119,3.0910972154032267e-06
35.297073027306574,7.691240947363251e-07
39.17101490809261,1.5712275987941528e-07
43.47013158125035,2.637909720095567e-08
48.241087041653735,3.641355834831009e-09
53.535666774107185,4.133838573194966e-10
59.411339849650396,3.860003540630718e-11
65.93188271333541,2.964815410143073e-12
73.16807143427206,1.8732776092713504e-13
81.19844993184009,9.736715822503453e-15
90.11018251665037,4.163281059569424e-16
100.0,1.4644557588343265e-17
