tau,gamma
1e-07,0.0005296355453054512
1.1097524964120721e-07,0.0007911413583874036
1.2315506032928263e-07,0.001097904216893638
1.3667163564620074e-07,0.001419950048781579
1.5167168884709241e-07,0.0017181920813228572
1.6831803533309585e-07,0.0019545164796760614
1.867913599020781e-07,0.0021022943359171728
2.0729217795953698e-07,0.0021528554043547606
2.300430119772917e-07,0.0021155259835744598
2.5529080682395163e-07,0.002012076482985821
2.833096101839324e-07,0.001868769889630213
3.1440354715915e-07,0.0017094593509940279
3.489101213406774e-07,0.0015517181657913309
3.872038781812557e-07,0.0014060968357355315
4.2970047043208437e-07,0.0012773993056065022
4.768611697714474e-07,0.001166656613327787
5.291978735958437e-07,0.0010728976545334244
5.872786613189477e-07,0.0009943663918521696
6.517339604882421e-07,0.0009292071411514117
7.232633896483533e-07,0.0008757833839111478
8.026433522257174e-07,0.000832793484925058
8.907354638610439e-07,0.0007992930637470536
9.884959046625586e-07,0.0007746826232485465
1.096985797892384e-06,0.0007586865357734562
1.217382727739662e-06,0.0007513331571014906
1.3509935211980278e-06,0.0007529390203245682
1.499268432786047e-06,0.0007640977153233548
1.6638168860761274e-06,0.0007856734975888171
1.8464249428955464e-06,0.0008187997228129483
2.049074689815846e-06,0.0008648824105079278
2.2739657523579273e-06,0.0009256093965574097
2.523539170434766e-06,0.0010029654894558359
2.800503894183631e-06,0.0010992536095974492
3.107866187782014e-06,0.0012171207902075668
3.4489622604057595e-06,0.0013595857600631912
3.827494478516315e-06,0.001530061109448127
4.247571552536894e-06,0.0017323572475188766
4.713753134116729e-06,0.001970647244972735
5.2310993080562585e-06,0.0022493618023871746
5.805225516094895e-06,0.002572974271740107
6.44236350872137e-06,0.0029456318436387355
7.149428986597577e-06,0.003370598796819009
7.934096665797492e-06,0.003849511183962555
8.804883581643465e-06,0.004381507592422568
9.771241535346501e-06,0.004962396594986863
1.0843659686896109e-05,0.005584129623907159
1.2033778407775906e-05,0.006234927883833314
1.3354515629298974e-05,0.0069004079347036165
1.48202070579886e-05,0.007565913115768201
1.6446761779946626e-05,0.008219974355635892
1.8251834943190462e-05,0.008858442620349266
2.0255019392306664e-05,0.009488463301563695
2.2478058335487252e-05,0.010131227618098865
2.4945081352303165e-05,0.010822429624859927
2.7682866303920665e-05,0.011609603954586245
3.072112998861759e-05,0.012545999830967563
3.409285069746814e-05,0.013681363413968655
3.783462617131933e-05,0.015051001086376064
4.1987070844439056e-05,0.016665765909223106
4.659525668664687e-05,0.01850683597913169
5.170920242896755e-05,0.020529558267881186
5.7384416483024044e-05,0.022679171600421853
6.368249944718586e-05,0.0249173117486513
7.067181273927492e-05,0.02725263276679308
7.842822061337681e-05,0.029764152271494388
8.703591361485166e-05,0.03260528018741341
9.658832241158708e-05,0.03598181728125974
0.00010718913192051276,0.04010727455640972
0.00011895340673703195,0.04514940701770755
0.0001320088400831418,0.05118789517925972
0.00014649713983072864,0.058201795159261195
0.0001625755666443795,0.0660971878764017
0.00018041864093920718,0.07477312378532794
0.00020022003718155845,0.08421072648507903
0.0002221946860939524,0.09455943958772332
0.0002465811075822604,0.1061898471542732
0.0002736439997074672,0.11968868532341793
0.00030367711180354605,0.1357903020096968
0.00033700643292719284,0.15526414878720518
0.0003739937302478798,0.1787950816938152
0.0004150404757850477,0.20688512790493108
0.00046059220411451084,0.2397674655860128
0.0005111433483440171,0.2772782513718262
0.0005672426068491978,0.31862657682710965
0.0006294988990221888,0.36207700911510354
0.0006985879746785249,0.4046966623770472
0.0007752597488629464,0.44242436524117107
0.000860346441668451,0.4706680818083565
0.0009547716114208065,0.48538539716713647
0.001059560179277617,0.48427358169771195
0.0011758495540521582,0.46752707285503714
0.0013049019780144017,0.43777656363565315
0.001448118227674533,0.3992370071870143
0.0016070528182616384,0.3564890907392517
0.0017834308769319094,0.31343873543640505
0.0019791668678535573,0.2727981487848276
0.002196385372416547,0.23609361701464052
0.002437444150122222,0.20396638285779586
0.002704959730463137,0.1765028456700275
0.0030018358135755923,0.15345166951398892
0.003331294787934677,0.1343276880288189
0.0036969127071950323,0.11847387635559134
0.00410265810582719,0.10514253377696525
0.004552935074866948,0.09360791205345444
0.00505263106533568,0.08328172597924047
0.005607169938205458,0.07379206849878021
0.006222570836730231,0.06500090803371486
0.006905513520162331,0.05695948899119961
0.007663410868007463,0.04982081355360794
0.008504489341802686,0.04373832827483263
0.009437878277775391,0.03878052675219477
0.010473708979594508,0.03488453545047921
0.011623224686798541,0.031859345892710396
0.01289890261253308,0.029433329401774014
0.014314589375234785,0.027325760191384017
0.015885651294280528,0.02531465812509913
0.01762914118095948,0.023277337747081756
0.01956398343517065,0.021193713710790905
0.021711179456945052,0.019118470191346618
0.02409403560239527,0.017138732067257315
0.026738416158399492,0.015335060009013954
0.029673024081888724,0.013757202991811584
0.032929712550971546,0.012417140760125421
0.036543830709572546,0.011295213567850642
0.040554607358408275,0.010352554690016858
0.04500557675700498,0.009543925131069145
0.0499450511585514,0.008827497368981845
0.05542664520663107,0.00817049409986993
0.06150985788580504,0.00755109690873084
0.06826071834272393,0.006957687046955
0.0757525025877192,0.006386570296936827
0.08406652885618333,0.005839161841282449
0.09329304026284696,0.005319335896104655
0.10353218432956637,0.004831358223399984
0.11489510001873086,0.004378560586629882
0.1275051240713013,0.0039627166678916
0.1414991297434576,0.003583958163435132
0.15702901247293774,0.0032410274355428067
0.17426333860096507,0.0029316806954285102
0.19338917504552322,0.0026531058296877527
0.21461411978584058,0.002402276266631613
0.23816855519761607,0.0021762100680114208
0.2643081486974108,0.0019721350321226364
0.29331662783900486,0.0017875766503466918
0.32550885998350565,0.001620390506574887
0.36123426997094304,0.0014687589696659312
0.40088063288984643,0.0013311675990866953
0.4448782831127585,0.001206371901208447
0.4937047852839004,0.0010933610471964815
0.5478901179593945,0.0009913222102020777
0.6080224261649427,0.00089960721644615
0.67475440531107,0.0008177020077890225
0.748810385759003,0.0007451987542497165
0.8309941949353403,0.0006817701547100805
0.9221978823334341,0.0006271454018474786
1.0234114021054528,0.0005810873899372752
1.135733358343105,0.0005433709698193969
1.2603829296797273,0.0005137623780324274
1.3987131026472386,0.0004920003632507839
1.552225357427048,0.00047777997113316505
1.7225859653987874,0.0004707403820971988
1.9116440753857036,0.0004704585612498319
2.121451784910632,0.0004764506955719168
2.35428641432242,0.00048818337079644075
2.612675225563332,0.0005050960899349548
2.8994228538828812,0.0005266359754030728
3.2176417502507353,0.0005523042397877003
3.5707859649004625,0.0005817120890501664
3.9626886387014784,0.00061464068863682
4.397603609302721,0.0006510945923756511
4.880251583654434,0.0006913285831264448
5.415871378079476,0.000735811842532017
6.010276782070388,0.0007850711962097743
6.669919663030129,0.000839337010925079
7.401959996915652,0.0008979287363501115
8.214343584919439,0.0009584044116483303
9.115888299750837,0.001015687299265185
10.11637979766207,0.001061628587171971
11.226677735108158,0.0010856073108727444
12.458833642950081,0.0010765802557774775
13.826221737646593,0.0010263646199551303
15.343684089300131,0.0009330810847924724
17.02769172225898,0.000803153531935478
18.896523396912116,0.0006505895296525388
20.970464013232306,0.000493477332919745
23.27202478960412,0.00034906545989486787
25.826187606826746,0.00022950808389945546
28.66067616948256,0.0001398927986788984
31.80625692794119,7.888277785783248e-05
35.297073027306574,4.107940974473593e-05
39.17101490809261,1.973023163118552e-05
43.47013158125035,8.730362518325898e-06
48.241087041653735,3.5558404523079453e-06
53.535666774107185,1.3321496549207841e-06
59.411339849650396,4.587898788363132e-07
65.93188271333541,1.4518471129751934e-07
73.16807143427206,4.2199578733108794e-08
81.19844993184009,1.1262633088110946e-08
90.11018251665037,2.7593415714535547e-09
100.0,6.204601348929679e-10
