tau,gamma
1e-07,2.3254630262284155e-06
1.1097524964120721e-07,1.196489082786529e-05
1.2315506032928263e-07,4.189432311760237e-05
1.3667163564620074e-07,0.00010300010357987127
1.5167168884709241e-07,0.0001889253664883537
1.6831803533309585e-07,0.0002829046913379195
1.867913599020781e-07,0.0003775699782274648
2.0729217795953698e-07,0.0004739815563994801
2.300430119772917e-07,0.0005747794659459179
2.5529080682395163e-07,0.0006796127149894177
2.833096101839324e-07,0.0007869531057039016
3.1440354715915e-07,0.0008954502761179562
3.489101213406774e-07,0.0010022698604281771
3.872038781812557e-07,0.0011057265673103907
4.2970047043208437e-07,0.0012014752342492828
4.768611697714474e-07,0.0012869508997642599
5.291978735958437e-07,0.0013572770413082548
5.872786613189477e-07,0.0014089796127265313
6.517339604882421e-07,0.0014384499110871682
7.232633896483533e-07,0.0014416501732038747
8.026433522257174e-07,0.0014171300092374653
8.907354638610439e-07,0.0013612013322746265
9.884959046625586e-07,0.0012743836246224291
1.096985797892384e-06,0.0011549613039213047
1.217382727739662e-06,0.0010048383919756064
1.3509935211980278e-06,0.0008257467257934413
1.499268432786047e-06,0.0006199874315354649
1.6638168860761274e-06,0.0003922451856443887
1.8464249428955464e-06,0.00014516279851282805
2.049074689815846e-06,-0.00011498711441030015
2.2739657523579273e-06,-0.0003845043286290294
2.523539170434766e-06,-0.000657688734361276
2.800503894183631e-06,-0.000929557787831312
3.107866187782014e-06,-0.0011966434277874318
3.4489622604057595e-06,-0.0014534600626734814
3.827494478516315e-06,-0.0016986904568221718
4.247571552536894e-06,-0.001927712037287786
4.713753134116729e-06,-0.0021404237542783904
5.2310993080562585e-06,-0.002334868399467103
5.805225516094895e-06,-0.0025112031177433893
6.44236350872137e-06,-0.0026709308099399343
7.149428986597577e-06,-0.0028140234099200087
7.934096665797492e-06,-0.0029447546462240807
8.804883581643465e-06,-0.003063163563856443
9.771241535346501e-06,-0.003174834955811324
1.0843659686896109e-05,-0.003280495469691451
1.2033778407775906e-05,-0.0033852838127345587
1.3354515629298974e-05,-0.003490757636524568
1.48202070579886e-05,-0.0036000113350595567
1.6446761779946626e-05,-0.003714901346601701
1.8251834943190462e-05,-0.0038354411944814667
2.0255019392306664e-05,-0.0039631908409894275
2.2478058335487252e-05,-0.0040945723380409185
2.4945081352303165e-05,-0.004229994669230892
2.7682866303920665e-05,-0.004362289536731384
3.072112998861759e-05,-0.004489741538390239
3.409285069746814e-05,-0.004602581200671614
3.783462617131933e-05,-0.004695862940896512
4.1987070844439056e-05,-0.004759169873464215
4.659525668664687e-05,-0.004783226335005428
5.170920242896755e-05,-0.004758725576934795
5.7384416483024044e-05,-0.004671509934537621
6.368249944718586e-05,-0.0045136640061620515
7.067181273927492e-05,-0.0042686349549304016
7.842822061337681e-05,-0.003930600376909141
8.703591361485166e-05,-0.0034811930522349824
9.658832241158708e-05,-0.002903949384575687
0.00010718913192051276,-0.0021869461810104817
0.00011895340673703195,-0.001346122938014838
0.0001320088400831418,-0.00038490352316744683
0.00014649713983072864,0.0008340403613975655
0.0001625755666443795,0.002454296165242042
