tau,gamma
1e-07,4.307652303714236e-06
1.1097524964120721e-07,2.2003043721026713e-05
1.2315506032928263e-07,7.571884941911826e-05
1.3667163564620074e-07,0.0001789799731083641
1.5167168884709241e-07,0.0003028977200394562
1.6831803533309585e-07,0.00039552366902724783
1.867913599020781e-07,0.0004397287536318264
2.0729217795953698e-07,0.00045173640057802024
2.300430119772917e-07,0.00044702848406077153
2.5529080682395163e-07,0.00043096456593552234
2.833096101839324e-07,0.00040693857125767324
3.1440354715915e-07,0.0003850255007686508
3.489101213406774e-07,0.00037275180619598193
3.872038781812557e-07,0.00036723004166730195
4.2970047043208437e-07,0.00036041137034230873
4.768611697714474e-07,0.0003490118251381798
5.291978735958437e-07,0.0003334954532591521
5.872786613189477e-07,0.00031446048092507263
6.517339604882421e-07,0.0002922083935088168
7.232633896483533e-07,0.00026729402022003025
8.026433522257174e-07,0.0002423053762117581
8.907354638610439e-07,0.00021938567083171442
9.884959046625586e-07,0.00020037083635773451
1.096985797892384e-06,0.00018673879922723858
1.217382727739662e-06,0.000180007653497889
1.3509935211980278e-06,0.00017999277763905362
1.499268432786047e-06,0.0001814148330859921
1.6638168860761274e-06,0.00017625555203800637
1.8464249428955464e-06,0.00016359295042295578
2.049074689815846e-06,0.00015085775080821585
2.2739657523579273e-06,0.00014361656525660064
2.523539170434766e-06,0.00014184962661091777
2.800503894183631e-06,0.00014304883546938294
3.107866187782014e-06,0.00014475895157793452
3.4489622604057595e-06,0.00014502890244239713
3.827494478516315e-06,0.0001435185710368956
4.247571552536894e-06,0.00013999361538141866
4.713753134116729e-06,0.00013302507272426435
5.2310993080562585e-06,0.00012122626569633996
5.805225516094895e-06,0.00010806122431537143
6.44236350872137e-06,0.00010248566171224068
7.149428986597577e-06,0.00010808488703910049
7.934096665797492e-06,0.00011773455368709564
8.804883581643465e-06,0.00012348093395260544
9.771241535346501e-06,0.00012508427142110355
1.0843659686896109e-05,0.00012532151271236677
1.2033778407775906e-05,0.00012458133749453817
1.3354515629298974e-05,0.00012160108612241347
1.48202070579886e-05,0.00011793091588685081
1.6446761779946626e-05,0.00011775893357839239
1.8251834943190462e-05,0.0001222908602437129
2.0255019392306664e-05,0.00012825006343614205
2.2478058335487252e-05,0.0001322907847633818
2.4945081352303165e-05,0.0001339562856991156
2.7682866303920665e-05,0.00013411304982972105
3.072112998861759e-05,0.00013449542716841462
3.409285069746814e-05,0.00013626502329029233
3.783462617131933e-05,0.00013881086234761918
4.1987070844439056e-05,0.00014032982318026182
4.659525668664687e-05,0.00014044137158143952
5.170920242896755e-05,0.00014055482743458454
5.7384416483024044e-05,0.00014217973907285644
6.368249944718586e-05,0.0001465065917638342
7.067181273927492e-05,0.00015356873706949325
7.842822061337681e-05,0.00016203377161138515
8.703591361485166e-05,0.00017014202263865215
9.658832241158708e-05,0.00017759066998005964
0.00010718913192051276,0.00018461778959820714
0.00011895340673703195,0.0001917725001268806
0.0001320088400831418,0.0001993431205615172
0.00014649713983072864,0.00020730852635010173
0.0001625755666443795,0.00021561691002663905
0.00018041864093920718,0.00022519981616165476
0.00020022003718155845,0.00023895828351338857
0.0002221946860939524,0.0002594580891473807
0.0002465811075822604,0.00028758502985873607
0.0002736439997074672,0.00032193071360540497
