tau,gamma
1e-07,3.3264601956334464e-06
1.1097524964120721e-07,1.7027726244081055e-05
1.2315506032928263e-07,5.8899701446121266e-05
1.3667163564620074e-07,0.00014088179452253317
1.5167168884709241e-07,0.0002444224457043368
1.6831803533309585e-07,0.00033347580064090266
1.867913599020781e-07,0.00039372629139306517
2.0729217795953698e-07,0.0004323169499640401
2.300430119772917e-07,0.00046038349428155484
2.5529080682395163e-07,0.0004875603469769016
2.833096101839324e-07,0.0005218567869013567
3.1440354715915e-07,0.0005724354117942576
3.489101213406774e-07,0.0006474240483108823
3.872038781812557e-07,0.0007523558368480022
4.2970047043208437e-07,0.0008901482338683046
4.768611697714474e-07,0.001061765986069503
5.291978735958437e-07,0.0012609985332242626
5.872786613189477e-07,0.0014721011872535212
6.517339604882421e-07,0.0016661930300846193
7.232633896483533e-07,0.0018227971639214453
8.026433522257174e-07,0.0019341988484237582
8.907354638610439e-07,0.001988352645842201
9.884959046625586e-07,0.0019689373501847927
1.096985797892384e-06,0.001859846410235542
1.217382727739662e-06,0.001674881554950941
1.3509935211980278e-06,0.00143497631289244
1.499268432786047e-06,0.00114848634464853
1.6638168860761274e-06,0.0008410375190689691
1.8464249428955464e-06,0.0006214602109843968
2.049074689815846e-06,0.0006776269163893747
2.2739657523579273e-06,0.0010672854920917073
2.523539170434766e-06,0.0016172869258303292
2.800503894183631e-06,0.00214241778981284
3.107866187782014e-06,0.002589224885866035
3.4489622604057595e-06,0.00296198925684801
3.827494478516315e-06,0.0032609374636237125
4.247571552536894e-06,0.0034635083620267525
4.713753134116729e-06,0.0035632635802922102
5.2310993080562585e-06,0.003565080355835336
5.805225516094895e-06,0.003478077602322786
6.44236350872137e-06,0.0033202707813004702
7.149428986597577e-06,0.0031051440845525453
7.934096665797492e-06,0.0028583174391244833
8.804883581643465e-06,0.002603364879572961
9.771241535346501e-06,0.0023742527517906973
1.0843659686896109e-05,0.002206718978822822
1.2033778407775906e-05,0.002132497394611146
1.3354515629298974e-05,0.0021818534451483276
1.48202070579886e-05,0.002374470158148188
1.6446761779946626e-05,0.0027223071424372016
1.8251834943190462e-05,0.0032381765758231263
2.0255019392306664e-05,0.003931867299489739
2.2478058335487252e-05,0.004817320241117201
2.4945081352303165e-05,0.005905821363036454
2.7682866303920665e-05,0.007207774442120776
3.072112998861759e-05,0.008739056919202591
3.409285069746814e-05,0.010505141142535021
3.783462617131933e-05,0.012529564223040612
4.1987070844439056e-05,0.014817603943392597
4.659525668664687e-05,0.017399908451910206
5.170920242896755e-05,0.020290407368716096
5.7384416483024044e-05,0.023520346658432334
6.368249944718586e-05,0.027119815127550028
7.067181273927492e-05,0.031118437988093557
7.842822061337681e-05,0.03558280014799814
8.703591361485166e-05,0.040549547771400664
