tau,gamma
1e-07,7.781662390752568e-06
1.1097524964120721e-07,3.9850786306695604e-05
1.2315506032928263e-07,0.0001379888231692477
1.3667163564620074e-07,0.0003308202367737869
1.5167168884709241e-07,0.0005765583994239533
1.6831803533309585e-07,0.0007918464611605868
1.867913599020781e-07,0.0009394855188912067
2.0729217795953698e-07,0.0010268447168611397
2.300430119772917e-07,0.0010685182443576364
2.5529080682395163e-07,0.0010736617483732664
2.833096101839324e-07,0.0010467456387551815
3.1440354715915e-07,0.0009972954375699098
3.489101213406774e-07,0.0009334371890748879
3.872038781812557e-07,0.0008643362827764847
4.2970047043208437e-07,0.0007970378440454816
4.768611697714474e-07,0.0007360610943683128
5.291978735958437e-07,0.0006858972972655678
5.872786613189477e-07,0.0006538900672512952
6.517339604882421e-07,0.0006513157743693132
7.232633896483533e-07,0.0006834543797199158
8.026433522257174e-07,0.0007464583126645306
8.907354638610439e-07,0.0008335255714409013
9.884959046625586e-07,0.0009375754308134534
1.096985797892384e-06,0.0010495631334749248
1.217382727739662e-06,0.0011596806394279652
1.3509935211980278e-06,0.0012548526955101535
1.499268432786047e-06,0.001327842028036177
1.6638168860761274e-06,0.0013734647865017695
1.8464249428955464e-06,0.0013923413107017927
2.049074689815846e-06,0.0013922547296895725
2.2739657523579273e-06,0.0013854999668494055
2.523539170434766e-06,0.0013962754520154437
2.800503894183631e-06,0.0014554765576215271
3.107866187782014e-06,0.0016030870217273857
3.4489622604057595e-06,0.001870305952829706
3.827494478516315e-06,0.0022518099745307573
4.247571552536894e-06,0.002715689896857994
4.713753134116729e-06,0.0032352809501116162
5.2310993080562585e-06,0.003781193064384785
5.805225516094895e-06,0.004333816452789844
6.44236350872137e-06,0.0048740241682799215
7.149428986597577e-06,0.005389036900108576
7.934096665797492e-06,0.0058802328087775475
8.804883581643465e-06,0.0063411532918512025
9.771241535346501e-06,0.006770423139688489
1.0843659686896109e-05,0.007154092159131887
1.2033778407775906e-05,0.007498915203964644
1.3354515629298974e-05,0.00780784292792333
1.48202070579886e-05,0.008087177710496106
1.6446761779946626e-05,0.008338777488087392
1.8251834943190462e-05,0.008566499978004485
2.0255019392306664e-05,0.008789178216151144
2.2478058335487252e-05,0.009017712836690015
2.4945081352303165e-05,0.009276408033310035
2.7682866303920665e-05,0.009578310225204154
3.072112998861759e-05,0.009954316857840827
3.409285069746814e-05,0.010427769725485342
3.783462617131933e-05,0.011034705365979334
4.1987070844439056e-05,0.01180636286974574
4.659525668664687e-05,0.012781727132939284
5.170920242896755e-05,0.013999321653551437
5.7384416483024044e-05,0.015504320640363166
6.368249944718586e-05,0.01735348235123375
7.067181273927492e-05,0.019613122941667442
7.842822061337681e-05,0.022387391690439237
8.703591361485166e-05,0.025789903657947703
9.658832241158708e-05,0.029997297105133217
0.00010718913192051276,0.03521113533128854
0.00011895340673703195,0.04175709702064333
0.0001320088400831418,0.0499826608402167
0.00014649713983072864,0.060253089341359624
0.0001625755666443795,0.0727789844564185
0.00018041864093920718,0.08769203350604378
0.00020022003718155845,0.10487239897984268
0.0002221946860939524,0.12408841181317931
0.0002465811075822604,0.14514658551270618
0.0002736439997074672,0.16761411187377087
0.00030367711180354605,0.19130780512833231
0.00033700643292719284,0.21565700900546914
0.0003739937302478798,0.24041492566662806
0.0004150404757850477,0.2650032416804191
0.00046059220411451084,0.28903650049226187
0.0005111433483440171,0.31212988285114873
0.0005672426068491978,0.3337355240530898
0.0006294988990221888,0.35372672235145775
0.0006985879746785249,0.37147941450307254
0.0007752597488629464,0.3871297382220582
0.000860346441668451,0.40022120189957267
0.0009547716114208065,0.41099975801299815
0.001059560179277617,0.4193435786828649
0.0011758495540521582,0.42544067763760696
0.0013049019780144017,0.4295620650358943
0.001448118227674533,0.4317624292175924
0.0016070528182616384,0.43260054336878934
0.0017834308769319094,0.4320194455051301
0.0019791668678535573,0.4306598858000497
0.002196385372416547,0.42842569250595663
0.002437444150122222,0.42583144447921817
0.002704959730463137,0.42282217876469913
0.0030018358135755923,0.41968408004404123
0.003331294787934677,0.4164898458752951
0.0036969127071950323,0.413254112458172
0.00410265810582719,0.410154996478069
0.004552935074866948,0.4069556554037265
0.00505263106533568,0.4038922842900405
0.005607169938205458,0.40056994613734803
0.006222570836730231,0.39720432668905314
0.006905513520162331,0.39336336238366343
0.007663410868007463,0.3891367500008345
0.008504489341802686,0.3841673259789921
0.009437878277775391,0.37834898723483024
0.010473708979594508,0.37150127106248365
0.011623224686798541,0.36332618596642713
0.01289890261253308,0.35386685621360753
0.014314589375234785,0.3427281230369696
0.015885651294280528,0.3301437558171481
0.01762914118095948,0.31579874824154996
0.01956398343517065,0.3000361882706006
0.021711179456945052,0.2828073601814067
0.02409403560239527,0.26444150182987514
0.026738416158399492,0.2452071820384439
0.029673024081888724,0.22534453979789074
0.032929712550971546,0.2053397640754409
0.036543830709572546,0.18535184555327525
0.040554607358408275,0.16589758991745884
0.04500557675700498,0.1471054445552573
0.0499450511585514,0.12936494501112783
0.05542664520663107,0.11281138501619242
0.06150985788580504,0.09764919995556758
0.06826071834272393,0.08400807065885202
0.0757525025877192,0.07190804502332813
0.08406652885618333,0.06139450491508107
0.09329304026284696,0.05233945036564812
0.10353218432956637,0.04465553994532561
0.11489510001873086,0.038144467389139465
0.1275051240713013,0.03266452082757566
0.1414991297434576,0.02803628167792382
0.15702901247293774,0.02413712693541568
0.17426333860096507,0.020847230740951215
0.19338917504552322,0.018074148038874912
0.21461411978584058,0.01574513425605141
0.23816855519761607,0.01379193003312403
0.2643081486974108,0.012170809738318513
0.29331662783900486,0.010828526543271436
0.32550885998350565,0.00973023053931753
0.36123426997094304,0.00883015292528888
0.40088063288984643,0.00809713255095271
0.4448782831127585,0.007496643089394626
0.4937047852839004,0.007013796198947801
0.5478901179593945,0.0066315602922975255
0.6080224261649427,0.006336609861786677
0.67475440531107,0.006111574931013779
0.748810385759003,0.005943132545398223
0.8309941949353403,0.005820073839664295
0.9221978823334341,0.005729478251833738
1.0234114021054528,0.005662491210454279
1.135733358343105,0.00560771803301758
1.2603829296797273,0.005566321930625918
1.3987131026472386,0.005532368643985347
1.552225357427048,0.005506695404513709
1.7225859653987874,0.005480605881284499
1.9116440753857036,0.0054507617544080015
2.121451784910632,0.0054085101209337735
2.35428641432242,0.005349632412885705
2.612675225563332,0.005272249787038802
2.8994228538828812,0.005172056713385895
3.2176417502507353,0.005051094161538746
3.5707859649004625,0.004903965903061844
3.9626886387014784,0.004734468207651899
4.397603609302721,0.004538696068573635
4.880251583654434,0.004322203052961382
5.415871378079476,0.004086164689434223
6.010276782070388,0.0038353869735588964
6.669919663030129,0.0035743660908209266
7.401959996915652,0.0033045136517738083
8.214343584919439,0.0030297771126149846
9.115888299750837,0.0027474624375196125
10.11637979766207,0.0024587097223268783
11.226677735108158,0.002158490217248759
12.458833642950081,0.0018454522115796434
13.826221737646593,0.0015113371845689534
15.343684089300131,0.0011466905755899313
17.02769172225898,0.0007576787318215232
18.896523396912116,0.00039802175412260695
20.970464013232306,0.00015294620715147156
23.27202478960412,4.082623670089184e-05
25.826187606826746,7.37957073875431e-06
28.66067616948256,8.931587138812885e-07
31.80625692794119,7.204149642984829e-08
35.297073027306574,3.865019754378762e-09
39.17101490809261,1.3781387401223358e-10
43.47013158125035,3.264881071127107e-12
48.241087041653735,5.138290661271924e-14
53.535666774107185,5.371852019198478e-16
59.411339849650396,3.730561918217014e-18
65.93188271333541,1.720939359707853e-20
73.16807143427206,5.2734699142022485e-23
81.19844993184009,1.073411777361118e-25
90.11018251665037,1.451359399157137e-28
100.0,1.3035335510916212e-31
