tau,gamma
1e-07,3.730377335691856e-05
1.1097524964120721e-07,0.00019148467169438993
1.2315506032928263e-07,0.0006667576397314905
1.3667163564620074e-07,0.001618993512077781
1.5167168884709241e-07,0.002896760409330972
1.6831803533309585e-07,0.004164606929536874
1.867913599020781e-07,0.005270641087107189
2.0729217795953698e-07,0.006232877963730445
2.300430119772917e-07,0.007092713880822019
2.5529080682395163e-07,0.007847798839571343
2.833096101839324e-07,0.008478987749607403
3.1440354715915e-07,0.008995633020721334
3.489101213406774e-07,0.009398007738848838
3.872038781812557e-07,0.009705185510326895
4.2970047043208437e-07,0.009919403996249729
4.768611697714474e-07,0.010058970207522328
5.291978735958437e-07,0.010136636573806142
5.872786613189477e-07,0.010167342239100327
6.517339604882421e-07,0.01016932168235438
7.232633896483533e-07,0.01014937674683288
8.026433522257174e-07,0.010123330547736786
8.907354638610439e-07,0.010089248674855061
9.884959046625586e-07,0.010058510578867964
1.096985797892384e-06,0.010026635729669671
1.217382727739662e-06,0.010006418598351628
1.3509935211980278e-06,0.010004977356252012
1.499268432786047e-06,0.010046371384348716
1.6638168860761274e-06,0.010161474024483072
1.8464249428955464e-06,0.010381893243506506
2.049074689815846e-06,0.01074199141173354
2.2739657523579273e-06,0.011256292572775552
2.523539170434766e-06,0.011927031157625325
2.800503894183631e-06,0.012742189329398496
3.107866187782014e-06,0.013709838018800598
3.4489622604057595e-06,0.014825579207264558
3.827494478516315e-06,0.01610788620348896
4.247571552536894e-06,0.017562247925112094
4.713753134116729e-06,0.019230133467041458
5.2310993080562585e-06,0.02114042848021149
5.805225516094895e-06,0.02329392847749794
6.44236350872137e-06,0.025639453455879674
7.149428986597577e-06,0.028143330869889308
7.934096665797492e-06,0.03085117614849064
8.804883581643465e-06,0.03379211046332753
9.771241535346501e-06,0.0370224484554152
1.0843659686896109e-05,0.04053443330144048
1.2033778407775906e-05,0.04437952072702912
1.3354515629298974e-05,0.048553213200392305
1.48202070579886e-05,0.053104567023106966
