tau,gamma
1e-07,0.0002380147475359165
1.1097524964120721e-07,0.0012217830725086655
1.2315506032928263e-07,0.004254512127434513
1.3667163564620074e-07,0.010331837268222241
1.5167168884709241e-07,0.018490838647760802
1.6831803533309585e-07,0.026597675343783225
1.867913599020781e-07,0.033694782563618034
2.0729217795953698e-07,0.039921434425290205
2.300430119772917e-07,0.04559183063197086
2.5529080682395163e-07,0.050768972250886814
2.833096101839324e-07,0.05539773105370111
3.1440354715915e-07,0.05955449666386064
3.489101213406774e-07,0.06323741956510044
3.872038781812557e-07,0.06654380948519599
4.2970047043208437e-07,0.06945348568367818
4.768611697714474e-07,0.07207091300177498
5.291978735958437e-07,0.07444166391558216
5.872786613189477e-07,0.07660591599694908
6.517339604882421e-07,0.0785611432172176
7.232633896483533e-07,0.08025669608811607
8.026433522257174e-07,0.08173485739069371
8.907354638610439e-07,0.08293696780587606
9.884959046625586e-07,0.08395215818774968
1.096985797892384e-06,0.08474081212562296
1.217382727739662e-06,0.08540240028721796
1.3509935211980278e-06,0.08592992804780127
1.499268432786047e-06,0.08637755562438232
1.6638168860761274e-06,0.08674739121620395
1.8464249428955464e-06,0.08702392254435665
2.049074689815846e-06,0.08722858046932232
2.2739657523579273e-06,0.08730718652460603
2.523539170434766e-06,0.08733923403126109
2.800503894183631e-06,0.08728494374740835
3.107866187782014e-06,0.08725964677874887
3.4489622604057595e-06,0.08724789772339103
3.827494478516315e-06,0.08733011496999274
4.247571552536894e-06,0.08748756740283019
4.713753134116729e-06,0.08774109010469539
5.2310993080562585e-06,0.08809214870548279
5.805225516094895e-06,0.0885199659848451
6.44236350872137e-06,0.08907361743538218
7.149428986597577e-06,0.08970339654152217
7.934096665797492e-06,0.09047534181186809
8.804883581643465e-06,0.09132838621338188
9.771241535346501e-06,0.09236347249239965
1.0843659686896109e-05,0.09356454008032476
1.2033778407775906e-05,0.0950198297022236
1.3354515629298974e-05,0.09671744515481626
1.48202070579886e-05,0.09864334367622164
1.6446761779946626e-05,0.10073326885974
1.8251834943190462e-05,0.10291279495516173
2.0255019392306664e-05,0.1052291557146925
2.2478058335487252e-05,0.10762250362577687
2.4945081352303165e-05,0.11017331740735535
2.7682866303920665e-05,0.1127873788175969
3.072112998861759e-05,0.11553478930305174
3.409285069746814e-05,0.11832779646648912
3.783462617131933e-05,0.12123080685874472
4.1987070844439056e-05,0.12422560651366062
4.659525668664687e-05,0.1273265158927889
5.170920242896755e-05,0.13054419496733966
5.7384416483024044e-05,0.13380404802616422
6.368249944718586e-05,0.13714476331267555
7.067181273927492e-05,0.1404286399158819
7.842822061337681e-05,0.14373431157204908
8.703591361485166e-05,0.14692361187350533
9.658832241158708e-05,0.15009482385795953
0.00010718913192051276,0.15316012648919977
0.00011895340673703195,0.15617221104733087
0.0001320088400831418,0.1590924758803554
0.00014649713983072864,0.1618819023552502
0.0001625755666443795,0.16455828268694106
0.00018041864093920718,0.16698981921948994
0.00020022003718155845,0.1692449168926912
0.0002221946860939524,0.1711385018599066
0.0002465811075822604,0.1727715469075961
0.0002736439997074672,0.17398561403572518
0.00030367711180354605,0.17489288501711192
0.00033700643292719284,0.17544209777502506
0.0003739937302478798,0.17569022861935102
0.0004150404757850477,0.17567886474067432
0.00046059220411451084,0.1753868949515774
0.0005111433483440171,0.1749577037108857
0.0005672426068491978,0.17431925779013985
0.0006294988990221888,0.17365820791432104
0.0006985879746785249,0.17288099640939286
0.0007752597488629464,0.17216228069083317
0.000860346441668451,0.17143915713639724
0.0009547716114208065,0.1708380168120317
0.001059560179277617,0.17037478216984686
0.0011758495540521582,0.17012098084938632
0.0013049019780144017,0.170201850273912
0.001448118227674533,0.1706470510212144
0.0016070528182616384,0.17166499900472407
0.0017834308769319094,0.1732377407451735
0.0019791668678535573,0.1755601797832004
0.002196385372416547,0.17857631009465363
0.002437444150122222,0.18250400552223262
0.002704959730463137,0.1873572834747553
0.0030018358135755923,0.19332592914380411
0.003331294787934677,0.20043411473925368
0.0036969127071950323,0.20869289158578802
0.00410265810582719,0.21802150348515284
0.004552935074866948,0.22827123687202186
0.00505263106533568,0.2394809169671549
0.005607169938205458,0.2513365088418339
0.006222570836730231,0.2636467845467716
0.006905513520162331,0.27569434409580135
0.007663410868007463,0.2871685812192259
0.008504489341802686,0.2973067080944238
0.009437878277775391,0.3057105128170325
0.010473708979594508,0.31174911751437673
0.011623224686798541,0.31483055130025644
0.01289890261253308,0.31454668818595216
0.014314589375234785,0.3102597342620186
0.015885651294280528,0.30212050457037587
0.01762914118095948,0.2899017109444878
0.01956398343517065,0.2743104123494045
0.021711179456945052,0.25578953572114027
0.02409403560239527,0.23523052422821145
0.026738416158399492,0.21355607063471557
0.029673024081888724,0.19155114686485994
0.032929712550971546,0.17025623650275953
0.036543830709572546,0.15027095496417672
0.040554607358408275,0.13240693888383298
0.04500557675700498,0.11700080212318964
0.0499450511585514,0.10429652375715584
0.05542664520663107,0.09421202578026618
0.06150985788580504,0.08647284252528294
0.06826071834272393,0.08064158060340935
0.0757525025877192,0.07625064603015318
0.08406652885618333,0.07280553524524763
0.09329304026284696,0.06985614738529106
0.10353218432956637,0.06702587780730224
0.11489510001873086,0.06397274913445138
0.1275051240713013,0.06055393162819493
0.1414991297434576,0.05663167271365125
0.15702901247293774,0.05233224502407786
0.17426333860096507,0.047750782866250154
0.19338917504552322,0.043069851674565875
0.21461411978584058,0.03846940109849405
