tau,gamma,ftp
1e-07,1.7001746539105743e-05,5.194279393840349e-05
1.1097524964120721e-07,8.730350443553409e-05,0.0002666457734927376
1.2315506032928263e-07,0.0003042565131434551,0.0009286128845173788
1.3667163564620074e-07,0.0007402332136029684,0.0022555673973509525
1.5167168884709241e-07,0.0013298276112947462,0.004038222695003782
1.6831803533309585e-07,0.0019255587634143094,0.005810385325223012
1.867913599020781e-07,0.002462870640697691,0.007357358687978034
2.0729217795953698e-07,0.0029542369332796513,0.008699585042913665
2.300430119772917e-07,0.003424076344905313,0.009900774196368246
2.5529080682395163e-07,0.0038772072585341877,0.010978121149639085
2.833096101839324e-07,0.004309497443972319,0.011923958846987135
3.1440354715915e-07,0.004723865671884522,0.012758321775575638
3.489101213406774e-07,0.005116625599118674,0.013483853875727083
3.872038781812557e-07,0.005491066480031878,0.014125253916490539
4.2970047043208437e-07,0.005839611702753396,0.014680537528483027
4.768611697714474e-07,0.006164237620910317,0.01516694347821536
5.291978735958437e-07,0.006460483511384776,0.01558665574657598
5.872786613189477e-07,0.006729613099611642,0.015948241333780932
6.517339604882421e-07,0.00697405078251729,0.01626157043259808
7.232633896483533e-07,0.00719543929079952,0.016525358804269173
8.026433522257174e-07,0.007405684555365422,0.01675502838470634
8.907354638610439e-07,0.007608833291222177,0.016942419658410975
9.884959046625586e-07,0.007822199683780912,0.017106834791651777
1.096985797892384e-06,0.008052796470703878,0.01723945851250891
1.217382727739662e-06,0.00832090400188974,0.017355963946065905
1.3509935211980278e-06,0.008638412056398379,0.017449517385954377
1.499268432786047e-06,0.009024781921112173,0.01752836370484575
1.6638168860761274e-06,0.0094936644092136,0.01759324801172013
1.8464249428955464e-06,0.010059390993274983,0.01764347236983029
2.049074689815846e-06,0.010732787390300647,0.017687282662702076
2.2739657523579273e-06,0.011516619046721261,0.01771532611633203
2.523539170434766e-06,0.012415141989387132,0.017740555714704263
2.800503894183631e-06,0.013426871547188746,0.01774880738815499
3.107866187782014e-06,0.014578350178110018,0.017754392419126474
3.4489622604057595e-06,0.015873180271351855,0.01774447431917028
3.827494478516315e-06,0.01731100297364202,0.017729954734209234
4.247571552536894e-06,0.018853925333768305,0.017704007398888177
4.713753134116729e-06,0.020504479424219284,0.017670165139639937
5.2310993080562585e-06,0.022265558979596575,0.017629875731728244
5.805225516094895e-06,0.02415887353549608,0.017577900780701067
6.44236350872137e-06,0.026207502084059107,0.01752309464964692
7.149428986597577e-06,0.028414732391934566,0.017453372516436843
7.934096665797492e-06,0.0307949356366121,0.017382052246544048
8.804883581643465e-06,0.03334139793378932,0.017294591381855802
9.771241535346501e-06,0.036132368162076614,0.01720343056005427
1.0843659686896109e-05,0.039206669440794865,0.01709583565489055
1.2033778407775906e-05,0.042634355851154285,0.016977788860579556
1.3354515629298974e-05,0.04644178996590789,0.01684165270755269
1.48202070579886e-05,0.0507864688288147,0.01668458337042931
1.6446761779946626e-05,0.05589174171219125,0.016506998037337708
1.8251834943190462e-05,0.06201950580355716,0.01629797911798528
2.0255019392306664e-05,0.0694535492145177,0.016064854517296293
2.2478058335487252e-05,0.07853901304910617,0.015791188972539373
2.4945081352303165e-05,0.08988764239172492,0.015485936423295715
2.7682866303920665e-05,0.10458750170630839,0.015131580745931555
3.072112998861759e-05,0.12461867707562164,0.014734710356945494
3.409285069746814e-05,0.15171010549196523,0.014283111333262719
3.783462617131933e-05,0.18565862917023918,0.013776818438665028
4.1987070844439056e-05,0.22431334212815587,0.01321156845506456
4.659525668664687e-05,0.26608098621487575,0.012579869760895868
5.170920242896755e-05,0.30933440767308473,0.011886430859927136
5.7384416483024044e-05,0.3527100449496443,0.011120798711790222
6.368249944718586e-05,0.3944572476848711,0.01029585343074201
7.067181273927492e-05,0.43195593917638203,0.009404130771083995
7.842822061337681e-05,0.4623944382636513,0.008459990270389897
8.703591361485166e-05,0.4814572164551249,0.0074715620639640625
9.658832241158708e-05,0.4861064236245436,0.006472117458197695
0.00010718913192051276,0.4737975021167568,0.0054949197932235
0.00011895340673703195,0.44735463504110157,0.004543943840500693
0.0001320088400831418,0.4132331542070177,0.003652574757725836
0.00014649713983072864,0.3757448052104077,0.002978103993609747
0.0001625755666443795,0.3374140665781267,0.0028107542908733358
0.00018041864093920718,0.29911727945321787,0.0032571490979277254
0.00020022003718155845,0.2624545214903083,0.004087196023680819
0.0002221946860939524,0.22838074739052838,0.005039740733748778
0.0002465811075822604,0.19777062531183134,0.006020984271696853
0.0002736439997074672,0.17104863219821262,0.007015757983169605
0.00030367711180354605,0.14822189645430128,0.008014706284076177
0.00033700643292719284,0.12912923617067285,0.008975818409879863
0.0003739937302478798,0.11322258019353215,0.009883350867326937
0.0004150404757850477,0.09995128391608699,0.010724124429653219
0.00046059220411451084,0.08871185024767528,0.01149492624880726
0.0005111433483440171,0.0791771639526643,0.012196707982365843
0.0005672426068491978,0.0709701528634731,0.012822113510620082
0.0006294988990221888,0.06385138466443648,0.013383908904209664
0.0006985879746785249,0.05754822525002565,0.01387482726315517
0.0007752597488629464,0.05193696188980697,0.014312659539614754
0.000860346441668451,0.04690506551741831,0.014692779921086349
0.0009547716114208065,0.04235763310354001,0.015031975849627255
0.001059560179277617,0.038214202831180114,0.015333781438439817
0.0011758495540521582,0.03438462971710697,0.015610438543969596
0.0013049019780144017,0.0308433622569895,0.01587543212883358
0.001448118227674533,0.02753021777211604,0.01613341323748704
0.0016070528182616384,0.024449796180115956,0.016402463771312475
0.0017834308769319094,0.021559615616340653,0.016679808390736725
0.0019791668678535573,0.018851213895195416,0.016986829943012267
0.002196385372416547,0.016295063211696013,0.01732097351537601
0.002437444150122222,0.013895764661567264,0.017708465279174385
0.002704959730463137,0.011668624703124407,0.018154411165812543
0.0030018358135755923,0.009617925020221093,0.0186796314476591
0.003331294787934677,0.007761924428666017,0.019290712784037906
0.0036969127071950323,0.006093560229856485,0.020002063787930915
0.00410265810582719,0.004627924180271737,0.02083386268890901
0.004552935074866948,0.0033884492572014376,0.021804943382651668
0.00505263106533568,0.002436428857948562,0.02295890214260427
0.005607169938205458,0.001800104840545335,0.024312151600176655
0.006222570836730231,0.0014218271113257677,0.025896693534331636
0.006905513520162331,0.0012186552121545738,0.027716800283925036
0.007663410868007463,0.0011236226703587892,0.02984034684039501
0.008504489341802686,0.0010923178808210608,0.03231360622714251
0.009437878277775391,0.0011043802556085234,0.035206289261647775
0.010473708979594508,0.0011550336080782255,0.03854994703524573
0.011623224686798541,0.001246047377953541,0.04241579495044966
0.01289890261253308,0.0013794934866820665,0.046886597940852114
0.014314589375234785,0.0015508122973712601,0.05205517161431665
