tau,gamma,ftp
1.591549430918952e-05,5.803741559304331e-05,0.0
1.7662259541255198e-05,8.007739358623354e-05,0.0
1.9600736618185897e-05,9.981900518640922e-05,0.0
2.1751966393547314e-05,0.00011693537041312598,0.0
2.413929900711063e-05,0.0001325923237807664,0.0
2.6788647334778475e-05,0.00014817992271701848,0.0
2.9728768255272957e-05,0.00016479857096014344,0.0
3.2991574786545125e-05,0.000182881767838306,0.0
3.6612482479934024e-05,0.0002027130289211379,0.0
4.063079383195004e-05,0.0002244751075870433,0.0
4.509012488621078e-05,0.0002485813855986218,0.0
5.003887865600451e-05,0.0002760898246674666,0.0
5.553077050616176e-05,0.0003078759235901208,0.0
6.162541119689888e-05,0.00034485559222565955,0.0
6.8388953918179e-05,0.0003873499122117745,0.0
7.58948123377093e-05,0.0004361768526278299,0.0
8.422445745649845e-05,0.0004915895705644307,0.0
9.346830192130152e-05,0.0005543998307846102,0.0
0.00010372668139256164,0.0006246149718300016,0.0
0.00011511094361993492,0.0007018240137168335,0.0
0.00012774465704657205,0.000784688406527537,0.0
0.00014176495206073733,0.0008726495488170397,0.0
0.000157324009453141,0.0009680688814368203,0.0
0.00017459071223617964,0.0010719688829903104,0.0
0.00019375247875446207,0.0011841269781126375,0.0
0.00021501729698379126,0.0013004427607228334,0.0
0.000238615982099538,0.001418056339092679,0.0
0.00026480468181878063,0.0015317176022007829,0.0
0.00029386765670999624,0.0016384374046936449,0.0
0.0003261203656486838,0.00173540875708547,2.30449e-318
0.0003619128899094446,0.0018201466269937578,6.834861162967368e-308
0.0004016337330607136,0.0018926197499966244,1.346551667723193e-297
0.0004457140379074267,0.001950630047241976,1.7621988321337957e-287
0.0004946322662536717,0.001995795197164272,1.5318821584067049e-277
0.0005489193922809729,0.0020265977396226923,8.845744049789278e-268
0.0006091646659128072,0.0020455935073166462,3.392985017275635e-258
0.000676022008722763,0.002053108786083593,8.645061294112571e-249
0.0007502171118095899,0.00205151850420071,1.4631632135468987e-239
0.000832555312681747,0.00204274205100886,1.6449626163744917e-230
0.0009239303366497012,0.0020280401011383777,1.228451043122291e-221
0.001025333997607852,0.0020100715062583035,6.093940875080834e-213
