tau,gamma
1e-07,1.2206548892120426e-07
1.1097524964120721e-07,6.313560216603435e-07
1.2315506032928263e-07,2.237330103319801e-06
1.3667163564620074e-07,5.6372145976515686e-06
1.5167168884709241e-07,1.0750593461951555e-05
1.6831803533309585e-07,1.6621789747232914e-05
1.867913599020781e-07,2.149697046890467e-05
2.0729217795953698e-07,2.3224910184434895e-05
2.300430119772917e-07,2.1736294036597733e-05
2.5529080682395163e-07,1.9679133569756034e-05
2.833096101839324e-07,1.9326210640594635e-05
3.1440354715915e-07,2.097986189301665e-05
3.489101213406774e-07,2.388941939101988e-05
3.872038781812557e-07,2.7018463948163014e-05
4.2970047043208437e-07,2.9805003679616596e-05
4.768611697714474e-07,3.3371824883646e-05
5.291978735958437e-07,3.948859903503723e-05
5.872786613189477e-07,4.7825650696824056e-05
6.517339604882421e-07,5.5479645783894786e-05
7.232633896483533e-07,5.947502812669877e-05
8.026433522257174e-07,5.7913107599462265e-05
8.907354638610439e-07,5.112847516899985e-05
9.884959046625586e-07,4.3288025678962425e-05
1.096985797892384e-06,3.8405308651786125e-05
1.217382727739662e-06,3.6368004108982314e-05
1.3509935211980278e-06,3.463500589293508e-05
1.499268432786047e-06,3.130102934774729e-05
1.6638168860761274e-06,2.5820994696640827e-05
1.8464249428955464e-06,1.96590902083722e-05
2.049074689815846e-06,1.609717303836465e-05
2.2739657523579273e-06,1.698032327933329e-05
2.523539170434766e-06,2.1408300334199383e-05
2.800503894183631e-06,2.789209639558472e-05
3.107866187782014e-06,3.541497522585377e-05
3.4489622604057595e-06,4.249313900465417e-05
3.827494478516315e-06,4.6099334231668126e-05
4.247571552536894e-06,4.30706302202975e-05
4.713753134116729e-06,3.472026410693012e-05
5.2310993080562585e-06,2.6221067220078352e-05
5.805225516094895e-06,2.13392985815249e-05
6.44236350872137e-06,2.1061698304446538e-05
7.149428986597577e-06,2.3703567399991876e-05
7.934096665797492e-06,2.498899331460673e-05
8.804883581643465e-06,2.206603666058175e-05
9.771241535346501e-06,1.7200055927677238e-05
1.0843659686896109e-05,1.4081167560998687e-05
1.2033778407775906e-05,1.2898075321754658e-05
1.3354515629298974e-05,1.1486099477693579e-05
1.48202070579886e-05,8.96417590921287e-06
1.6446761779946626e-05,6.224919439847133e-06
1.8251834943190462e-05,4.2430529469524685e-06
2.0255019392306664e-05,3.4870795921066594e-06
2.2478058335487252e-05,3.884867907809302e-06
2.4945081352303165e-05,4.829240606650449e-06
2.7682866303920665e-05,5.9906116723960555e-06
3.072112998861759e-05,7.964283252952173e-06
3.409285069746814e-05,1.1181014447547642e-05
3.783462617131933e-05,1.4106914497706513e-05
4.1987070844439056e-05,1.415722621212122e-05
4.659525668664687e-05,1.1241079787376314e-05
5.170920242896755e-05,7.967134221245275e-06
5.7384416483024044e-05,6.220062742880689e-06
6.368249944718586e-05,5.9639801826896156e-06
7.067181273927492e-05,6.425928487946304e-06
7.842822061337681e-05,6.8174597915461794e-06
8.703591361485166e-05,6.6564750743632955e-06
9.658832241158708e-05,6.106392185014181e-06
0.00010718913192051276,5.610326630770755e-06
0.00011895340673703195,5.366079746049631e-06
0.0001320088400831418,5.329624505005863e-06
0.00014649713983072864,5.426301500343353e-06
0.0001625755666443795,5.6297305745532275e-06
0.00018041864093920718,5.960164277215865e-06
0.00020022003718155845,6.473740254423633e-06
0.0002221946860939524,7.175144982298545e-06
0.0002465811075822604,7.965983875733933e-06
0.0002736439997074672,8.765193175008955e-06
0.00030367711180354605,9.717014461722034e-06
0.00033700643292719284,1.1073522953571669e-05
0.0003739937302478798,1.3070411938639714e-05
0.0004150404757850477,1.646022506946739e-05
0.00046059220411451084,2.3767944812965794e-05
0.0005111433483440171,3.842555691862668e-05
0.0005672426068491978,5.866870884939309e-05
0.0006294988990221888,7.395739548152627e-05
0.0006985879746785249,7.608962099441683e-05
0.0007752597488629464,7.023604463631326e-05
0.000860346441668451,6.640674655004897e-05
0.0009547716114208065,6.813339059226851e-05
0.001059560179277617,7.297591516038451e-05
0.0011758495540521582,7.670982196825682e-05
0.0013049019780144017,7.656154085946111e-05
0.001448118227674533,7.82092745426358e-05
0.0016070528182616384,9.546867903064188e-05
0.0017834308769319094,0.0001293585347616172
0.0019791668678535573,0.00015439351098039413
0.002196385372416547,0.00014589314009231657
0.002437444150122222,0.00011165028661783835
0.002704959730463137,8.080091785682227e-05
0.0030018358135755923,8.669735332614413e-05
0.003331294787934677,0.00016013569698464334
0.0036969127071950323,0.00031693926316732167
0.00410265810582719,0.0006216335462175819
0.004552935074866948,0.0014159592717780396
0.00505263106533568,0.003804369036760771
0.005607169938205458,0.012231538421158325
0.006222570836730231,0.04921889001181453
0.006905513520162331,0.2003177908280688
0.007663410868007463,0.6442845980376617
0.008504489341802686,1.4638543127144763
0.009437878277775391,2.2593908524554562
0.010473708979594508,2.3364300817118315
0.011623224686798541,1.610383770714227
0.01289890261253308,0.7383422790254767
0.014314589375234785,0.22505860784640402
0.015885651294280528,0.04566334221447527
0.01762914118095948,0.006226381170152756
0.01956398343517065,0.0006081130540248172
0.021711179456945052,6.141360474896456e-05
0.02409403560239527,1.519488228459227e-05
0.026738416158399492,9.541624866442944e-06
0.029673024081888724,9.113534153052453e-06
