tau,gamma
1e-07,6.831770153271194e-06
1.1097524964120721e-07,3.507002734173321e-05
1.2315506032928263e-07,0.00012212944436297134
1.3667163564620074e-07,0.00029662312018155387
1.5167168884709241e-07,0.0005309582980218089
1.6831803533309585e-07,0.0007636939180338259
1.867913599020781e-07,0.0009663722637042717
2.0729217795953698e-07,0.0011411518912797709
2.300430119772917e-07,0.0012951212088432912
2.5529080682395163e-07,0.0014282352476321038
2.833096101839324e-07,0.0015368142618063926
3.1440354715915e-07,0.0016210218579801516
3.489101213406774e-07,0.0016784573070162175
3.872038781812557e-07,0.0017098734223590182
4.2970047043208437e-07,0.0017124884767425823
4.768611697714474e-07,0.001686353114936359
5.291978735958437e-07,0.0016305154977974546
5.872786613189477e-07,0.001544425412141756
6.517339604882421e-07,0.0014294945473054242
7.232633896483533e-07,0.001285169072551419
8.026433522257174e-07,0.0011151783655161866
8.907354638610439e-07,0.0009208983606716966
9.884959046625586e-07,0.0007081882959373718
1.096985797892384e-06,0.0004822730362145554
1.217382727739662e-06,0.000249767760982075
1.3509935211980278e-06,1.9258140649933304e-05
1.499268432786047e-06,-0.00020256087663470053
1.6638168860761274e-06,-0.0004057447268620207
1.8464249428955464e-06,-0.0005832390065669087
2.049074689815846e-06,-0.0007265732664808586
2.2739657523579273e-06,-0.0008290408331661923
2.523539170434766e-06,-0.0008870955880122172
2.800503894183631e-06,-0.000896801182531312
3.107866187782014e-06,-0.0008599550413450352
3.4489622604057595e-06,-0.0007777683683636015
3.827494478516315e-06,-0.0006561577455358467
4.247571552536894e-06,-0.0005028106506806168
4.713753134116729e-06,-0.00032627962747913697
5.2310993080562585e-06,-0.00013892714823567393
5.805225516094895e-06,4.92897186362342e-05
6.44236350872137e-06,0.00022589147223145263
7.149428986597577e-06,0.00038060438222195584
7.934096665797492e-06,0.0005043659306618046
8.804883581643465e-06,0.0005883486507472314
9.771241535346501e-06,0.0006285731380691739
1.0843659686896109e-05,0.0006207230872058041
1.2033778407775906e-05,0.0005656449156313575
1.3354515629298974e-05,0.0004657964693987186
1.48202070579886e-05,0.00032545181574364205
1.6446761779946626e-05,0.00015273825096184096
1.8251834943190462e-05,-4.555802083323683e-05
2.0255019392306664e-05,-0.000258885406284878
2.2478058335487252e-05,-0.00047838160648048936
2.4945081352303165e-05,-0.0006946444337616013
2.7682866303920665e-05,-0.0008978164824348573
3.072112998861759e-05,-0.0010812570753328367
3.409285069746814e-05,-0.0012360918889006305
3.783462617131933e-05,-0.0013583841295505925
4.1987070844439056e-05,-0.0014428827766095654
4.659525668664687e-05,-0.0014875688434888318
5.170920242896755e-05,-0.0014922021933289292
5.7384416483024044e-05,-0.0014563267578723115
6.368249944718586e-05,-0.0013839510654191762
7.067181273927492e-05,-0.001276413167728228
7.842822061337681e-05,-0.0011392853339671778
8.703591361485166e-05,-0.0009756666551223465
9.658832241158708e-05,-0.0007901902352699113
0.00010718913192051276,-0.0005871456397698146
0.00011895340673703195,-0.00036935620553498464
0.0001320088400831418,-0.0001414006035917423
0.00014649713983072864,9.520845972750966e-05
0.0001625755666443795,0.0003367301316177876
0.00018041864093920718,0.0005816819926747891
0.00020022003718155845,0.0008274424914573598
0.0002221946860939524,0.0010709875847669179
0.0002465811075822604,0.0013100165699081897
0.0002736439997074672,0.0015388489884356452
0.00030367711180354605,0.001754321419495431
0.00033700643292719284,0.0019484436180907075
0.0003739937302478798,0.002116046540948952
0.0004150404757850477,0.0022485895115476415
0.00046059220411451084,0.0023378910442322515
0.0005111433483440171,0.002376279592423238
0.0005672426068491978,0.002352554214762108
0.0006294988990221888,0.002260297923261272
0.0006985879746785249,0.0020869273786869426
0.0007752597488629464,0.001825843024817762
0.000860346441668451,0.0014654211658770037
0.0009547716114208065,0.0009963970554841958
0.001059560179277617,0.0004092527253687123
0.0011758495540521582,-0.0003104292952674716
0.0013049019780144017,-0.001172277640909004
0.001448118227674533,-0.002196348625291154
0.0016070528182616384,-0.003396462898452659
0.0017834308769319094,-0.00479708767235329
0.0019791668678535573,-0.00642104291775446
0.002196385372416547,-0.008287809277765908
0.002437444150122222,-0.010417882390025054
0.002704959730463137,-0.012828600519496214
0.0030018358135755923,-0.015596224844099142
0.003331294787934677,-0.018764689365244346
0.0036969127071950323,-0.022316160120553444
0.00410265810582719,-0.02634223545885794
0.004552935074866948,-0.031843919515681184
0.00505263106533568,-0.04061668990419412
0.005607169938205458,-0.05021413000346206
0.006222570836730231,-0.03290469345678129
0.006905513520162331,0.1233264374177925
0.007663410868007463,0.6549519507642851
0.008504489341802686,1.6710501735581509
0.009437878277775391,2.6404822916259776
0.010473708979594508,2.652607111429281
0.011623224686798541,1.638975118044599
0.01289890261253308,0.5408348155379831
0.014314589375234785,0.03199020593375971
0.015885651294280528,-0.029729778413176852
0.01762914118095948,0.002473360324062921
0.01956398343517065,0.003081165163403349
0.021711179456945052,-0.006830535355531775
0.02409403560239527,-0.008123173655316684
0.026738416158399492,-0.005553489187440758
0.029673024081888724,-0.004478860160056876
0.032929712550971546,-0.004533736725955034
0.036543830709572546,-0.004406362941519984
0.040554607358408275,-0.00400794929122861
0.04500557675700498,-0.0036335832749720617
0.0499450511585514,-0.003347847069373542
0.05542664520663107,-0.0030821712818236333
0.06150985788580504,-0.002811812493474409
0.06826071834272393,-0.0025464875676119254
0.0757525025877192,-0.002292566999185003
0.08406652885618333,-0.00204743113124617
0.09329304026284696,-0.0018062516277349526
0.10353218432956637,-0.0015695140638147405
0.11489510001873086,-0.0013349420788968866
0.1275051240713013,-0.0011033507506637542
0.1414991297434576,-0.0008726988759881303
0.15702901247293774,-0.0006437262683209759
0.17426333860096507,-0.0004165272605782274
0.19338917504552322,-0.00019185925382991768
0.21461411978584058,2.789742312151856e-05
0.23816855519761607,0.0002416760203614899
0.2643081486974108,0.00044540112104071136
0.29331662783900486,0.0006368423039340906
0.32550885998350565,0.0008113251036869682
0.36123426997094304,0.0009648549532208964
0.40088063288984643,0.0010935600858179163
0.4448782831127585,0.00119206110853766
0.4937047852839004,0.001257883748542428
0.5478901179593945,0.0012858854313215983
0.6080224261649427,0.0012752006792826392
0.67475440531107,0.0012236100146121173
0.748810385759003,0.0011315752107940267
0.8309941949353403,0.0010013498148207266
0.9221978823334341,0.0008349039017888346
1.0234114021054528,0.0006386975461373048
1.135733358343105,0.00041708931726340467
1.2603829296797273,0.0001786059098907985
1.3987131026472386,-6.937758457386331e-05
1.552225357427048,-0.0003185920882921222
1.7225859653987874,-0.0005593485012041883
1.9116440753857036,-0.0007848941808970313
2.121451784910632,-0.0009856926814035278
2.35428641432242,-0.0011565143014206892
2.612675225563332,-0.0012909826005057781
2.8994228538828812,-0.0013850896676566153
3.2176417502507353,-0.0014373450526779618
3.5707859649004625,-0.00144553561998659
3.9626886387014784,-0.0014128725268658488
4.397603609302721,-0.0013403445872494056
4.880251583654434,-0.0012339098783031531
5.415871378079476,-0.0010986268661388001
6.010276782070388,-0.0009414520218998723
6.669919663030129,-0.0007710743643831372
7.401959996915652,-0.0005945711507738447
8.214343584919439,-0.00042189786958076337
9.115888299750837,-0.00026038794565034004
10.11637979766207,-0.00011880812033702607
11.226677735108158,-3.685097279817646e-06
12.458833642950081,8.105522662549156e-05
13.826221737646593,0.00013064490644917792
15.343684089300131,0.00014150474584791487
17.02769172225898,0.00011412299243580459
18.896523396912116,6.629228672224989e-05
20.970464013232306,2.666296816918535e-05
23.27202478960412,7.25694879579479e-06
25.826187606826746,1.322329371224436e-06
28.66067616948256,1.6056990012177962e-07
31.80625692794119,1.2968743502337428e-08
35.297073027306574,6.96148452484469e-10
39.17101490809261,2.4827800277113163e-11
43.47013158125035,5.882354466467772e-13
48.241087041653735,9.258019393107687e-15
53.535666774107185,9.678983964945352e-17
59.411339849650396,6.721752803840118e-19
65.93188271333541,3.100808070878124e-21
73.16807143427206,9.50180710022976e-24
81.19844993184009,1.9340881413994212e-26
90.11018251665037,2.6150797905114344e-29
100.0,2.3487252471417232e-32
