tau,gamma
1e-07,3.2478643847736785e-06
1.1097524964120721e-07,1.664582487566771e-05
1.2315506032928263e-07,5.774716147530642e-05
1.3667163564620074e-07,0.00013904032569314197
1.5167168884709241e-07,0.00024446562489889486
1.6831803533309585e-07,0.00034083707478128476
1.867913599020781e-07,0.0004125678578203074
2.0729217795953698e-07,0.00046081280693976344
2.300430119772917e-07,0.0004895256736184781
2.5529080682395163e-07,0.0005002818339400274
2.833096101839324e-07,0.0004930849583004598
3.1440354715915e-07,0.0004707892126120385
3.489101213406774e-07,0.0004357135991639441
3.872038781812557e-07,0.0003911877632147451
4.2970047043208437e-07,0.000339801628726742
4.768611697714474e-07,0.00028375722885509594
5.291978735958437e-07,0.00022541101099574022
5.872786613189477e-07,0.00016650579633879293
6.517339604882421e-07,0.00010966880801833973
7.232633896483533e-07,5.634981999292928e-05
8.026433522257174e-07,7.836962553805776e-06
8.907354638610439e-07,-3.517827486381531e-05
9.884959046625586e-07,-7.23652264587621e-05
1.096985797892384e-06,-0.00010315666198065864
1.217382727739662e-06,-0.00012741125032620854
1.3509935211980278e-06,-0.00014460397426399355
1.499268432786047e-06,-0.0001550850371124876
1.6638168860761274e-06,-0.000159358864868581
1.8464249428955464e-06,-0.00015799761674376638
2.049074689815846e-06,-0.000151704060283199
2.2739657523579273e-06,-0.00014081472057143687
2.523539170434766e-06,-0.000126063562382006
2.800503894183631e-06,-0.00010795702194289711
3.107866187782014e-06,-8.763555252001845e-05
3.4489622604057595e-06,-6.612927708371893e-05
3.827494478516315e-06,-4.417892286708774e-05
4.247571552536894e-06,-2.2460350933368125e-05
4.713753134116729e-06,-1.3955227049483428e-06
5.2310993080562585e-06,1.8288273147687447e-05
5.805225516094895e-06,3.6037413089557184e-05
6.44236350872137e-06,5.109107724182195e-05
7.149428986597577e-06,6.286065501889891e-05
7.934096665797492e-06,7.109521153388257e-05
8.804883581643465e-06,7.544439038939581e-05
9.771241535346501e-06,7.58212894291284e-05
1.0843659686896109e-05,7.191251951332227e-05
1.2033778407775906e-05,6.368239675707605e-05
1.3354515629298974e-05,5.113693001585826e-05
1.48202070579886e-05,3.443104643615618e-05
1.6446761779946626e-05,1.4122527921178814e-05
1.8251834943190462e-05,-9.36886846615151e-06
2.0255019392306664e-05,-3.521913604049734e-05
2.2478058335487252e-05,-6.283808326707486e-05
2.4945081352303165e-05,-9.158111404820194e-05
2.7682866303920665e-05,-0.00012065791258639004
3.072112998861759e-05,-0.00014926068068915418
3.409285069746814e-05,-0.0001760201730564708
3.783462617131933e-05,-0.00019996119076495637
4.1987070844439056e-05,-0.00021961290851239918
4.659525668664687e-05,-0.00023389118942923674
5.170920242896755e-05,-0.0002415875921805941
5.7384416483024044e-05,-0.00024125170399042777
6.368249944718586e-05,-0.00023168355135308425
7.067181273927492e-05,-0.00021121891178589486
7.842822061337681e-05,-0.00017934952204015073
8.703591361485166e-05,-0.0001352243431522919
9.658832241158708e-05,-7.883234757386104e-05
0.00010718913192051276,-1.0370674119035969e-05
0.00011895340673703195,6.994262323600464e-05
0.0001320088400831418,0.00016072811236956372
0.00014649713983072864,0.00026089089823458253
0.0001625755666443795,0.00036744594497432263
0.00018041864093920718,0.0004778037735779778
0.00020022003718155845,0.0005885692664689767
0.0002221946860939524,0.0006955984940898512
0.0002465811075822604,0.0007952025301837038
0.0002736439997074672,0.0008814690553460731
0.00030367711180354605,0.0009501562807823869
0.00033700643292719284,0.0009945446582905618
0.0003739937302478798,0.0010096335623710278
0.0004150404757850477,0.0009896163231873157
0.00046059220411451084,0.0009284813594755713
0.0005111433483440171,0.0008219707575762826
0.0005672426068491978,0.0006635846662439018
0.0006294988990221888,0.000450608098452272
0.0006985879746785249,0.0001776740518960359
0.0007752597488629464,-0.00015773142354969901
0.000860346441668451,-0.0005584665335001295
0.0009547716114208065,-0.0010280920435758098
0.001059560179277617,-0.0015668728446419948
0.0011758495540521582,-0.0021803572320818784
0.0013049019780144017,-0.002867876732458747
0.001448118227674533,-0.003631830569952509
0.0016070528182616384,-0.004469387704411244
0.0017834308769319094,-0.005390802306760871
0.0019791668678535573,-0.00641947205979898
0.002196385372416547,-0.007534690400491767
0.002437444150122222,-0.008658644020408588
0.002704959730463137,-0.009820158622644645
0.0030018358135755923,-0.011424046914785876
0.003331294787934677,-0.013588452627739094
0.0036969127071950323,-0.014835438097145484
0.00410265810582719,-0.014006051685527049
0.004552935074866948,-0.01733201525649176
0.00505263106533568,-0.034413712399678234
0.005607169938205458,-0.04158104771760707
0.006222570836730231,0.05005112787555615
0.006905513520162331,0.3430608155072409
0.007663410868007463,0.865287351447462
0.008504489341802686,1.5312103603262013
0.009437878277775391,2.069447351645439
0.010473708979594508,2.11127158976187
0.011623224686798541,1.617061730004988
0.01289890261253308,0.9409456001708891
0.014314589375234785,0.3942071010886109
0.015885651294280528,0.07557790430860829
0.01762914118095948,-0.03783542765044552
0.01956398343517065,-0.039416037792348785
0.021711179456945052,-0.021116939822216175
0.02409403560239527,-0.01541275528930716
0.026738416158399492,-0.015733531141463232
0.029673024081888724,-0.014619574741245634
0.032929712550971546,-0.012338334819394125
0.036543830709572546,-0.010484728806606568
0.040554607358408275,-0.009151936671976424
0.04500557675700498,-0.007925860739080316
0.0499450511585514,-0.006719901829737668
0.05542664520663107,-0.005605607887480755
0.06150985788580504,-0.0046105884582860555
0.06826071834272393,-0.0037163529779935542
0.0757525025877192,-0.0029060467598732496
0.08406652885618333,-0.0021819883070782827
0.09329304026284696,-0.0015399331345834178
0.10353218432956637,-0.000979953987861906
0.11489510001873086,-0.0004961174347941315
0.1275051240713013,-8.60562915377844e-05
0.1414991297434576,0.00025338590251665095
0.15702901247293774,0.0005271826872610714
0.17426333860096507,0.0007378407618595378
0.19338917504552322,0.0008918412746921195
0.21461411978584058,0.0009925725057028706
0.23816855519761607,0.0010464185464869925
0.2643081486974108,0.0010587488281128292
0.29331662783900486,0.0010351171197976344
0.32550885998350565,0.0009825727110718099
0.36123426997094304,0.0009059159868143622
0.40088063288984643,0.0008122695929488197
0.4448782831127585,0.0007060983621127518
0.4937047852839004,0.0005932067097177326
0.5478901179593945,0.00047793737810692365
0.6080224261649427,0.00036403016481907375
0.67475440531107,0.0002552270992928341
0.748810385759003,0.00015359085435131043
0.8309941949353403,6.188787999096879e-05
0.9221978823334341,-1.8782823053606857e-05
1.0234114021054528,-8.712682972870949e-05
1.135733358343105,-0.0001426701985209523
1.2603829296797273,-0.00018568315142945035
1.3987131026472386,-0.00021620121273492103
1.552225357427048,-0.00023522046050457446
1.7225859653987874,-0.00024321791806435205
1.9116440753857036,-0.0002417163093354994
2.121451784910632,-0.00023217699911480796
2.35428641432242,-0.00021609722893234235
2.612675225563332,-0.00019514850592618516
2.8994228538828812,-0.0001704287463004971
3.2176417502507353,-0.00014341648271812366
3.5707859649004625,-0.00011504691807973651
3.9626886387014784,-8.661710910510948e-05
4.397603609302721,-5.909685323985024e-05
4.880251583654434,-3.3209126154606055e-05
5.415871378079476,-9.653657445399219e-06
6.010276782070388,1.1177569297126996e-05
6.669919663030129,2.8670989966112817e-05
7.401959996915652,4.2584147615859455e-05
8.214343584919439,5.267548738300672e-05
9.115888299750837,5.890890250214466e-05
10.11637979766207,6.154103033870603e-05
11.226677735108158,6.076513795056542e-05
12.458833642950081,5.701947718516159e-05
13.826221737646593,5.033570408925987e-05
15.343684089300131,4.052332638188124e-05
17.02769172225898,2.789762644822219e-05
18.896523396912116,1.4998499624193e-05
20.970464013232306,5.827693196209173e-06
23.27202478960412,1.5631473378445757e-06
25.826187606826746,2.831198536857167e-07
