tau,gamma
1e-07,-4.860550959161784e-07
1.1097524964120721e-07,-2.529720014313237e-06
1.2315506032928263e-07,-9.095802411322026e-06
1.3667163564620074e-07,-2.3654799706477462e-05
1.5167168884709241e-07,-4.79585674898065e-05
1.6831803533309585e-07,-8.226235349326879e-05
1.867913599020781e-07,-0.00012559470587911764
2.0729217795953698e-07,-0.00017517606029128407
2.300430119772917e-07,-0.00022809048913525256
2.5529080682395163e-07,-0.0002802530349630783
2.833096101839324e-07,-0.00032759051491687953
3.1440354715915e-07,-0.00036644953216612364
3.489101213406774e-07,-0.00039280072260741846
3.872038781812557e-07,-0.00040463023163054884
4.2970047043208437e-07,-0.00039965161468685404
4.768611697714474e-07,-0.00037763365016940664
5.291978735958437e-07,-0.0003391081574447401
5.872786613189477e-07,-0.00028552937627688755
6.517339604882421e-07,-0.00022037683132792866
7.232633896483533e-07,-0.00014682681555942234
8.026433522257174e-07,-7.004954952393964e-05
8.907354638610439e-07,5.2284567921482265e-06
9.884959046625586e-07,7.384646430377191e-05
1.096985797892384e-06,0.00013041726880758575
1.217382727739662e-06,0.00017105528740222854
1.3509935211980278e-06,0.000191553011011816
1.499268432786047e-06,0.00019003000130107963
1.6638168860761274e-06,0.00016562272349892405
1.8464249428955464e-06,0.00011908069851410033
2.049074689815846e-06,5.3997196020765386e-05
2.2739657523579273e-06,-2.5488875427222247e-05
2.523539170434766e-06,-0.000112179211951309
2.800503894183631e-06,-0.00019837277750882408
3.107866187782014e-06,-0.0002756388846110492
3.4489622604057595e-06,-0.0003343183454855287
3.827494478516315e-06,-0.0003669322913827195
4.247571552536894e-06,-0.00036522259602862506
4.713753134116729e-06,-0.0003240746825077852
5.2310993080562585e-06,-0.00024025645740732575
5.805225516094895e-06,-0.00011217162976441329
6.44236350872137e-06,5.6969213318027796e-05
7.149428986597577e-06,0.000264023289541444
7.934096665797492e-06,0.0005011732923074463
8.804883581643465e-06,0.0007600863507245396
9.771241535346501e-06,0.0010315962884713103
1.0843659686896109e-05,0.0013036987683989517
1.2033778407775906e-05,0.0015680662078300677
1.3354515629298974e-05,0.0018125567005724198
1.48202070579886e-05,0.00203020978719571
1.6446761779946626e-05,0.002212858817701209
1.8251834943190462e-05,0.0023550403948760365
2.0255019392306664e-05,0.0024551675014758485
2.2478058335487252e-05,0.002510372013393447
2.4945081352303165e-05,0.002525539528170137
2.7682866303920665e-05,0.0025023889617014406
3.072112998861759e-05,0.0024501763435638467
3.409285069746814e-05,0.002376614579187957
3.783462617131933e-05,0.002293163822946764
4.1987070844439056e-05,0.0022129640845838226
4.659525668664687e-05,0.0021487248815360363
5.170920242896755e-05,0.0021164850603746102
5.7384416483024044e-05,0.0021300116520346145
6.368249944718586e-05,0.0022051360141937997
7.067181273927492e-05,0.0023556896486838434
7.842822061337681e-05,0.002595128576410527
8.703591361485166e-05,0.0029345534555335726
9.658832241158708e-05,0.00338421697484949
0.00010718913192051276,0.003948890661731694
0.00011895340673703195,0.004635185091952026
0.0001320088400831418,0.005439997170676002
0.00014649713983072864,0.006364872974158695
0.0001625755666443795,0.007401542448607055
0.00018041864093920718,0.008544041389880184
0.00020022003718155845,0.009784631311830261
0.0002221946860939524,0.011108483393782332
0.0002465811075822604,0.012513176998682596
0.0002736439997074672,0.01397780819805359
0.00030367711180354605,0.015506737084631012
0.00033700643292719284,0.017081500846555523
0.0003739937302478798,0.01871097569184151
0.0004150404757850477,0.020390420103276772
0.00046059220411451084,0.02213038506891747
0.0005111433483440171,0.023949345334530008
0.0005672426068491978,0.025859308112245977
0.0006294988990221888,0.027904650227950068
0.0006985879746785249,0.030102650387768243
0.0007752597488629464,0.03252144412233007
0.000860346441668451,0.035192748093424306
0.0009547716114208065,0.03820727974441243
0.001059560179277617,0.04162628110721811
0.0011758495540521582,0.04556365221685463
0.0013049019780144017,0.050127912252016044
0.001448118227674533,0.05546630158651386
0.0016070528182616384,0.06176507615179357
0.0017834308769319094,0.06922560981876578
0.0019791668678535573,0.07814096054848005
0.002196385372416547,0.08878034025624629
0.002437444150122222,0.10153944331517797
0.002704959730463137,0.11670428900713783
0.0030018358135755923,0.13465076125394743
0.003331294787934677,0.15549655151890587
0.0036969127071950323,0.17941819671747203
0.00410265810582719,0.20624832356084352
0.004552935074866948,0.2358249651366422
0.00505263106533568,0.26779096875805425
0.005607169938205458,0.3014498635127336
0.006222570836730231,0.33614161962227274
0.006905513520162331,0.37065491936799394
0.007663410868007463,0.40449781380216543
0.008504489341802686,0.4355292188850324
0.009437878277775391,0.45968310708043403
0.010473708979594508,0.4707863695278789
0.011623224686798541,0.46649727572309263
0.01289890261253308,0.44959544572045357
0.014314589375234785,0.4230939020740702
0.015885651294280528,0.39070311865967744
0.01762914118095948,0.3545157352467
0.01956398343517065,0.31656203838600594
0.021711179456945052,0.2780378272209949
0.02409403560239527,0.24003871121143086
0.026738416158399492,0.20357537695518768
0.029673024081888724,0.16894311000978643
0.032929712550971546,0.13683116360770578
0.036543830709572546,0.10862223127803142
0.040554607358408275,0.08716282008887608
0.04500557675700498,0.07336819223630907
0.0499450511585514,0.06467717039463527
0.05542664520663107,0.05798821523825622
0.06150985788580504,0.05211449620214575
0.06826071834272393,0.04699237661443041
0.0757525025877192,0.0426129460005121
0.08406652885618333,0.03883313657272953
0.09329304026284696,0.03549707224177691
0.10353218432956637,0.0325475908479388
0.11489510001873086,0.02990420085851699
0.1275051240713013,0.02753291908434415
0.1414991297434576,0.025358679323396947
0.15702901247293774,0.02335544773586161
0.17426333860096507,0.021469473837923025
0.19338917504552322,0.01967496313258785
0.21461411978584058,0.017934580799196163
0.23816855519761607,0.016216504190286807
0.2643081486974108,0.014497057354468287
0.29331662783900486,0.01273615351608776
0.32550885998350565,0.010916532402386589
0.36123426997094304,0.008999499628611421
0.40088063288984643,0.006975105011480828
0.4448782831127585,0.004787071424930695
0.4937047852839004,0.0023656446447007816
0.5478901179593945,-0.00031939582637307873
0.6080224261649427,-0.0032190516201475784
0.67475440531107,-0.006642696138463578
0.748810385759003,-0.012104036566079515
0.8309941949353403,-0.021741310467857492
0.9221978823334341,-0.03589377019439664
1.0234114021054528,-0.052432736782390695
1.135733358343105,-0.06946375843076183
1.2603829296797273,-0.08622237834777717
1.3987131026472386,-0.10253743247909518
1.552225357427048,-0.11845659032666304
1.7225859653987874,-0.13263658228895905
1.9116440753857036,-0.14140079966743616
2.121451784910632,-0.14020959450488343
2.35428641432242,-0.12977726528151234
2.612675225563332,-0.11549488952034025
2.8994228538828812,-0.10104882360945876
3.2176417502507353,-0.0873474776212277
3.5707859649004625,-0.07415713817897521
3.9626886387014784,-0.061757647686940316
4.397603609302721,-0.05056906375777218
4.880251583654434,-0.04099845249548382
5.415871378079476,-0.033320352816073005
6.010276782070388,-0.02735889570286115
6.669919663030129,-0.022731810012383516
7.401959996915652,-0.01904659918715002
8.214343584919439,-0.01602955592312239
9.115888299750837,-0.013470634616080978
10.11637979766207,-0.011255601804335021
11.226677735108158,-0.009293965141764051
12.458833642950081,-0.007534104256909201
13.826221737646593,-0.0059135025016531
15.343684089300131,-0.004350137020125075
17.02769172225898,-0.002817185082566261
18.896523396912116,-0.0014636205187858085
20.970464013232306,-0.0005594633905770284
23.27202478960412,-0.0001489959935138696
25.826187606826746,-2.6906023435468057e-05
28.66067616948256,-3.255188347272517e-06
31.80625692794119,-2.625189466473759e-07
35.297073027306574,-1.4083202791264608e-08
39.17101490809261,-5.021474103892651e-10
43.47013158125035,-1.1896001901782519e-11
48.241087041653735,-1.87219229484085e-13
53.535666774107185,-1.9572895084331696e-15
59.411339849650396,-1.359267626473331e-17
65.93188271333541,-6.270413254357445e-20
73.16807143427206,-1.9214408475605453e-22
81.19844993184009,-3.91108164493399e-25
90.11018251665037,-5.288170968810939e-28
100.0,-4.749552890110398e-31
