tau,gamma
1e-07,1.0247142584794274e-06
1.1097524964120721e-07,5.187821820732022e-06
1.2315506032928263e-07,1.7474934141618593e-05
1.3667163564620074e-07,3.9311244702988026e-05
1.5167168884709241e-07,5.999740808032336e-05
1.6831803533309585e-07,6.679917917612936e-05
1.867913599020781e-07,7.072000627125705e-05
2.0729217795953698e-07,0.00010125377569849218
2.300430119772917e-07,0.00016556134482706173
2.5529080682395163e-07,0.00023603710943913915
2.833096101839324e-07,0.0002859982869004945
3.1440354715915e-07,0.0003082784842969449
3.489101213406774e-07,0.00030169123581986286
3.872038781812557e-07,0.0002639876318730523
4.2970047043208437e-07,0.0001958713418668053
4.768611697714474e-07,0.00011635893730061076
5.291978735958437e-07,5.53446098159467e-05
5.872786613189477e-07,2.344909843326549e-05
6.517339604882421e-07,1.1817290719703794e-05
7.232633896483533e-07,1.1661889717587603e-05
8.026433522257174e-07,2.2408227333370752e-05
8.907354638610439e-07,5.068907159797396e-05
9.884959046625586e-07,0.0001069728056294126
1.096985797892384e-06,0.00019327489655398576
1.217382727739662e-06,0.00028511334093879806
1.3509935211980278e-06,0.0003434219308605999
1.499268432786047e-06,0.00034457508560533875
1.6638168860761274e-06,0.0002854491743487113
1.8464249428955464e-06,0.00019727517135885182
2.049074689815846e-06,0.00014034100613062906
2.2739657523579273e-06,0.00013713725064099216
2.523539170434766e-06,0.00014716732014102642
2.800503894183631e-06,0.00013151762506172733
3.107866187782014e-06,0.00010087670020086977
3.4489622604057595e-06,8.497421689187381e-05
3.827494478516315e-06,9.502197971452023e-05
4.247571552536894e-06,0.000126868053299897
4.713753134116729e-06,0.00017194034399247457
5.2310993080562585e-06,0.00021965000070548127
5.805225516094895e-06,0.00026036475665793777
6.44236350872137e-06,0.0002849269722753116
7.149428986597577e-06,0.0002900528823744169
7.934096665797492e-06,0.00028326717251933164
8.804883581643465e-06,0.00027654675590449223
9.771241535346501e-06,0.0002885245649819957
1.0843659686896109e-05,0.00035613701920880433
1.2033778407775906e-05,0.0005486007624441042
1.3354515629298974e-05,0.0009416547812196729
1.48202070579886e-05,0.0015348571374362056
1.6446761779946626e-05,0.0022507943580654514
1.8251834943190462e-05,0.00304051407750275
2.0255019392306664e-05,0.00389707549198106
2.2478058335487252e-05,0.004829016908669714
2.4945081352303165e-05,0.00583692867471314
2.7682866303920665e-05,0.0069148666680181724
3.072112998861759e-05,0.008075891957897176
3.409285069746814e-05,0.009326720323026883
3.783462617131933e-05,0.010691813472958292
4.1987070844439056e-05,0.012182870447919578
4.659525668664687e-05,0.013832462616468878
5.170920242896755e-05,0.015670572351469337
5.7384416483024044e-05,0.017740320623820176
6.368249944718586e-05,0.02009520670974294
7.067181273927492e-05,0.022790821859347214
7.842822061337681e-05,0.025916129516939758
8.703591361485166e-05,0.029551651827794186
9.658832241158708e-05,0.03383709446098908
0.00010718913192051276,0.03889740062303318
0.00011895340673703195,0.044936759358431645
0.0001320088400831418,0.05213794852853221
0.00014649713983072864,0.060746736288598786
0.0001625755666443795,0.07095552219655038
0.00018041864093920718,0.08294894888879167
0.00020022003718155845,0.096815221535814
0.0002221946860939524,0.11254372040669883
0.0002465811075822604,0.13012818367087384
0.0002736439997074672,0.14933205100006502
0.00030367711180354605,0.17009318234863946
0.00033700643292719284,0.19199602789845227
0.0003739937302478798,0.2148546338109254
0.0004150404757850477,0.2381348873575922
0.00046059220411451084,0.2614436106751886
0.0005111433483440171,0.2843036935055396
0.0005672426068491978,0.3060606113547618
0.0006294988990221888,0.3263428421197014
0.0006985879746785249,0.34426888358157265
0.0007752597488629464,0.35960748570360873
0.000860346441668451,0.3714887845114639
0.0009547716114208065,0.37969996952826673
0.001059560179277617,0.3836425022824695
0.0011758495540521582,0.3831214110578546
0.0013049019780144017,0.3781965314444889
0.001448118227674533,0.3688013814855912
0.0016070528182616384,0.35564227716339747
0.0017834308769319094,0.33885115196841875
0.0019791668678535573,0.31934794365146085
0.002196385372416547,0.29746674642897203
0.002437444150122222,0.27402831313079595
0.002704959730463137,0.24959489719190617
0.0030018358135755923,0.22472285663885608
0.003331294787934677,0.20007197758081485
0.0036969127071950323,0.1759716621720355
0.00410265810582719,0.15305828796114235
0.004552935074866948,0.1315345375981638
0.00505263106533568,0.11182615150398235
0.005607169938205458,0.09406717733561433
0.006222570836730231,0.07845381834299936
0.006905513520162331,0.06507182915517182
0.007663410868007463,0.05386075003352957
0.008504489341802686,0.04472066958901832
0.009437878277775391,0.03734872431429898
0.010473708979594508,0.03142121409591761
0.011623224686798541,0.026597331476282408
0.01289890261253308,0.022642566541464428
0.014314589375234785,0.019347964147872456
0.015885651294280528,0.016585760346038664
0.01762914118095948,0.014241807334334665
0.01956398343517065,0.01223799952896936
0.021711179456945052,0.010508423854391054
0.02409403560239527,0.009002528989270791
0.026738416158399492,0.007687312348885364
0.029673024081888724,0.006527616059140462
0.032929712550971546,0.005504707265267317
0.036543830709572546,0.004594281332369199
0.040554607358408275,0.0037877063199479076
0.04500557675700498,0.0030706127945328947
0.0499450511585514,0.0024354358913450933
0.05542664520663107,0.0018737932201884234
0.06150985788580504,0.0013816181294287026
0.06826071834272393,0.0009639592903978561
0.0757525025877192,0.0006336029921639358
0.08406652885618333,0.0004084059252324653
0.09329304026284696,0.00027557809459491096
0.10353218432956637,0.0001980882985155279
0.11489510001873086,0.0001525904905501733
0.1275051240713013,0.00013972627660440462
0.1414991297434576,0.0001600844957385007
0.15702901247293774,0.00019628991431260516
0.17426333860096507,0.00022840904223430213
0.19338917504552322,0.00025065416456395177
0.21461411978584058,0.0002650491575070472
0.23816855519761607,0.0002743259820241351
0.2643081486974108,0.0002806787053463496
0.29331662783900486,0.00028928966197406267
0.32550885998350565,0.00030837377405415256
0.36123426997094304,0.00034134620429963333
0.40088063288984643,0.00038370915563783496
0.4448782831127585,0.0004296794865186055
0.4937047852839004,0.0004767740680979432
0.5478901179593945,0.0005223596447417603
0.6080224261649427,0.000562647721661505
0.67475440531107,0.0005927893621511228
0.748810385759003,0.0006144119232705088
0.8309941949353403,0.0006331834479558963
0.9221978823334341,0.0006524524395178677
1.0234114021054528,0.0006722766941406516
1.135733358343105,0.0006920704116069838
1.2603829296797273,0.0007136688901032947
1.3987131026472386,0.0007375311711827224
1.552225357427048,0.0007630223795330924
1.7225859653987874,0.0007881931568036217
1.9116440753857036,0.00081489460698496
2.121451784910632,0.0008458324660277813
2.35428641432242,0.0008829721820510373
2.612675225563332,0.0009260282850369655
2.8994228538828812,0.0009729082226548635
3.2176417502507353,0.0010200174357153672
