tau,gamma
1e-07,-5.050075116222887e-06
1.1097524964120721e-07,-2.5986354699230394e-05
1.2315506032928263e-07,-9.101161970976125e-05
1.3667163564620074e-07,-0.00022385404149741222
1.5167168884709241e-07,-0.0004107312669522855
1.6831803533309585e-07,-0.0006142476374749628
1.867913599020781e-07,-0.0008154123314975161
2.0729217795953698e-07,-0.001017020112616416
2.300430119772917e-07,-0.001243043106516897
2.5529080682395163e-07,-0.001517252863993418
2.833096101839324e-07,-0.0017961450571448774
3.1440354715915e-07,-0.001977992416376442
3.489101213406774e-07,-0.002201999805190737
3.872038781812557e-07,-0.0030148070212200504
4.2970047043208437e-07,-0.004223216987108874
4.768611697714474e-07,-0.0036700008169695928
5.291978735958437e-07,-0.0020060461129651533
5.872786613189477e-07,-0.014126698306772016
6.517339604882421e-07,-0.06770991610594247
7.232633896483533e-07,-0.17736563573580166
8.026433522257174e-07,-0.3329761334845505
8.907354638610439e-07,-0.5201722095553654
9.884959046625586e-07,-0.7272867339763406
1.096985797892384e-06,-0.9443175670592343
1.217382727739662e-06,-1.1632981892737666
1.3509935211980278e-06,-1.3765361357541317
1.499268432786047e-06,-1.5875833916371036
1.6638168860761274e-06,-1.7887220777311204
1.8464249428955464e-06,-1.925218573101219
2.049074689815846e-06,-1.8982536688745493
2.2739657523579273e-06,-1.67279387113686
2.523539170434766e-06,-1.3370265515732356
2.800503894183631e-06,-0.9818220633763329
3.107866187782014e-06,-0.6381803291485358
3.4489622604057595e-06,-0.3172885239806238
3.827494478516315e-06,-0.06137883446548165
4.247571552536894e-06,0.07443504930811029
4.713753134116729e-06,0.1024295707682926
5.2310993080562585e-06,0.08949992288864207
5.805225516094895e-06,0.07959074131601837
6.44236350872137e-06,0.07661332971494758
7.149428986597577e-06,0.073588381624062
7.934096665797492e-06,0.06911688734525376
8.804883581643465e-06,0.06462062260920284
9.771241535346501e-06,0.06070996087887723
1.0843659686896109e-05,0.05710788694567657
1.2033778407775906e-05,0.053687340997983383
1.3354515629298974e-05,0.05053617420006471
1.48202070579886e-05,0.0477276707220048
1.6446761779946626e-05,0.04531898071772814
1.8251834943190462e-05,0.043299790265770584
2.0255019392306664e-05,0.041717298232787615
2.2478058335487252e-05,0.04056198329635053
2.4945081352303165e-05,0.03987236787336234
2.7682866303920665e-05,0.039633455484476506
3.072112998861759e-05,0.03986838038665944
3.409285069746814e-05,0.04056000305379097
3.783462617131933e-05,0.041726512170983686
4.1987070844439056e-05,0.043360213201240685
4.659525668664687e-05,0.045464264086450636
5.170920242896755e-05,0.048024054087228624
5.7384416483024044e-05,0.05100756357521358
6.368249944718586e-05,0.05439355293094274
7.067181273927492e-05,0.05810444994749514
7.842822061337681e-05,0.06211766608752072
8.703591361485166e-05,0.06631302644357943
9.658832241158708e-05,0.07066526991995063
0.00010718913192051276,0.07503834887942541
0.00011895340673703195,0.07939976297458964
0.0001320088400831418,0.08364884378399581
0.00014649713983072864,0.08773321065621749
0.0001625755666443795,0.09162168230962693
0.00018041864093920718,0.09524068074348688
0.00020022003718155845,0.09864289791097017
0.0002221946860939524,0.10175133799151277
0.0002465811075822604,0.10466610472882976
0.0002736439997074672,0.10732370201732581
0.00030367711180354605,0.10982123853370578
0.00033700643292719284,0.11212959746108797
0.0003739937302478798,0.11430037258983397
0.0004150404757850477,0.11634900006987071
0.00046059220411451084,0.11825894944561385
0.0005111433483440171,0.12008593854679334
0.0005672426068491978,0.12174774605578288
0.0006294988990221888,0.12332189077498804
0.0006985879746785249,0.12468433699213294
0.0007752597488629464,0.12590189384433503
0.000860346441668451,0.12684836440006542
0.0009547716114208065,0.12755589257595792
0.001059560179277617,0.12795165748848944
0.0011758495540521582,0.12802165708473065
0.0013049019780144017,0.1277819314753597
0.001448118227674533,0.12717111792732771
0.0016070528182616384,0.12627645172345425
0.0017834308769319094,0.12500501355187726
0.0019791668678535573,0.12347446984121116
0.002196385372416547,0.12159957662737002
0.002437444150122222,0.1194910100284184
0.002704959730463137,0.11711752472764221
0.0030018358135755923,0.1145507393025544
0.003331294787934677,0.11183074497209358
0.0036969127071950323,0.10897393028085263
0.00410265810582719,0.10607398482582596
0.004552935074866948,0.10309962421987107
0.00505263106533568,0.10016505476539865
0.005607169938205458,0.09721745020855281
0.006222570836730231,0.09435958099568892
0.006905513520162331,0.09154850091858835
0.007663410868007463,0.08885345240538514
0.008504489341802686,0.086264660032104
0.009437878277775391,0.08380823336990263
0.010473708979594508,0.08151349549755779
0.011623224686798541,0.07936739847211115
0.01289890261253308,0.07742896562663025
0.014314589375234785,0.07566081365517519
0.015885651294280528,0.0741344562138091
0.01762914118095948,0.07280749093399778
0.01956398343517065,0.07174568086566589
0.021711179456945052,0.07091893150727449
0.02409403560239527,0.07037424245392537
0.026738416158399492,0.07010614450958483
0.029673024081888724,0.07013739221216082
0.032929712550971546,0.07049302169244309
0.036543830709572546,0.07117354907191363
0.040554607358408275,0.07223449957853591
0.04500557675700498,0.07366254540492626
0.0499450511585514,0.07553901951628027
0.05542664520663107,0.0778502695367521
0.06150985788580504,0.0806960554423033
0.06826071834272393,0.08407978701858392
0.0757525025877192,0.08811105911211164
0.08406652885618333,0.0928312043171174
0.09329304026284696,0.09835677396958094
0.10353218432956637,0.10479425407105072
0.11489510001873086,0.11226664134136896
0.1275051240713013,0.12096909390483046
0.1414991297434576,0.13106484414475542
0.15702901247293774,0.14291821870746307
0.17426333860096507,0.15680954382555642
0.19338917504552322,0.17329942182262786
0.21461411978584058,0.19285359122640414
0.23816855519761607,0.21631694634144222
0.2643081486974108,0.24444226269677174
0.29331662783900486,0.27818861485545127
0.32550885998350565,0.318207378168886
0.36123426997094304,0.3649783530598753
0.40088063288984643,0.41841130275001137
0.4448782831127585,0.4778687009298602
0.4937047852839004,0.5426103925599531
0.5478901179593945,0.6107999975562364
0.6080224261649427,0.6812475659097544
0.67475440531107,0.7511743911180065
0.748810385759003,0.8187097667428128
0.8309941949353403,0.880707298452743
0.9221978823334341,0.9348173067471579
1.0234114021054528,0.9781095237649468
1.135733358343105,1.0036367382466933
1.2603829296797273,1.0018321342586831
1.3987131026472386,0.9648926828705319
1.552225357427048,0.8995759947868743
1.7225859653987874,0.8155895018578305
1.9116440753857036,0.719993248242461
2.121451784910632,0.6168047554815128
2.35428641432242,0.5088023915799931
2.612675225563332,0.40035915996516114
2.8994228538828812,0.29371870851594234
3.2176417502507353,0.19273199940736888
3.5707859649004625,0.10432868539917377
3.9626886387014784,0.041535693077462396
4.397603609302721,0.012440493820342747
4.880251583654434,0.006552994167145667
5.415871378079476,0.007061009576078157
6.010276782070388,0.006490732130632788
6.669919663030129,0.005199778524012707
7.401959996915652,0.00434283521359634
8.214343584919439,0.003842811369138347
9.115888299750837,0.003362553919402174
10.11637979766207,0.0028577300824631675
11.226677735108158,0.00238795982099077
12.458833642950081,0.0019672075129652158
13.826221737646593,0.0015697280350099594
15.343684089300131,0.0011696023155092477
17.02769172225898,0.0007637377015316443
18.896523396912116,0.00039857908431916665
20.970464013232306,0.0001526803929644412
23.27202478960412,4.069945033228063e-05
25.826187606826746,7.352437996380778e-06
28.66067616948256,8.896655991005208e-07
31.80625692794119,7.175287836859638e-08
35.297073027306574,3.849386007989839e-09
39.17101490809261,1.372542679528641e-10
43.47013158125035,3.2516030171511256e-12
48.241087041653735,5.11738038756321e-14
53.535666774107185,5.349985687108063e-16
59.411339849650396,3.715374952614965e-18
65.93188271333541,1.7139331928140405e-20
73.16807143427206,5.2520005723575263e-23
81.19844993184009,1.069041675215191e-25
90.11018251665037,1.4454505703777162e-28
100.0,1.298226550492403e-31
