tau,gamma
1e-07,-4.637926091281914e-06
1.1097524964120721e-07,-2.3733972392073987e-05
1.2315506032928263e-07,-8.203669046189676e-05
1.3667163564620074e-07,-0.0001958598183130295
1.5167168884709241e-07,-0.00033819501108162277
1.6831803533309585e-07,-0.00045579830846320625
1.867913599020781e-07,-0.0005221821667342236
2.0729217795953698e-07,-0.0005365477009207214
2.300430119772917e-07,-0.0005022525952935443
2.5529080682395163e-07,-0.00042037189585869154
2.833096101839324e-07,-0.0002898222368211359
3.1440354715915e-07,-0.0001159489519517567
3.489101213406774e-07,9.521170168940846e-05
3.872038781812557e-07,0.0003347120144657612
4.2970047043208437e-07,0.0005911062835380779
4.768611697714474e-07,0.0008540094967907713
5.291978735958437e-07,0.0011082941767838208
5.872786613189477e-07,0.0013421989724089224
6.517339604882421e-07,0.001540962857104597
7.232633896483533e-07,0.0016920715463094836
8.026433522257174e-07,0.001785857942068033
8.907354638610439e-07,0.0018117093991096293
9.884959046625586e-07,0.0017673400107643597
1.096985797892384e-06,0.001648103869116091
1.217382727739662e-06,0.001457546458732247
1.3509935211980278e-06,0.0011998088154688176
1.499268432786047e-06,0.0008825672890138839
1.6638168860761274e-06,0.0005191885125594523
1.8464249428955464e-06,0.00012043167130855441
2.049074689815846e-06,-0.000295899960928407
2.2739657523579273e-06,-0.0007160975615735876
2.523539170434766e-06,-0.001123264886656257
2.800503894183631e-06,-0.0015010824073532878
3.107866187782014e-06,-0.0018370573511942555
3.4489622604057595e-06,-0.002115134414358146
3.827494478516315e-06,-0.0023281398248410357
4.247571552536894e-06,-0.0024652171139825626
4.713753134116729e-06,-0.0025228562357536123
5.2310993080562585e-06,-0.002498571193584564
5.805225516094895e-06,-0.002391806568260221
6.44236350872137e-06,-0.002209578586627114
7.149428986597577e-06,-0.0019556158508748497
7.934096665797492e-06,-0.0016431779273742332
8.804883581643465e-06,-0.0012818845595320312
9.771241535346501e-06,-0.0008870003660949039
1.0843659686896109e-05,-0.0004745247710418442
1.2033778407775906e-05,-5.948038875436315e-05
1.3354515629298974e-05,0.00033810451030705674
1.48202070579886e-05,0.0007041900400159356
1.6446761779946626e-05,0.0010205916977149446
1.8251834943190462e-05,0.0012739192692468048
2.0255019392306664e-05,0.0014519718311335492
2.2478058335487252e-05,0.0015426514678225586
2.4945081352303165e-05,0.001541317712380145
2.7682866303920665e-05,0.0014403094483028164
3.072112998861759e-05,0.0012407962868321069
3.409285069746814e-05,0.000942880129569228
3.783462617131933e-05,0.0005507053615366146
4.1987070844439056e-05,7.302395074145104e-05
4.659525668664687e-05,-0.00048398467150392643
5.170920242896755e-05,-0.0011053163299638202
5.7384416483024044e-05,-0.001781262850105442
6.368249944718586e-05,-0.0024952724245294777
7.067181273927492e-05,-0.0032320750819590776
7.842822061337681e-05,-0.003977572075012064
8.703591361485166e-05,-0.00471146129811277
9.658832241158708e-05,-0.00542412941588047
0.00010718913192051276,-0.006094234715304521
0.00011895340673703195,-0.006712467190833809
0.0001320088400831418,-0.007262366402038766
0.00014649713983072864,-0.007742948499782182
0.0001625755666443795,-0.008156787732818258
0.00018041864093920718,-0.008475424467295142
0.00020022003718155845,-0.008665591996616984
0.0002221946860939524,-0.008784599475279759
0.0002465811075822604,-0.009045433871275807
0.0002736439997074672,-0.009296233998573558
0.00030367711180354605,-0.008606879428398523
0.00033700643292719284,-0.0069591988313498195
0.0003739937302478798,-0.007861776901653501
0.0004150404757850477,-0.01132321978317763
0.00046059220411451084,0.007146749582593698
0.0005111433483440171,0.09900521591355793
0.0005672426068491978,0.2958411097162079
0.0006294988990221888,0.5731475329509276
0.0006985879746785249,0.870379395249551
0.0007752597488629464,1.0972174578876297
0.000860346441668451,1.1733049985079007
0.0009547716114208065,1.113308470785165
0.001059560179277617,0.9877311627012887
0.0011758495540521582,0.8427215383261876
0.0013049019780144017,0.6930894600253745
0.001448118227674533,0.5418009115397728
0.0016070528182616384,0.3971179409268266
0.0017834308769319094,0.2708117785409639
0.0019791668678535573,0.17973760066916078
0.002196385372416547,0.13394311249396507
0.002437444150122222,0.12046979351704708
0.002704959730463137,0.11793468993149572
0.0030018358135755923,0.11672356496301038
0.003331294787934677,0.11705118737028732
0.0036969127071950323,0.11906135834786989
0.00410265810582719,0.12232903123147712
0.004552935074866948,0.13536413797546584
0.00505263106533568,0.17904342303223686
0.005607169938205458,0.26774009915400615
0.006222570836730231,0.39265991505349623
0.006905513520162331,0.5363693357395101
0.007663410868007463,0.6867016610540712
0.008504489341802686,0.834970198860299
0.009437878277775391,0.97834038903656
0.010473708979594508,1.1044043524392984
0.011623224686798541,1.1713828023011148
0.01289890261253308,1.1106626561565351
0.014314589375234785,0.8995292375514929
0.015885651294280528,0.6095391453936795
0.01762914118095948,0.32993614662655885
0.01956398343517065,0.12405073113895206
0.021711179456945052,0.02242217669222348
0.02409403560239527,-0.0013617447187402685
0.026738416158399492,0.0008460283435070715
0.029673024081888724,0.0017203619766042047
0.032929712550971546,-9.870299493723654e-05
0.036543830709572546,-0.0010566101731247725
0.040554607358408275,-0.000972607526711973
0.04500557675700498,-0.000803038629027619
0.0499450511585514,-0.0007577135893431017
0.05542664520663107,-0.0006409371068463588
0.06150985788580504,-0.0003818201558286986
0.06826071834272393,-2.1719082959060858e-05
0.0757525025877192,0.00040943083059892657
0.08406652885618333,0.000906915697829569
0.09329304026284696,0.0014708091396155147
0.10353218432956637,0.0020863125298778416
0.11489510001873086,0.0027426438408903737
0.1275051240713013,0.0034256058214893813
0.1414991297434576,0.004122183439538734
0.15702901247293774,0.004821421339349626
0.17426333860096507,0.005504926503535393
0.19338917504552322,0.00616489638073134
0.21461411978584058,0.0067812525356754725
0.23816855519761607,0.007347132325721786
0.2643081486974108,0.007845799240451588
0.29331662783900486,0.00826812135571848
0.32550885998350565,0.008605342548589846
0.36123426997094304,0.008845207974671525
0.40088063288984643,0.008988587396138403
0.4448782831127585,0.009023101009895942
0.4937047852839004,0.008956871253369149
0.5478901179593945,0.008783040406290767
0.6080224261649427,0.008512396562656913
0.67475440531107,0.008148538649660477
0.748810385759003,0.007701332286377356
0.8309941949353403,0.007185620946469717
0.9221978823334341,0.006609745225178139
1.0234114021054528,0.005995378636136386
1.135733358343105,0.005351246880856721
1.2603829296797273,0.0046991323505211164
1.3987131026472386,0.00405013211332414
1.552225357427048,0.003420942854123189
1.7225859653987874,0.0028245630408200214
1.9116440753857036,0.0022705381058958185
2.121451784910632,0.001770394492483427
2.35428641432242,0.0013280186042242319
2.612675225563332,0.0009503931911399453
2.8994228538828812,0.0006378500972181764
3.2176417502507353,0.00039071841537952296
3.5707859649004625,0.0002065195554709607
3.9626886387014784,7.981367761808183e-05
4.397603609302721,5.36580607327808e-06
4.880251583654434,-2.4994542037108928e-05
5.415871378079476,-1.8975502141755562e-05
6.010276782070388,1.449264988731288e-05
6.669919663030129,6.578320563641275e-05
7.401959996915652,0.00012678554995320453
8.214343584919439,0.0001888550241304805
9.115888299750837,0.0002449220976502162
10.11637979766207,0.0002882968559148796
11.226677735108158,0.0003137032423270184
12.458833642950081,0.0003191084893159351
13.826221737646593,0.0003009674703184148
15.343684089300131,0.0002551490691319365
17.02769172225898,0.00018184060160008743
18.896523396912116,9.962854184397799e-05
20.970464013232306,3.9055866149127543e-05
23.27202478960412,1.0516104465986653e-05
25.826187606826746,1.9077356588042535e-06
28.66067616948256,2.31238276961695e-07
31.80625692794119,1.866275581312331e-08
35.297073027306574,1.0015001291902622e-09
39.17101490809261,3.57137347624199e-11
43.47013158125035,8.461105648446306e-13
48.241087041653735,1.3316358316078174e-14
53.535666774107185,1.3921745818655217e-16
59.411339849650396,9.66818757825994e-19
65.93188271333541,4.46002045317777e-21
73.16807143427206,1.3666834798408235e-23
81.19844993184009,2.78187687770983e-26
90.11018251665037,3.76137427142877e-29
100.0,3.3782657180192006e-32
