tau,gamma
1e-07,7.030376819034618e-06
1.1097524964120721e-07,3.611077575809368e-05
1.2315506032928263e-07,0.00012592958317142353
1.3667163564620074e-07,0.0003068171548459955
1.5167168884709241e-07,0.0005527080464774346
1.6831803533309585e-07,0.000803481882715433
1.867913599020781e-07,0.0010313377946827317
2.0729217795953698e-07,0.0012382520826730462
2.300430119772917e-07,0.0014313415732511402
2.5529080682395163e-07,0.0016102810880294464
2.833096101839324e-07,0.0017713551942842476
3.1440354715915e-07,0.0019144772817956646
3.489101213406774e-07,0.0020368621479369244
3.872038781812557e-07,0.002139405002755241
4.2970047043208437e-07,0.002218790269040568
4.768611697714474e-07,0.0022753182455908932
5.291978735958437e-07,0.0023070800212746634
5.872786613189477e-07,0.0023133104646746653
6.517339604882421e-07,0.0022940833721723374
7.232633896483533e-07,0.0022475189553226613
8.026433522257174e-07,0.0021755629005833304
8.907354638610439e-07,0.0020762103947369404
9.884959046625586e-07,0.001952288633385947
1.096985797892384e-06,0.0018029725489738962
1.217382727739662e-06,0.0016307519466237615
1.3509935211980278e-06,0.0014369424595319707
1.499268432786047e-06,0.0012232483081314235
1.6638168860761274e-06,0.0009933033526239362
1.8464249428955464e-06,0.0007483395689042905
2.049074689815846e-06,0.000493076873599196
2.2739657523579273e-06,0.0002291781159105006
2.523539170434766e-06,-3.898689853942912e-05
2.800503894183631e-06,-0.0003084656195162558
3.107866187782014e-06,-0.0005763875159642026
3.4489622604057595e-06,-0.0008386604598974516
3.827494478516315e-06,-0.0010940990493197706
4.247571552536894e-06,-0.0013385652718588003
4.713753134116729e-06,-0.0015716253417909342
5.2310993080562585e-06,-0.0017903453986402307
5.805225516094895e-06,-0.0019940130559037636
6.44236350872137e-06,-0.0021820635652053267
7.149428986597577e-06,-0.002353048753104734
7.934096665797492e-06,-0.0025086774500562236
8.804883581643465e-06,-0.00264689956986958
9.771241535346501e-06,-0.002770497547626735
1.0843659686896109e-05,-0.0028774207846500436
1.2033778407775906e-05,-0.0029699128697695753
1.3354515629298974e-05,-0.0030466010014970524
1.48202070579886e-05,-0.0031078562190293146
1.6446761779946626e-05,-0.0031533637034808484
1.8251834943190462e-05,-0.003181015510098507
2.0255019392306664e-05,-0.0031913704305344165
2.2478058335487252e-05,-0.0031800401592356913
2.4945081352303165e-05,-0.003147506463599244
2.7682866303920665e-05,-0.0030880103686207246
3.072112998861759e-05,-0.0030007924380120853
3.409285069746814e-05,-0.002880126886163269
3.783462617131933e-05,-0.0027227611051445677
4.1987070844439056e-05,-0.0025238916406131163
4.659525668664687e-05,-0.0022769645874572333
5.170920242896755e-05,-0.0019777810521797523
5.7384416483024044e-05,-0.0016162626035525268
6.368249944718586e-05,-0.0011868208298150636
7.067181273927492e-05,-0.0006772133335027665
7.842822061337681e-05,-7.905739140873025e-05
8.703591361485166e-05,0.000623132413611703
9.658832241158708e-05,0.00145069970702534
0.00010718913192051276,0.002419340370287628
0.00011895340673703195,0.0035343068952549857
0.0001320088400831418,0.0048081519729443615
0.00014649713983072864,0.0063594044613860725
0.0001625755666443795,0.008315030790596199
0.00018041864093920718,0.010493709317858837
0.00020022003718155845,0.012608783358648784
0.0002221946860939524,0.01621782731537734
0.0002465811075822604,0.02644254099961542
0.0002736439997074672,0.04865905711864003
0.00030367711180354605,0.08316956934320759
0.00033700643292719284,0.12689155519783324
0.0003739937302478798,0.17729191044018136
0.0004150404757850477,0.23195242881041506
0.00046059220411451084,0.28930650454236245
0.0005111433483440171,0.3472229727632057
0.0005672426068491978,0.40356970408055265
0.0006294988990221888,0.45618878631319565
0.0006985879746785249,0.5019888806763525
0.0007752597488629464,0.5387228963402894
0.000860346441668451,0.5634621126406361
0.0009547716114208065,0.5764553480600095
0.001059560179277617,0.5787929720506297
0.0011758495540521582,0.5724894936190703
0.0013049019780144017,0.5601646508604978
0.001448118227674533,0.5436039249042474
0.0016070528182616384,0.5251540476193706
0.0017834308769319094,0.5059475317779258
0.0019791668678535573,0.48773280349499054
0.002196385372416547,0.4712709865153195
0.002437444150122222,0.45762430526626685
0.002704959730463137,0.4472316652059941
0.0030018358135755923,0.4405265304873863
0.003331294787934677,0.4376551690577145
0.0036969127071950323,0.43855503623054465
0.00410265810582719,0.44314659267070233
0.004552935074866948,0.4509355740531319
0.00505263106533568,0.46163282696305635
0.005607169938205458,0.47426176811972826
0.006222570836730231,0.4882413509947474
0.006905513520162331,0.5020622050416947
0.007663410868007463,0.5147780763177693
0.008504489341802686,0.5244825198254122
0.009437878277775391,0.5296729160833711
0.010473708979594508,0.5283100015954382
0.011623224686798541,0.5184521481278663
0.01289890261253308,0.4989405951916112
0.014314589375234785,0.4689189391993073
0.015885651294280528,0.430315827528975
0.01762914118095948,0.384651820755975
0.01956398343517065,0.3345130089719587
0.021711179456945052,0.2819737874510599
0.02409403560239527,0.2290149324761864
0.026738416158399492,0.17767276423639403
0.029673024081888724,0.1290591455516135
0.032929712550971546,0.08505109310017946
0.036543830709572546,0.048473708307188404
0.040554607358408275,0.023822900005141444
0.04500557675700498,0.012213446371705431
0.0499450511585514,0.008356275145762223
0.05542664520663107,0.006412639835060739
0.06150985788580504,0.004370506209224512
0.06826071834272393,0.0024966085266601
0.0757525025877192,0.0010357763754059671
0.08406652885618333,-0.0001283365494374575
0.09329304026284696,-0.0011266307878408527
0.10353218432956637,-0.0019736354569509125
0.11489510001873086,-0.0026656467747062478
0.1275051240713013,-0.0032188102201499355
0.1414991297434576,-0.003650534317210035
0.15702901247293774,-0.0039801629236888335
0.17426333860096507,-0.004213706373769282
0.19338917504552322,-0.004366245047773888
0.21461411978584058,-0.004444487855761178
0.23816855519761607,-0.004460004225535737
0.2643081486974108,-0.00442092136340551
0.29331662783900486,-0.004334116367060963
0.32550885998350565,-0.004209714593180608
0.36123426997094304,-0.004051503429532716
0.40088063288984643,-0.0038701545739331595
0.4448782831127585,-0.0036684269729064327
0.4937047852839004,-0.003455629004539309
0.5478901179593945,-0.0032352808489762796
0.6080224261649427,-0.0030140972299346055
0.67475440531107,-0.002796909410883516
0.748810385759003,-0.0025876262890668048
0.8309941949353403,-0.002391545642806643
0.9221978823334341,-0.0022104189665087775
1.0234114021054528,-0.002048710910791967
1.135733358343105,-0.001906808383386091
1.2603829296797273,-0.0017873054632948802
