tau,gamma
1e-07,1.5896445639475236e-06
1.1097524964120721e-07,8.146157164306158e-06
1.2315506032928263e-07,2.8252049863717237e-05
1.3667163564620074e-07,6.798007281411568e-05
1.5167168884709241e-07,0.00011938575095991042
1.6831803533309585e-07,0.000166222536222061
1.867913599020781e-07,0.00020122167231605338
2.0729217795953698e-07,0.00022563394052695207
2.300430119772917e-07,0.00024182827345309508
2.5529080682395163e-07,0.00025054705700061815
2.833096101839324e-07,0.00025159037094999646
3.1440354715915e-07,0.0002459603466041854
3.489101213406774e-07,0.00023432970606799468
3.872038781812557e-07,0.00021785293408005981
4.2970047043208437e-07,0.00019729481081451783
4.768611697714474e-07,0.0001735637581749205
5.291978735958437e-07,0.00014772178791485718
5.872786613189477e-07,0.00012054408731831388
6.517339604882421e-07,9.319296047245355e-05
7.232633896483533e-07,6.638876208798449e-05
8.026433522257174e-07,4.1127399642664516e-05
8.907354638610439e-07,1.8124809801679792e-05
9.884959046625586e-07,-1.995533979609259e-06
1.096985797892384e-06,-1.8641997588265653e-05
1.217382727739662e-06,-3.163304922918287e-05
1.3509935211980278e-06,-4.073480442236721e-05
1.499268432786047e-06,-4.6112786840857086e-05
1.6638168860761274e-06,-4.801703559330754e-05
1.8464249428955464e-06,-4.689733987190356e-05
2.049074689815846e-06,-4.349993624285963e-05
2.2739657523579273e-06,-3.8540644129042395e-05
2.523539170434766e-06,-3.29940733963499e-05
2.800503894183631e-06,-2.772151787439452e-05
3.107866187782014e-06,-2.354905551262909e-05
3.4489622604057595e-06,-2.121114193302612e-05
3.827494478516315e-06,-2.1165903986462473e-05
4.247571552536894e-06,-2.3719633034807155e-05
4.713753134116729e-06,-2.8876692162013024e-05
5.2310993080562585e-06,-3.6327230487840856e-05
5.805225516094895e-06,-4.5639218611711735e-05
6.44236350872137e-06,-5.607351799433445e-05
7.149428986597577e-06,-6.692866222872857e-05
7.934096665797492e-06,-7.753690123334067e-05
8.804883581643465e-06,-8.724116696016504e-05
9.771241535346501e-06,-9.575279716482781e-05
1.0843659686896109e-05,-0.00010277459235900386
1.2033778407775906e-05,-0.00010852005304155305
1.3354515629298974e-05,-0.00011331499612632859
1.48202070579886e-05,-0.00011777693034776487
1.6446761779946626e-05,-0.00012271486846041513
1.8251834943190462e-05,-0.00012891994590752634
2.0255019392306664e-05,-0.00013728170766213367
2.2478058335487252e-05,-0.00014855036249747223
2.4945081352303165e-05,-0.00016348354601276863
2.7682866303920665e-05,-0.00018258431059161825
3.072112998861759e-05,-0.00020624618470784414
3.409285069746814e-05,-0.00023440365818878288
3.783462617131933e-05,-0.00026704555766542267
4.1987070844439056e-05,-0.0003035219358735386
4.659525668664687e-05,-0.0003433559786481254
5.170920242896755e-05,-0.00038545187765303296
5.7384416483024044e-05,-0.00042867858236058547
6.368249944718586e-05,-0.00047169848605581083
7.067181273927492e-05,-0.0005126258538524931
7.842822061337681e-05,-0.0005501542714498719
8.703591361485166e-05,-0.0005819080980946873
9.658832241158708e-05,-0.0006066951076355682
0.00010718913192051276,-0.0006222766050850757
0.00011895340673703195,-0.0006275758347710276
0.0001320088400831418,-0.0006213599017784618
0.00014649713983072864,-0.0006028045319834043
0.0001625755666443795,-0.0005722885642051451
0.00018041864093920718,-0.0005297076391693553
0.00020022003718155845,-0.00047705660471944537
0.0002221946860939524,-0.0004156321425806323
0.0002465811075822604,-0.00034850952456927907
0.0002736439997074672,-0.00027873660956521376
0.00030367711180354605,-0.00020976931621928787
0.00033700643292719284,-0.00014584771840014385
0.0003739937302478798,-9.030939504760143e-05
0.0004150404757850477,-4.718648644971701e-05
0.00046059220411451084,-1.9320264022326603e-05
0.0005111433483440171,-9.075758527986797e-06
0.0005672426068491978,-1.819947016412731e-05
0.0006294988990221888,-4.6778720600651095e-05
0.0006985879746785249,-9.466581682377904e-05
0.0007752597488629464,-0.00016015606042271824
0.000860346441668451,-0.0002409336293029506
0.0009547716114208065,-0.0003346547454811185
0.001059560179277617,-0.000437532620692414
0.0011758495540521582,-0.0005465093092045025
0.0013049019780144017,-0.0006574098680959089
0.001448118227674533,-0.0007693545711111813
0.0016070528182616384,-0.0008825077461503477
0.0017834308769319094,-0.000989957908933909
0.0019791668678535573,-0.0010790369082093792
0.002196385372416547,-0.0011600121371039282
0.002437444150122222,-0.0012901254823389787
0.002704959730463137,-0.001453688820390677
0.0030018358135755923,-0.0014186721513244221
0.003331294787934677,-0.001115514408031609
0.0036969127071950323,-0.001458880348297574
0.00410265810582719,-0.003201395535649278
0.004552935074866948,-0.0027460705958979883
0.00505263106533568,0.0055378386217231805
0.005607169938205458,0.01088877142124848
0.006222570836730231,-0.006992882502438203
0.006905513520162331,0.03849141152907309
0.007663410868007463,0.4570283244736074
0.008504489341802686,1.4656921782093248
0.009437878277775391,2.536950690824473
0.010473708979594508,2.673819839397021
0.011623224686798541,1.7408609829698556
0.01289890261253308,0.657766948713676
0.014314589375234785,0.11119241870376953
0.015885651294280528,0.0012701969865400863
0.01762914118095948,0.008287392866397555
0.01956398343517065,0.005003647947941544
0.021711179456945052,-0.0034589683260288187
0.02409403560239527,-0.005076569011461956
0.026738416158399492,-0.0036564817547991325
0.029673024081888724,-0.0032110712637939665
0.032929712550971546,-0.0035324311007586557
0.036543830709572546,-0.0036966025193248733
0.040554607358408275,-0.0036484490106314586
0.04500557675700498,-0.0036039412084515115
0.0499450511585514,-0.003607643067141556
0.05542664520663107,-0.003604694714416173
0.06150985788580504,-0.00357638911558542
0.06826071834272393,-0.003526419683952977
0.0757525025877192,-0.0034598123965157847
0.08406652885618333,-0.0033724986037733115
0.09329304026284696,-0.0032614956895147345
0.10353218432956637,-0.003128517593213971
0.11489510001873086,-0.0029726887040776753
0.1275051240713013,-0.0027985270509278694
0.1414991297434576,-0.0026053212610570114
0.15702901247293774,-0.0023983028086952476
0.17426333860096507,-0.0021785263763431195
0.19338917504552322,-0.0019501952852797955
0.21461411978584058,-0.0017161765192066352
0.23816855519761607,-0.0014789494177217045
0.2643081486974108,-0.0012426497379044693
0.29331662783900486,-0.001008632017860041
0.32550885998350565,-0.0007812710248192413
0.36123426997094304,-0.0005619187582213807
0.40088063288984643,-0.00035417768388259905
0.4448782831127585,-0.00016019070445599912
0.4937047852839004,1.7807167601020143e-05
0.5478901179593945,0.00017702035402662018
0.6080224261649427,0.00031654128182783824
0.67475440531107,0.0004339368838820224
0.748810385759003,0.0005291526268711237
0.8309941949353403,0.0006013291693442018
0.9221978823334341,0.0006508345403387181
1.0234114021054528,0.0006789020029775321
1.135733358343105,0.0006863031659300809
1.2603829296797273,0.000675869973861758
1.3987131026472386,0.0006490725825543602
1.552225357427048,0.0006092662845027771
1.7225859653987874,0.0005587848828128039
1.9116440753857036,0.0005005858820293541
2.121451784910632,0.0004375833164645944
