tau,gamma
1e-07,6.797690870390912e-05
1.1097524964120721e-07,0.0003489193488387007
1.2315506032928263e-07,0.0012148332489095215
1.3667163564620074e-07,0.00294913967160364
1.5167168884709241e-07,0.005274118253132356
1.6831803533309585e-07,0.0075753375328826604
1.867913599020781e-07,0.00957231636805164
2.0729217795953698e-07,0.011296747034935668
2.300430119772917e-07,0.01283422153176997
2.5529080682395163e-07,0.01420543841768783
2.833096101839324e-07,0.015397748957618394
3.1440354715915e-07,0.016436267779610093
3.489101213406774e-07,0.017324204508023532
3.872038781812557e-07,0.0180936798521115
4.2970047043208437e-07,0.018743393717998318
4.768611697714474e-07,0.019298745943594896
5.291978735958437e-07,0.019769084384219232
5.872786613189477e-07,0.020172697384046707
6.517339604882421e-07,0.02053251692802855
7.232633896483533e-07,0.020857793995299356
8.026433522257174e-07,0.02117921878904669
8.907354638610439e-07,0.02149518556739703
9.884959046625586e-07,0.02182957118728475
1.096985797892384e-06,0.022164889463073625
1.217382727739662e-06,0.022504967940061082
1.3509935211980278e-06,0.022815585554272683
1.499268432786047e-06,0.023078498774642735
1.6638168860761274e-06,0.023257424791463706
1.8464249428955464e-06,0.02332045259132684
2.049074689815846e-06,0.023252391093365504
2.2739657523579273e-06,0.023023194687294378
2.523539170434766e-06,0.022652594122143148
2.800503894183631e-06,0.022136996405159735
3.107866187782014e-06,0.02154099928138532
3.4489622604057595e-06,0.02092304501651297
3.827494478516315e-06,0.02040334598375905
4.247571552536894e-06,0.020127742464794384
4.713753134116729e-06,0.02026309265610519
5.2310993080562585e-06,0.020995304441286756
5.805225516094895e-06,0.022458638094830414
6.44236350872137e-06,0.024724589578554338
7.149428986597577e-06,0.027818244004256157
7.934096665797492e-06,0.03171164004257117
8.804883581643465e-06,0.03635571740610536
9.771241535346501e-06,0.041748199573592264
1.0843659686896109e-05,0.04783516389002966
1.2033778407775906e-05,0.05461200160750987
1.3354515629298974e-05,0.061974393906798944
1.48202070579886e-05,0.06993081958592991
1.6446761779946626e-05,0.07844040469009063
1.8251834943190462e-05,0.08751861554587861
2.0255019392306664e-05,0.09717317597804252
2.2478058335487252e-05,0.1073562759839672
2.4945081352303165e-05,0.11809813216629424
2.7682866303920665e-05,0.1292727414710475
3.072112998861759e-05,0.14096197069032426
3.409285069746814e-05,0.1530237025806444
3.783462617131933e-05,0.16552560198044325
4.1987070844439056e-05,0.17830136014905082
4.659525668664687e-05,0.19129767139934253
5.170920242896755e-05,0.20434261799338818
5.7384416483024044e-05,0.2172273431796803
6.368249944718586e-05,0.22987838593179935
7.067181273927492e-05,0.2419371691724084
7.842822061337681e-05,0.253352373317994
8.703591361485166e-05,0.26362765911934916
9.658832241158708e-05,0.2727257397705979
0.00010718913192051276,0.28020352819506383
0.00011895340673703195,0.28595544801661654
0.0001320088400831418,0.2897038733658386
0.00014649713983072864,0.2912330619323558
0.0001625755666443795,0.2905548709606842
0.00018041864093920718,0.28741443561094465
0.00020022003718155845,0.28210765061863685
0.0002221946860939524,0.2744769863891149
0.0002465811075822604,0.26497304506634073
0.0002736439997074672,0.25366550882210387
0.00030367711180354605,0.24099649697977696
0.00033700643292719284,0.22729287884110805
0.0003739937302478798,0.21288461519610752
0.0004150404757850477,0.19826658481481363
0.00046059220411451084,0.18368203287406432
0.0005111433483440171,0.1696947971172737
0.0005672426068491978,0.15652118954663524
