tau,gamma
1e-07,4.608579086808878e-05
1.1097524964120721e-07,0.000236524626574466
1.2315506032928263e-07,0.0008232621763571848
1.3667163564620074e-07,0.0019971933072839764
1.5167168884709241e-07,0.0035666108456559598
1.6831803533309585e-07,0.005109744842546349
1.867913599020781e-07,0.006432055337066871
2.0729217795953698e-07,0.007553387835391725
2.300430119772917e-07,0.008536699177769464
2.5529080682395163e-07,0.009409199933296893
2.833096101839324e-07,0.010170442676779953
3.1440354715915e-07,0.010833320314428395
3.489101213406774e-07,0.011393438187891894
3.872038781812557e-07,0.011870440141339405
4.2970047043208437e-07,0.012265172306098745
4.768611697714474e-07,0.012595519886188546
5.291978735958437e-07,0.01286803415784551
5.872786613189477e-07,0.013093257291854024
6.517339604882421e-07,0.013283362102485527
7.232633896483533e-07,0.013439831005554796
8.026433522257174e-07,0.013577027076824746
8.907354638610439e-07,0.013688567046149284
9.884959046625586e-07,0.013787992225850153
1.096985797892384e-06,0.013865754376352816
1.217382727739662e-06,0.013932597775597222
1.3509935211980278e-06,0.013982067199791184
1.499268432786047e-06,0.014020172115531394
1.6638168860761274e-06,0.014047672689564713
1.8464249428955464e-06,0.014064590568247602
2.049074689815846e-06,0.01407914353640452
2.2739657523579273e-06,0.014085821107038111
2.523539170434766e-06,0.014097380536509909
2.800503894183631e-06,0.01410515578616023
3.107866187782014e-06,0.014122461228135975
3.4489622604057595e-06,0.014141201835563874
3.827494478516315e-06,0.014171612513715098
4.247571552536894e-06,0.014209742815252226
4.713753134116729e-06,0.014259770868195088
5.2310993080562585e-06,0.01432316826444264
5.805225516094895e-06,0.014396274478821903
6.44236350872137e-06,0.014484458039720642
7.149428986597577e-06,0.014575736165688758
7.934096665797492e-06,0.014675453893543218
8.804883581643465e-06,0.014764283960624063
9.771241535346501e-06,0.014843461353425996
1.0843659686896109e-05,0.01489025968151843
1.2033778407775906e-05,0.014900216186063766
1.3354515629298974e-05,0.014855924129589401
1.48202070579886e-05,0.014749633592718879
1.6446761779946626e-05,0.014580903896204155
1.8251834943190462e-05,0.01434656503136654
2.0255019392306664e-05,0.014071830209143767
2.2478058335487252e-05,0.013769069051006125
2.4945081352303165e-05,0.01348566493789223
2.7682866303920665e-05,0.013254209291193045
3.072112998861759e-05,0.01312748468580767
3.409285069746814e-05,0.013143112553395045
3.783462617131933e-05,0.013330896209697797
4.1987070844439056e-05,0.013702272516193154
4.659525668664687e-05,0.014265050368239612
5.170920242896755e-05,0.015026853675210939
5.7384416483024044e-05,0.01600915682167166
6.368249944718586e-05,0.01726045173117354
7.067181273927492e-05,0.018803977224190947
7.842822061337681e-05,0.020638656306527524
8.703591361485166e-05,0.02273249025677554
9.658832241158708e-05,0.025108513645552857
0.00010718913192051276,0.02776342493975787
0.00011895340673703195,0.030705477695162634
0.0001320088400831418,0.033882161940764
0.00014649713983072864,0.037274508133934604
0.0001625755666443795,0.04086219521773262
0.00018041864093920718,0.044639705504940605
0.00020022003718155845,0.048649294242094604
0.0002221946860939524,0.052876566441388086
0.0002465811075822604,0.05734906621683968
0.0002736439997074672,0.06200169898538984
