tau,gamma
1e-07,2.513340234578888e-05
1.1097524964120721e-07,0.00012814702798258915
1.2315506032928263e-07,0.0004390687229552535
1.3667163564620074e-07,0.00102726893095744
1.5167168884709241e-07,0.0016999128981022614
1.6831803533309585e-07,0.0021260648619762937
1.867913599020781e-07,0.0022087910195215774
2.0729217795953698e-07,0.002083273876542144
2.300430119772917e-07,0.0019009047556093756
2.5529080682395163e-07,0.0018138791244025926
2.833096101839324e-07,0.002106873540322404
3.1440354715915e-07,0.0032861682878595018
3.489101213406774e-07,0.0057558859078553955
3.872038781812557e-07,0.009372906421462624
4.2970047043208437e-07,0.013723297961863171
4.768611697714474e-07,0.01850754441000401
5.291978735958437e-07,0.023482073639392784
5.872786613189477e-07,0.02854876267969861
6.517339604882421e-07,0.03360888168313856
7.232633896483533e-07,0.03860749688282708
8.026433522257174e-07,0.04349542059332187
8.907354638610439e-07,0.04821203223642043
9.884959046625586e-07,0.05279851075095481
1.096985797892384e-06,0.05721831964080486
1.217382727739662e-06,0.06151737109845449
1.3509935211980278e-06,0.06563118279481374
1.499268432786047e-06,0.06959981486837416
1.6638168860761274e-06,0.0734099701988391
1.8464249428955464e-06,0.0770847152032572
2.049074689815846e-06,0.08065317198955037
2.2739657523579273e-06,0.08409482972231778
2.523539170434766e-06,0.0874740534982458
2.800503894183631e-06,0.0907366091356475
3.107866187782014e-06,0.09397099874480228
3.4489622604057595e-06,0.09711737878583303
3.827494478516315e-06,0.10025835573713768
4.247571552536894e-06,0.10335204588331606
4.713753134116729e-06,0.10644173394730319
5.2310993080562585e-06,0.10952220408763405
5.805225516094895e-06,0.11258401633270786
6.44236350872137e-06,0.11567761300858954
7.149428986597577e-06,0.11874458029287019
7.934096665797492e-06,0.12187409968557794
8.804883581643465e-06,0.12497408113792835
9.771241535346501e-06,0.1281468411666459
1.0843659686896109e-05,0.13130166466626558
1.2033778407775906e-05,0.13451532975081093
1.3354515629298974e-05,0.13772900265887308
1.48202070579886e-05,0.14096243673586292
1.6446761779946626e-05,0.14421518447225978
1.8251834943190462e-05,0.14743410266070786
2.0255019392306664e-05,0.15067684737836698
2.2478058335487252e-05,0.1538238428963732
2.4945081352303165e-05,0.15697074756462429
2.7682866303920665e-05,0.15996452887649446
3.072112998861759e-05,0.16289859117962543
3.409285069746814e-05,0.1656334733176413
3.783462617131933e-05,0.1682166356675444
4.1987070844439056e-05,0.17057044108024705
4.659525668664687e-05,0.17266395031675624
5.170920242896755e-05,0.17450535875028095
5.7384416483024044e-05,0.17597901507086713
6.368249944718586e-05,0.17716834185046562
7.067181273927492e-05,0.17790270731873264
7.842822061337681e-05,0.17830436655991785
8.703591361485166e-05,0.17820695144143098
9.658832241158708e-05,0.17771739596268468
0.00010718913192051276,0.17673509234496765
0.00011895340673703195,0.17530657931393281
0.0001320088400831418,0.1734398542316034
0.00014649713983072864,0.171112567356526
0.0001625755666443795,0.16845102978916465
0.00018041864093920718,0.16538960888272627
0.00020022003718155845,0.1621261511875726
0.0002221946860939524,0.1585976414757948
0.0002465811075822604,0.15501578794192997
0.0002736439997074672,0.15137130890178113
0.00030367711180354605,0.1478329421865095
0.00033700643292719284,0.14446426820708522
0.0003739937302478798,0.1413687157666933
0.0004150404757850477,0.13868035917144658
0.00046059220411451084,0.1364394191364905
0.0005111433483440171,0.13481287545287376
0.0005672426068491978,0.13380036798635933
0.0006294988990221888,0.13358205142930882
0.0006985879746785249,0.13414243382999513
0.0007752597488629464,0.13562637862181312
0.000860346441668451,0.138004170334204
0.0009547716114208065,0.14138779408602295
0.001059560179277617,0.14577068418344544
0.0011758495540521582,0.1511912481508418
0.0013049019780144017,0.15762580646527635
0.001448118227674533,0.16501244946754304
0.0016070528182616384,0.17335873361670037
0.0017834308769319094,0.18250921121598643
0.0019791668678535573,0.19249477927670333
0.002196385372416547,0.20305415581201883
0.002437444150122222,0.21419176588729957
0.002704959730463137,0.22555818753688409
0.0030018358135755923,0.23706728888955378
0.003331294787934677,0.24835248115837172
0.0036969127071950323,0.2591727828012844
0.00410265810582719,0.2692409376482378
0.004552935074866948,0.27815356353771115
0.00505263106533568,0.28579897041449154
0.005607169938205458,0.2916762317947066
0.006222570836730231,0.2958046837500835
0.006905513520162331,0.2977244117110007
0.007663410868007463,0.2975768410363815
0.008504489341802686,0.2952123433848337
0.009437878277775391,0.2908338775444867
0.010473708979594508,0.2846929447365246
0.011623224686798541,0.2769537062918525
0.01289890261253308,0.2681057066858329
0.014314589375234785,0.25825676382921736
0.015885651294280528,0.2479740185434156
0.01762914118095948,0.23734808789580153
0.01956398343517065,0.22678843032008078
0.021711179456945052,0.2163327637847229
0.02409403560239527,0.2061565569566331
0.026738416158399492,0.19627698266423968
0.029673024081888724,0.18665244449304308
0.032929712550971546,0.17728394418149812
0.036543830709572546,0.16796390392917315
0.040554607358408275,0.15868234046052404
0.04500557675700498,0.1491798774488485
0.0499450511585514,0.13950957884266793
0.05542664520663107,0.12950882638846595
0.06150985788580504,0.1192655081632528
0.06826071834272393,0.1087785422709666
0.0757525025877192,0.09816624206898446
0.08406652885618333,0.08762859311354226
0.09329304026284696,0.07729736149810246
0.10353218432956637,0.06746188343061338
0.11489510001873086,0.058250675067462794
0.1275051240713013,0.04991593310828639
0.1414991297434576,0.04257773584759108
0.15702901247293774,0.03638147897267514
0.17426333860096507,0.031403954791690426
0.19338917504552322,0.027641888281690882
0.21461411978584058,0.02505437140563053
0.23816855519761607,0.02352013258433004
0.2643081486974108,0.022878481274682904
0.29331662783900486,0.022929864117107637
0.32550885998350565,0.02343164570341895
0.36123426997094304,0.024133484811598663
0.40088063288984643,0.024791687384007104
0.4448782831127585,0.02515363616344112
0.4937047852839004,0.025058340752229655
0.5478901179593945,0.024339840985140995
0.6080224261649427,0.022972140939954776
0.67475440531107,0.020971106034431378
0.748810385759003,0.01844114772672492
0.8309941949353403,0.015583384553689602
0.9221978823334341,0.01259351067206796
1.0234114021054528,0.009747702945389305
1.135733358343105,0.007254425860323777
1.2603829296797273,0.005298477499004848
1.3987131026472386,0.004040787182386041
1.552225357427048,0.0035976580419664933
1.7225859653987874,0.004006652768652951
1.9116440753857036,0.005041435830674353
2.121451784910632,0.0063045434041712894
2.35428641432242,0.007466957094666537
2.612675225563332,0.008248443953873513
2.8994228538828812,0.008471891985579745
3.2176417502507353,0.008063529741900116
3.5707859649004625,0.00702480840324135
3.9626886387014784,0.005532012089968917
4.397603609302721,0.003840526247769743
4.880251583654434,0.002310955152061742
5.415871378079476,0.0012699555355313724
6.010276782070388,0.0007236317042990473
6.669919663030129,0.0004793124552099324
7.401959996915652,0.0003804025420843227
8.214343584919439,0.0003514692112293544
9.115888299750837,0.00035732052289059703
10.11637979766207,0.0003836883769293277
11.226677735108158,0.0004678464882239669
12.458833642950081,0.0007228165968362988
13.826221737646593,0.0012504918734636326
15.343684089300131,0.002019853653764708
17.02769172225898,0.0029004375095681764
18.896523396912116,0.003718346223337301
20.970464013232306,0.0042378876246012154
23.27202478960412,0.00423907010053058
25.826187606826746,0.0035694493539143524
28.66067616948256,0.0023660128346296378
31.80625692794119,0.0011944337339476225
35.297073027306574,0.0005012160189389694
39.17101490809261,0.00023431815360981743
43.47013158125035,0.00015207047875412182
48.241087041653735,0.00012499249887827613
53.535666774107185,0.00012613143318643028
59.411339849650396,0.00013822081514598127
65.93188271333541,0.000135126876307481
73.16807143427206,0.00012189633824011026
81.19844993184009,0.00013999100682918154
90.11018251665037,0.00021254060428395495
100.0,0.00033902368727094776
