tau,gamma,ftp
1e-07,2.3684882836435585e-06,1.4605129809208304e-05
1.1097524964120721e-07,1.2110855996149974e-05,7.50074461148865e-05
1.2315506032928263e-07,4.178365676512955e-05,0.0002614896656592348
1.3667163564620074e-07,9.935328577492805e-05,0.0006366327539423228
1.5167168884709241e-07,0.00017028850009533707,0.0011451525231300566
1.6831803533309585e-07,0.00022761233154912816,0.0016605979939451761
1.867913599020781e-07,0.0002619894300040451,0.002124365130633732
2.0729217795953698e-07,0.0002812628584203314,0.0025406743355523603
2.300430119772917e-07,0.00029446472120427743,0.002925199932638656
2.5529080682395163e-07,0.00030672821141287775,0.00327952094433406
2.833096101839324e-07,0.0003202832471497585,0.003599019519173597
3.1440354715915e-07,0.00033655808862779167,0.0038877739947682
3.489101213406774e-07,0.00035518587007702176,0.004145019994596741
3.872038781812557e-07,0.00037391715229671536,0.004376905182610111
4.2970047043208437e-07,0.00038858695243547555,0.004581352085710881
4.768611697714474e-07,0.0003960943223317471,0.00476309123736758
5.291978735958437e-07,0.00039359666713261707,0.004922171075692295
5.872786613189477e-07,0.00038034689716557956,0.005061023676926138
6.517339604882421e-07,0.00035795577705826634,0.005182219051814133
7.232633896483533e-07,0.0003289171875995709,0.00528519818520174
8.026433522257174e-07,0.0002978894688886094,0.005374920523128937
8.907354638610439e-07,0.00026790522514695206,0.005448771433151499
9.884959046625586e-07,0.00024015206441174153,0.005512737198240406
1.096985797892384e-06,0.0002144395849538137,0.0055636340482666325
1.217382727739662e-06,0.00019080867691565972,0.005606543616820168
1.3509935211980278e-06,0.00016955837070426616,0.005639248168294189
1.499268432786047e-06,0.00015113343947587598,0.0056642611695204206
1.6638168860761274e-06,0.0001361219438244834,0.005681419529046157
1.8464249428955464e-06,0.0001241473285909861,0.00569013122996339
2.049074689815846e-06,0.00011416795210528064,0.00569293068164853
2.2739657523579273e-06,0.00010523273670447512,0.005686758177584294
2.523539170434766e-06,9.72394239216909e-05,0.005676205157960438
2.800503894183631e-06,9.018956599949406e-05,0.0056570147257769664
3.107866187782014e-06,8.414854084567122e-05,0.005634022451005735
3.4489622604057595e-06,7.897985660420475e-05,0.005603357647680032
3.827494478516315e-06,7.446197473030246e-05,0.00556869978099511
4.247571552536894e-06,7.030746481617543e-05,0.005528365890868917
4.713753134116729e-06,6.641698433938371e-05,0.0054835082451221194
5.2310993080562585e-06,6.286776744351139e-05,0.00543485905787062
5.805225516094895e-06,5.960075878021812e-05,0.005380676343019831
6.44236350872137e-06,5.6496868925873104e-05,0.005323953367919261
7.149428986597577e-06,5.3396233634019095e-05,0.0052609324013947086
7.934096665797492e-06,5.0400046907973754e-05,0.0051958206483823715
8.804883581643465e-06,4.770085435005104e-05,0.005124467092188378
9.771241535346501e-06,4.575374942513163e-05,0.005051181250748052
1.0843659686896109e-05,4.4918543787556094e-05,0.0049735230242685495
1.2033778407775906e-05,4.508328124150571e-05,0.004894952511590488
1.3354515629298974e-05,4.5712623185856846e-05,0.00481630932849743
1.48202070579886e-05,4.620249508864863e-05,0.004739903576673901
1.6446761779946626e-05,4.60772605951976e-05,0.004670385151508029
1.8251834943190462e-05,4.561524657865482e-05,0.00460954504153132
2.0255019392306664e-05,4.6018503630829354e-05,0.004565160958664162
2.2478058335487252e-05,4.7950229641217487e-05,0.004539125240089479
2.4945081352303165e-05,5.080640259401993e-05,0.004539610541324941
2.7682866303920665e-05,5.3678011427475865e-05,0.0045675380735212285
