tau,gamma
1.05487624820604e-07,0
1.17065154985245e-07,0
1.29913347987742e-07,0
1.44171662246647e-07,0
1.59994862090094e-07,0
1.77554697617587e-07,0
1.97041768930808e-07,0
2.18667594968414e-07,0
2.42666909400622e-07,0
2.69300208503942e-07,0.000568225449939301
2.98856578671541e-07,0.00114351529984182
3.31656834249914e-07,0.00164890240807598
3.68056999760967e-07,0.00208727613610889
4.0845217430667e-07,0.00247141135924516
4.53280820101766e-07,0.00282198652810811
5.03029521683646e-07,0.00316216141720041
5.58238267457396e-07,0.00350919920489876
6.19506310903595e-07,0.00387522823392703
6.87498675068298e-07,0.00425546154239797
7.62953370937035e-07,0.00463199319448755
8.46689408043381e-07,0.00497617246526376
9.39615684261801e-07,0.00525349273771018
1.04274085127747e-06,0.00542537531183823
1.15718426281602e-06,0.00546179987262792
1.28418812446884e-06,0.00535302241865372
1.42513097699204e-06,0.00510381245509688
1.58154265943109e-06,0.00474083871312246
1.75512091448584e-06,0.00430346463964363
1.94774981635569e-06,0.00385459783990865
2.16152022108689e-06,0.00345088371557488
2.39875246139635e-06,0.00315105661070098
2.6620215323092e-06,0.00300736715969346
2.95418504098282e-06,0.00305395087466815
3.27841422409389e-06,0.00330985167773023
3.63822836946104e-06,0.00377797358368745
4.0375330155266e-06,0.00444876555865962
4.48066234332681e-06,0.00530016288988817
4.97242622108649e-06,0.00629996692964778
5.51816241207558e-06,0.00741662187614789
6.12379451240813e-06,0.00861407318659101
6.79589624765947e-06,0.00985651816076628
7.54176282619753e-06,0.0111123535690065
8.36949012372048e-06,0.0123471470613943
9.28806255849498e-06,0.0135330666727769
1.03074506111213e-05,0.0146376209582932
1.1438719047336e-05,0.0156299905912667
1.26941470185374e-05,0.0164812822229695
1.40873613436438e-05,0.0171721304479763
1.56334844189676e-05,0.0176854770059405
1.73492983615685e-05,0.0180193402591656
1.92534271677485e-05,0.0181929042411139
2.1366538863897e-05,0.0182252150628845
2.37115698438952e-05,0.0181698383823933
2.63139738281119e-05,0.0180630929546515
2.92019981462691e-05,0.0179608723113365
3.24069903430428e-05,0.017902588336111
3.59637384343937e-05,0.0179190106433349
3.99108485078792e-05,0.0180385704346581
4.4291163765543e-05,0.018270920066305
4.91522295578072e-05,0.0186270439236169
5.45468094559957e-05,0.0191199538518569
6.05334579651049e-05,0.0197627083629528
6.71771560932304e-05,0.0205856633463038
7.45500166763259e-05,0.0216122063662452
8.27320671141142e-05,0.0228971677539608
9.18121180132194e-05,0.024471604893769
0.00010188872716605,0.0263701969264327
0.000113071269328772,0.028622948119416
0.000125481123410087,0.0312282654812798
0.000139252989956935,0.0341557277398765
0.000154536353237554,0.0373597371304331
0.000171497103791793,0.0407527042115952
0.000190319339060383,0.0442342623913695
0.000211207361637755,0.0477020160155269
0.000234387896838106,0.0510290760379226
0.000260112553644864,0.0541252324107676
0.000288660555755506,0.0569219382297994
0.000320341772365369,0.0594022492687284
0.000355500081587536,0.0615761875594391
0.000394517103016464,0.0635192623406543
0.000437816339949779,0.0653476351888752
0.000485867776229264,0.0672088678692512
0.000539192977596607,0.0692766178788737
0.000598370752935693,0.0717543695571754
0.000664043436850357,0.0748233914302597
0.000736923861770736,0.0787210803976131
0.000817803095265698,0.0836482767501663
0.000907559026544628,0.0898423512901282
0.00100716589534921,0.0975098684474674
0.00111770486666489,0.106879085075022
0.00124037576603328,0.118125629214642
0.00137651010284447,0.131369926018499
0.00152758552296809,0.146685876369969
0.00169524184759677,0.16399681880847
0.00188129887239273,0.183143032123132
0.00208777612013505,0.203836394393667
0.00231691476126938,0.225644842619755
0.00257120194029268,0.24800907124057
0.00285339777201936,0.270327179696886
0.00316656530075513,0.291896231149278
0.00351410374756485,0.312021158135531
0.00389978540651111,0.330018102062879
0.00432779659034707,0.345263668411784
0.00480278307010131,0.357213668514583
0.00532990050177057,0.365381622544832
0.00591487038746785,0.369392874854527
0.00656404217844628,0.368981115881333
0.0072844621940849,0.363966296801906
0.00808395010490507,0.354289238808152
0.00897118380978903,0.340023879486798
0.00995579362868493,0.321365465473466
0.0110484668331965,0.298645130840805
0.0122610636496658,0.2723113348762
0.0136067459938839,0.242940225235732
0.0151001203347577,0.211221102227166
0.01675739623762,0.177895313735456
0.0185965623080651,0.143742141585711
0.0206375814460579,0.109555154303812
0.0229026075296702,0.0760809998644454
0.0254162258803974,0.0439797097924246
0.0282057201201441,0.0137924423834667
0.0313013683164301,0
0.034736771630272,0
0.0385492190339904,0
0.0427800920577066,0
0.0474753139577782,0
0.0526858481825912,0
0.0584682515462181,0
0.0648852881142645,0
0.0720066104652216,0
0.0799095157219512,0
0.088679784559515,0
0.0984126122962065,0
0.109213642174149,0
0.121200112045016,0
0.134502126907379,0
0.149264071108198,0
0.165646175536951,0
0.183826256823244,0
0.204001647415682,0
0.226391337491728,0
0.251238351947513,0
0.278812388268207,0
0.309412743911255,0
0.343371564977224,0
0.381057451430395,0
0.422879458001302,0
0.469291534198329,0
0.520797451621647,0
0.577956272062169,0
0.641388415738006,0
0.711782395535036,0
0.78990229034717,0
0.876596038634385,0
0.972804642219443,0
1.07957238022428,0
1.19805814401142,0
1.32954801616348,0
1.47546923003714,0
1.63740566141292,0
1.81711502039225,0
2.01654793014817,0
2.23786909961652,0
2.48348081994287,0
2.7560490397231,0
3.0585323020668,0
3.3942138575756,0
3.76673730180097,0
4.1801461240021,0
4.63892759647858,0
5.14806148086696,0
5.71307408007493,0
