tau,gamma,sigma_gamma
1.5915494309189534e-05,-0.0004725653601277755,0.0055365167719792835
1.7662259541255212e-05,-0.0005102934907718809,0.005511721569305314
1.9600736618185914e-05,-0.0005494036732460859,0.0054832330044021545
2.175196639354731e-05,-0.0005896352168816584,0.00545071037861534
2.4139299007110626e-05,-0.0006306667816475557,0.005413832488689554
2.6788647334778468e-05,-0.0006721138946890823,0.005372311811549688
2.972876825527301e-05,-0.0007135279263150743,0.0053259103648454365
3.2991574786545186e-05,-0.0007543968043775949,0.005274456807516271
3.661248247993406e-05,-0.0007941477153810594,0.005217864172106682
4.0630793831950074e-05,-0.0008321519923091207,0.005156147446759291
4.509012488621082e-05,-0.0008677323231164946,0.005089440059527754
5.0038878656004554e-05,-0.0009001723313393047,0.005018008171913569
5.55307705061618e-05,-0.000928728483847076,0.00494226157484022
6.162541119689893e-05,-0.0009526441741736034,0.004862759913256049
6.838895391817905e-05,-0.0009711657180540114,0.004780212963010951
7.58948123377093e-05,-0.0009835598866177785,0.004695473767765246
8.422445745649861e-05,-0.0009891324985964618,0.004609523641638867
9.34683019213017e-05,-0.0009872475025413472,0.004523448386035827
0.00010372668139256173,-0.0009773459097717262,0.004438405586422333
0.00011511094361993503,-0.0009589638941855346,0.004355583565172591
0.00012774465704657218,-0.0009317493605300133,0.004276153460202153
0.00014176495206073746,-0.0008954763009956188,0.004201216917440523
0.00015732400945314112,-0.0008500563118898989,0.004131752903144038
0.0001745907122361798,-0.0007955467264247137,0.004068567965412603
0.00019375247875446226,-0.0007321549329935375,0.004012254666099022
0.00021501729698379145,-0.0006602385855002844,0.003963162646501723
0.00023861598209953821,-0.0005803015665102172,0.003921385769086866
0.0002648046818187808,-0.0004929857272657888,0.003886767060014738
0.00029386765670999645,-0.0003990585923802161,0.003858921035219462
0.0003261203656486841,-0.0002993973727087989,0.0038372708464639283
0.00036191288990944495,-0.00019496976949360541,0.0038210959768143742
0.00040163373306071395,-8.681216947990791e-05,0.003809585272475218
0.0004457140379074271,2.3994081041227495e-05,0.0038018900321372014
0.0004946322662536722,0.00013634757889533942,0.003797172576740485
0.0005489193922809734,0.0002491521759273489,0.0037946469304526004
0.0006091646659128077,0.00036134194236004405,0.0037936096481057564
0.0006760220087227636,0.00047190506386584686,0.0037934601583512217
0.0007502171118095905,0.0005799060210093713,0.003793711080708833
0.0008325553126817477,0.0006845054872584261,0.0037939897427884226
0.0009239303366497019,0.0007849774844524443,0.0037940325728991944
0.001025333997607853,0.0008807234461602417,0.0037936742208222263
0.0011378669635014843,0.0009712829535894926,0.0037928332317885807
0.0012627507033305964,0.0010563410199926297,0.003791495931429706
0.0014013407453672294,0.001135731903057329,0.003789699928651577
0.0015551413904952365,0.0012094395168498386,0.0037875183525312496
0.0017258220403758298,0.0012775945929571083,0.0037850456403327524
0.001915235317670051,0.0013404688032147148,0.0037823854090846027
0.002125437175000907,0.0013984661036120535,0.0037796406881709615
0.002358709210924279,0.0014521115914242788,0.003776906574856031
0.0026175834351333674,0.0015020381869157383,0.0037742652039171104
0.0029048697517061414,0.001548971459240067,0.0037717827981378995
0.0032236864587078034,0.0015937129159027804,0.003769508486564987
0.003577494095200777,0.0016371220689253797,0.00376747453770306
0.00397013300304851,0.0016800975811216436,0.0037656976487586515
0.004405865011221041,0.0017235577848577896,0.0037641809519937722
0.0048894196950571515,0.0017684208551088966,0.003762916437245122
0.0054260457125960265,0.0018155849098531872,0.0037618875381756406
0.006021567775199456,0.0018659083046534027,0.003761071682379536
0.006682449870842083,0.0019201903849333023,0.003760442657014151
0.007415865426315531,0.001979152958757572,0.003759972688696651
0.008229775169909635,0.002043422754232962,0.0037596341769793114
0.009133013539717303,0.0021135151279908404,0.003759401054053665
0.01013538457546652,0.0021898192933548265,0.0037592497696119433
0.011247768334720383,0.002272585337348398,0.0037591599197797244
0.0124822389885206,0.0023619132931951177,0.0037591145537542382
0.013852195878322836,0.002457744527969015,0.003759100202265393
0.015372508956757782,0.0025598556922308375,0.003759106679063838
0.01705968019087887,0.0026678554586850086,0.0037591267108925265
0.018932022679819402,0.002781184249208731,0.003759155453079344
0.021009859431059548,0.002899117113441972,0.0037591899470228868
0.02331574395288505,0.003020769877244882,0.0037592285723266877
0.02587470505741886,0.0031451086258788936,0.0037592705400741264
0.028714518531396612,0.00327096252532192,0.0037593154647834522
0.0318660086234881,0.00339703991668909,0.0037593630412643
0.03536338262060454,0.003521947544729066,0.003759412839573172
0.039244602144791176,0.003644212703639166,0.003759464217529882
0.043551795200880566,0.0037623080041912574,0.0037595163370671143
0.04833171344740451,0.003874678387888608,0.003759568259421365
0.05363623965413002,0.0039797699393028544,0.0037596190861530652
0.05952295085432696,0.004076059979706201,0.003759668109257933
0.06605574330440243,0.004162087866445329,0.0037597149347993446
0.07330552603441562,0.004236485875888667,0.0037597595505654184
0.08135099051749288,0.004298009515624502,0.003759802318608183
0.09027946481238244,0.00434556659588284,0.003759843886929406
0.10018786145028723,0.00437824439234091,0.003759885029349208
0.11118372935464306,0.004395334253339687,0.003759926436788761
0.1233864212117193,0.004396353044142948,0.0037599684948846322
0.13692838896305695,0.004381060878493434,0.003760011090371263
0.15195662148143568,0.004349474661870035,0.003760053490866153
0.16863424003536756,0.004301877059304958,0.0037600943390770658
0.18714226885980173,0.004238820600521044,0.0037601317932493624
0.20768160005138378,0.004161126743132838,0.0037601638317808295
0.23047517411587662,0.004069879827018223,0.003760188722769121
0.2557703998361011,0.003966415965864887,0.0037602056405469254
0.283841839726427,0.0038523070315430565,0.0037602153927863927
0.31499419022259767,0.003729339989838572,0.0037602212051364822
0.34956558895482687,0.003599491939143662,0.0037602294968809022
0.3879312850023754,0.0034649012845172768,0.0037602505716443084
0.43050771196772913,0.003327835546411303,0.0037602991422082043
0.4777570080808367,0.00319065635545392,0.0037603946082108036
0.5301920323960712,0.003055782221968243,0.003760561009945878
0.58838193152933,0.0029256496921633186,0.0037608265907295413
0.6529583173584296,0.0028026735136477323,0.003761222914627314
0.7246221227415434,0.0026892064331174833,0.00376178350621442
0.8041512096678427,0.002587499241153487,0.003762542005148819
0.892408812421676,0.0024996616655615436,0.0037635298613493706
0.9903529074050875,0.002427624698031164,0.003764773636903167
1.0990466113217496,0.0023731049211746643,0.0037662920282667987
1.2196697205875398,0.0023375713857765835,0.003768092775672838
1.353531517220237,0.0023222155721413867,0.0037701696833902744
1.5020849802075775,0.0023279249547137736,0.003772500030604489
1.6669425566084373,0.0023552606746673763,0.0037750427026834225
1.849893663571735,0.002404439808999508,0.0037777374097586747
2.0529241112456025,0.002475322704087654,0.0037805053764178717
2.278237657399342,0.002567405813261071,0.0037832518753786112
2.528279927718911,0.0026798204379248807,0.003785870932537916
2.8057649614145945,0.002811337716280286,0.003788252445512304
3.1137046702753675,0.00296038012915519,0.003790291829583339
3.455441530928017,0.0031250396960504734,0.0037919021332880856
3.8346848651533194,0.003303102914495387,0.003793028353022519
4.255551102057486,0.003492082351963171,0.003793663427308507
4.72260845911744,0.0036892546335006906,0.003793865115682673
