freq,Zreal,Zimag,sigma_im
1000020.0,-28182.626290853834,-70094.20766355854,184860151025.8457
857753.9,-14806.720139154553,-71962.00231093811,150624863228.65234
735644.5,-1505.4493822630466,-71817.10571990209,123332266912.02148
630996.1,11414.869393979694,-69703.31405713159,102010540068.61328
541230.5,23679.632801554428,-65698.47166661132,85688128878.33789
464238.3,35007.496912332324,-59915.057299535954,73496468715.125
398144.5,45138.5870515307,-52492.6930342273,64642054601.61719
341543.0,53797.5513827222,-43632.7679032085,58446156257.08594
292910.2,60782.906448240086,-33521.198607229395,54281049975.796875
251191.4,65877.05682797743,-22417.161294422403,51640304137.78125
215449.2,68906.0235783005,-10614.813258083886,50094460838.865234
184863.3,69745.13744162906,1560.7856154678739,49292309678.79492
158496.1,68302.00690008483,13872.387413955643,48955731787.31641
135996.1,64547.09305890584,25845.24801578367,48881551794.45508
116660.2,58471.31260943161,37195.430532103404,48919312150.79883
100019.5,50101.81803167028,47557.766251585796,48969788265.87109
85839.84,39643.26449012906,56447.3752562115,48972905224.91797
73652.34,27189.351362440924,63562.478138306935,48900654634.677734
63105.47,12834.881187000952,68540.25152443373,48745717092.24414
54199.22,-2774.45981782976,70907.80058450007,48522828468.46094
46464.84,-19734.237313886653,70386.24333523953,48245812538.015625
39902.34,-37278.83722806985,66651.88125263469,47944367868.19922
34160.16,-55535.115159644854,59226.73443165049,47632714589.16992
29355.47,-73218.19281024061,48192.37902825477,47345174613.73242
25136.72,-90660.59567360429,32780.740293689654,47083750111.06836
21621.09,-106422.94686584942,13640.552277916227,46871264752.35547
18574.22,-120574.87231798994,-9961.146129475092,46701867746.96094
15878.91,-132727.471944129,-38950.38408836408,46572071278.990234
13652.34,-141464.43215294654,-71369.45982747199,46483455843.18945
11660.16,-146812.34204448186,-109888.38798854244,46418048655.13867
10019.53,-147691.807603096,-151336.5065294113,46368483306.24805
8613.280999999999,-143804.51219554347,-196842.908592141,46318747916.21289
7349.536999999999,-133982.01139976346,-248846.3723638833,46252434800.08594
6307.871,-118375.66625332141,-302789.23043895955,46163110056.46484
5381.944,-95206.17220222551,-362462.9883998886,46034173950.10156
4630.335,-66222.19123172271,-422048.60609590984,45872112921.63672
3993.0559999999996,-30601.306744126196,-483184.0072132759,45672250760.54492
3414.3520000000003,15091.053940314858,-550012.4665690262,45418186789.81641
2915.3959999999997,69885.81678370001,-619153.7003890988,45121485339.416016
2519.531,128477.61959591006,-684008.8549832394,44817664172.2793
2141.2039999999997,202998.95534756547,-756783.7664314192,44454784033.4668
