tau,gamma,sigma_gamma
1e-07,-1.1983082789239532,0.5988540372867996
1.1097524964120721e-07,-1.3084403426557003,0.5914233997899834
1.2315506032928263e-07,-1.4252701359662154,0.5827057452132087
1.3667163564620074e-07,-1.5483879354160166,0.5725408621412985
1.5167168884709241e-07,-1.677163090551332,0.5607676834532499
1.6831803533309585e-07,-1.8107126855720566,0.547230803827598
1.867913599020781e-07,-1.9478728753448706,0.5317887999721106
2.0729217795953698e-07,-2.087175168239227,0.5143244554824344
2.300430119772917e-07,-2.2268302689531794,0.49475692080787337
2.5529080682395163e-07,-2.364722340403773,0.47305576055872256
2.833096101839324e-07,-2.4984166442156948,0.44925676663248765
3.1440354715915e-07,-2.6251834217519843,0.42347935890616883
3.489101213406774e-07,-2.742040532523447,0.3959453610597596
3.872038781812557e-07,-2.845816734106478,0.3669988995434734
4.2970047043208437e-07,-2.933236543933134,0.3371270018524282
4.768611697714474e-07,-3.001026369006496,0.30697977721957986
5.291978735958437e-07,-3.0460400560430685,0.27738685721838036
5.872786613189477e-07,-3.0654002688877426,0.24936093559906683
6.517339604882421e-07,-3.0566502475285233,0.22406656721796306
7.232633896483533e-07,-3.0179086852647856,0.20271267835132017
8.026433522257174e-07,-2.9480188492203183,0.18631863481565378
8.907354638610439e-07,-2.846681854413589,0.17536007543070142
9.884959046625586e-07,-2.7145633748845057,0.16945495075378653
1.096985797892384e-06,-2.553363209936947,0.16734995215222173
1.217382727739662e-06,-2.3658381506042474,0.16727592970561303
1.3509935211980278e-06,-2.1557705774059173,0.16743064718223008
1.499268432786047e-06,-1.9278781469499222,0.1663230170862011
1.6638168860761274e-06,-1.6876636749886984,0.16291616672134512
1.8464249428955464e-06,-1.441208676854444,0.15663966819856617
2.049074689815846e-06,-1.194918665965588,0.14734665165153
2.2739657523579273e-06,-0.9552328433771891,0.13525610630976032
2.523539170434766e-06,-0.728314796949121,0.12089538605617128
2.800503894183631e-06,-0.5197438252673692,0.10504820434889278
3.107866187782014e-06,-0.33422811217621984,0.08871220854780922
3.4489622604057595e-06,-0.1753609014945141,0.0730692085140615
3.827494478516315e-06,-0.04543889776459764,0.05945182756534023
4.247571552536894e-06,0.05464163794920296,0.04920335932529414
4.713753134116729e-06,0.12540101217882693,0.04317833968890487
5.2310993080562585e-06,0.1687009754589326,0.04094922141308935
5.805225516094895e-06,0.18758217991796755,0.04082170333919998
6.44236350872137e-06,0.18602535590446223,0.04096993563872966
7.149428986597577e-06,0.16865395424417784,0.04025341518801454
7.934096665797492e-06,0.14040122723304194,0.03826675180005603
8.804883581643465e-06,0.10616799300692037,0.035134901958500324
9.771241535346501e-06,0.07049825154626888,0.031329669883134646
1.0843659686896109e-05,0.03729823632238549,0.027526788739272744
1.2033778407775906e-05,0.009620494477189823,0.02443959149447892
1.3354515629298974e-05,-0.010471449447436498,0.022553790184754233
1.48202070579886e-05,-0.021949789645304918,0.021848315884442065
1.6446761779946626e-05,-0.024780645395367173,0.02182349825211329
1.8251834943190462e-05,-0.019802009223155892,0.021869538253154006
2.0255019392306664e-05,-0.00853679847557487,0.02157990432293982
2.2478058335487252e-05,0.007038169405007011,0.020833678555252783
2.4945081352303165e-05,0.024743205923527967,0.019747187604312422
2.7682866303920665e-05,0.04244195781845406,0.018581085219176355
3.072112998861759e-05,0.05825971900551963,0.01762146180636049
3.409285069746814e-05,0.0707547833111164,0.017048059817058252
3.783462617131933e-05,0.0790295334704183,0.016850180446080165
4.1987070844439056e-05,0.08277480238530188,0.016858647511478243
