tau,gamma,sigma_gamma
1e-07,0.038755977209325554,0.13704502911587294
1.1097524964120721e-07,0.04217486002381765,0.13022670724027208
1.2315506032928263e-07,0.0435387309012536,0.12155267851546185
1.3667163564620074e-07,0.0428508618744714,0.11142241957015943
1.5167168884709241e-07,0.040223159176090206,0.10042070932046415
1.6831803533309585e-07,0.035874500726025715,0.08928742986839965
1.867913599020781e-07,0.030121449545037038,0.07887223315321602
2.0729217795953698e-07,0.023361427513616917,0.07004306205316255
2.300430119772917e-07,0.016049088842392756,0.06350293996696477
2.5529080682395163e-07,0.008667286033575472,0.05952286137842194
2.833096101839324e-07,0.0016946075263701843,0.05776293584393129
3.1440354715915e-07,-0.00442807994936345,0.05740369245500842
3.489101213406774e-07,-0.009329388350879597,0.05751509794814744
3.872038781812557e-07,-0.012734740305126557,0.05736721676446121
4.2970047043208437e-07,-0.014486780617515294,0.05654901076502016
4.768611697714474e-07,-0.014556854966233601,0.05495578848056147
5.291978735958437e-07,-0.01304625045843455,0.05272646344890639
5.872786613189477e-07,-0.010176766890023003,0.05016599391088374
6.517339604882421e-07,-0.006271150204739229,0.04765704392552292
7.232633896483533e-07,-0.0017248775017222329,0.04555797049457243
8.026433522257174e-07,0.0030283623705944507,0.044098992705909765
8.907354638610439e-07,0.0075544897660240196,0.0433144225055425
9.884959046625586e-07,0.011456767185213934,0.043051732379988605
1.096985797892384e-06,0.014409990648202253,0.04305435593158333
1.217382727739662e-06,0.016187962514127463,0.043066629033471644
1.3509935211980278e-06,0.016681667974935976,0.04290997862487271
1.499268432786047e-06,0.015906446109458017,0.042513648578757265
1.6638168860761274e-06,0.013997500939602503,0.04190805566915511
1.8464249428955464e-06,0.011194232862330011,0.04119427298704764
2.049074689815846e-06,0.007814969815683526,0.04050103882562517
2.2739657523579273e-06,0.004224626031678724,0.039940105360023084
2.523539170434766e-06,0.0007985140741020302,0.03957213427762531
2.800503894183631e-06,-0.002114091591504774,0.039393927108012504
3.107866187782014e-06,-0.004223034767854017,0.03934991922420529
3.4489622604057595e-06,-0.005323758526202482,0.03936004796502258
3.827494478516315e-06,-0.005314637541973255,0.03935026296960718
4.247571552536894e-06,-0.004203565476272431,0.039274282929198365
4.713753134116729e-06,-0.002103314882777596,0.039121757851827026
5.2310993080562585e-06,0.0007836546364838881,0.03891372946778726
5.805225516094895e-06,0.004189182190426521,0.038689482504973415
6.44236350872137e-06,0.007809533885010822,0.038490181456134455
7.149428986597577e-06,0.01133840973525757,0.03834474512637137
7.934096665797492e-06,0.014499296810747353,0.038262164422517404
8.804883581643465e-06,0.017073738795881255,0.03823188198594053
9.771241535346501e-06,0.018922554244554135,0.03823075164838926
1.0843659686896109e-05,0.019997808621575075,0.03823292085188142
1.2033778407775906e-05,0.020344347794434725,0.03821865079351807
1.3354515629298974e-05,0.020090828252484982,0.03817935360250234
1.48202070579886e-05,0.019431314253342435,0.03811801196097839
1.6446761779946626e-05,0.0185995356581401,0.03804579311659344
1.8251834943190462e-05,0.01783870495464157,0.0379766717334464
2.0255019392306664e-05,0.017370292644695695,0.03792215341748126
2.2478058335487252e-05,0.017365302605448107,0.03788780311534785
2.4945081352303165e-05,0.01792135573534992,0.03787241064526329
2.7682866303920665e-05,0.019048302348011248,0.037869592662650595
3.072112998861759e-05,0.020664199248685122,0.03787082888406633
3.409285069746814e-05,0.022602395017184307,0.037868628074753684
3.783462617131933e-05,0.024629277522727477,0.037858738079376245
4.1987070844439056e-05,0.026471072673846407,0.03784085771085652
4.659525668664687e-05,0.027847062834624126,0.03781791230657216
5.170920242896755e-05,0.028505823423369492,0.03779441009469226
5.7384416483024044e-05,0.028260638628538004,0.037774594856229936
6.368249944718586e-05,0.027020200895236712,0.03776104315993179
7.067181273927492e-05,0.024811035291854466,0.037754088465573626
7.842822061337681e-05,0.021788791991973255,0.037752107328922736
8.703591361485166e-05,0.01823655522412082,0.03775240711285668
9.658832241158708e-05,0.014549533176918317,0.037752301601736926
0.00010718913192051276,0.011206808292094195,0.03774997849728538
0.00011895340673703195,0.008732119411064332,0.03774491070876723
0.0001320088400831418,0.007646796418278257,0.03773776371907898
0.00014649713983072864,0.008418866954972515,0.037729927153298606
0.0001625755666443795,0.01141291782818854,0.03772289793268178
0.00018041864093920718,0.016845464086632234,0.03771774750922828
0.00020022003718155845,0.024750332644455142,0.037714833658925244
0.0002221946860939524,0.03495791570266249,0.037713805773696395
0.0002465811075822604,0.04709113631358264,0.03771384535426568
0.0002736439997074672,0.06057966828089789,0.03771401724027069
0.00030367711180354605,0.07469246330015977,0.03771359353228093
0.00033700643292719284,0.08858707483943817,0.03771224884089031
0.0003739937302478798,0.10137275447163319,0.037710087023695306
0.0004150404757850477,0.11218295578763815,0.03770752260831883
0.00046059220411451084,0.1202518282089251,0.037705082750593095
0.0005111433483440171,0.12498861487685531,0.03770320890220756
0.0005672426068491978,0.1260436567855976,0.037702122220070085
0.0006294988990221888,0.12335998898681311,0.03770178434102359
0.0006985879746785249,0.11720529704545868,0.037701948773840296
0.0007752597488629464,0.10818024719799979,0.03770227093307659
