tau,gamma,sigma_gamma
1e-07,-6.836772978124992e-05,0.40239047917201404
1.1097524964120721e-07,-7.741405557523716e-05,0.40042054746362504
1.2315506032928263e-07,-8.033309934151562e-05,0.39568746083411416
1.3667163564620074e-07,-7.42202769680859e-05,0.3878828087894938
1.5167168884709241e-07,-5.6518168368334225e-05,0.37775303046973996
1.6831803533309585e-07,-2.5763612281908595e-05,0.3670621671402963
1.867913599020781e-07,1.756446317823391e-05,0.35802553521945335
2.0729217795953698e-07,7.028774371994635e-05,0.3523065355343186
2.300430119772917e-07,0.0001261159222303819,0.3501136291831459
2.5529080682395163e-07,0.0001758400013238022,0.3501034438433992
2.833096101839324e-07,0.00020832057145220816,0.35023522487284986
3.1440354715915e-07,0.00021230567591259183,0.34894421021531286
3.489101213406774e-07,0.00017889903775299447,0.34587122865435105
3.872038781812557e-07,0.00010427251100829718,0.3418262337419974
4.2970047043208437e-07,-7.964003289441263e-06,0.3381291452836901
4.768611697714474e-07,-0.00014539857226097486,0.33576613703804836
5.291978735958437e-07,-0.0002870541409546955,0.33488035142789513
5.872786613189477e-07,-0.00040559492050786395,0.3348709467823615
6.517339604882421e-07,-0.0004715078864115504,0.33491961347700516
7.232633896483533e-07,-0.0004588207067014677,0.3345070262546248
8.026433522257174e-07,-0.0003514739195788416,0.33360903571413636
8.907354638610439e-07,-0.00014911897545276734,0.3325528715836551
9.884959046625586e-07,0.00012904137136680004,0.33171475628409763
1.096985797892384e-06,0.0004436460128630958,0.3312779920339185
1.217382727739662e-06,0.0007386751056604772,0.3311765708297865
1.3509935211980278e-06,0.0009492555366768813,0.3312042375359372
1.499268432786047e-06,0.0010131087857742412,0.331173499527658
1.6638168860761274e-06,0.0008840659306617324,0.33101410346144794
1.8464249428955464e-06,0.000545292224288306,0.3307722960825974
2.049074689815846e-06,1.940080208748772e-05,0.33054310804748877
2.2739657523579273e-06,-0.0006273434419172301,0.33039643545325686
2.523539170434766e-06,-0.0012889221140100025,0.330342002247323
2.800503894183631e-06,-0.0018325619029488562,0.3303412828127687
3.107866187782014e-06,-0.0021201681767308717,0.330344191136325
3.4489622604057595e-06,-0.002035635818923978,0.330320855912432
3.827494478516315e-06,-0.0015136982008512462,0.3302713976992739
4.247571552536894e-06,-0.000564696761658854,0.3302151572415563
4.713753134116729e-06,0.0007107476048696729,0.33017237061853677
5.2310993080562585e-06,0.0021224283452678933,0.33015144984971234
5.805225516094895e-06,0.0034098750665084165,0.33014745748395824
6.44236350872137e-06,0.00428044651209715,0.33014898389437924
