tau,gamma,sigma_gamma
1e-07,-0.007546511496646424,0.15887100601998236
1.1097524964120721e-07,-0.009149817855017783,0.15884218216747145
1.2315506032928263e-07,-0.010162812790287301,0.15804613546580765
1.3667163564620074e-07,-0.010454731847481469,0.15601711949023328
1.5167168884709241e-07,-0.009919779437853826,0.15249838814435848
1.6831803533309585e-07,-0.00848829641535076,0.14743442565892637
1.867913599020781e-07,-0.00613715488462363,0.14095424312988417
2.0729217795953698e-07,-0.002898428195149627,0.13334991668661442
2.300430119772917e-07,0.0011346312606272946,0.12505036746354387
2.5529080682395163e-07,0.00580520464753409,0.11658690916909663
2.833096101839324e-07,0.010894846933793279,0.1085437482862385
3.1440354715915e-07,0.016130240094425652,0.10148522250807492
3.489101213406774e-07,0.021194911659734306,0.09585810464192177
3.872038781812557e-07,0.02574567660385263,0.09188834924120064
4.2970047043208437e-07,0.029433133061164796,0.08951849326517038
4.768611697714474e-07,0.0319251172107311,0.08843098893545624
5.291978735958437e-07,0.032931639731805795,0.08815491269111171
5.872786613189477e-07,0.032229526239948125,0.0882012158177437
6.517339604882421e-07,0.029684804583227198,0.08816861489643427
7.232633896483533e-07,0.02527085301206311,0.08779760783633134
8.026433522257174e-07,0.01908046401999064,0.0869802507296954
8.907354638610439e-07,0.011330293819702852,0.08574187247399043
9.884959046625586e-07,0.0023566455483554627,0.08420717639522463
1.096985797892384e-06,-0.0073978525819513585,0.08255803346001334
1.217382727739662e-06,-0.017406408093219916,0.08098806157393686
1.3509935211980278e-06,-0.027088056846700237,0.07965989223160262
1.499268432786047e-06,-0.03584376647258569,0.0786728321047347
1.6638168860761274e-06,-0.043096308876465095,0.07804838087645544
1.8464249428955464e-06,-0.04833109420649695,0.07773671394839454
2.049074689815846e-06,-0.05113489946142291,0.07764017602333279
2.2739657523579273e-06,-0.05122940839942425,0.0776443659613036
2.523539170434766e-06,-0.04849672146696404,0.07764671257732408
2.800503894183631e-06,-0.04299448824600116,0.07757585808395814
3.107866187782014e-06,-0.03495903027234526,0.0773996825309003
3.4489622604057595e-06,-0.024795707305708348,0.07712314586022277
3.827494478516315e-06,-0.013056765880419263,0.07677881448008068
4.247571552536894e-06,-0.00040791400606199346,0.07641350033140824
4.713753134116729e-06,0.012414195760979574,0.07607441633048548
5.2310993080562585e-06,0.024650603912675706,0.07579782937667628
5.805225516094895e-06,0.03557126429009827,0.07560232399194039
