tau,gamma,sigma_gamma
1e-07,-0.06057391624689501,0.1487055314641488
1.1097524964120721e-07,-0.06678277253631748,0.14520775602315084
1.2315506032928263e-07,-0.0701144120435373,0.13981811555202758
1.3667163564620074e-07,-0.07041047294502079,0.13260201070827404
1.5167168884709241e-07,-0.06766361689085088,0.12383603015697295
1.6831803533309585e-07,-0.06202934142461558,0.1139821802255971
1.867913599020781e-07,-0.05382756069521122,0.10365863282352143
2.0729217795953698e-07,-0.04353271697270955,0.09359923610108468
2.300430119772917e-07,-0.03175201545953499,0.08458423643420236
2.5529080682395163e-07,-0.01919234689931848,0.0773163827599688
2.833096101839324e-07,-0.0066174986350375775,0.07223579790339597
3.1440354715915e-07,0.005201739948116568,0.06934412371991369
3.489101213406774e-07,0.015541100994475698,0.06818143256349474
3.872038781812557e-07,0.02377588007413145,0.06801407685006261
4.2970047043208437e-07,0.0294290767631189,0.06810391538139168
4.768611697714474e-07,0.032210294129914274,0.06789733382996652
5.291978735958437e-07,0.032041555025120516,0.06709286253275101
5.872786613189477e-07,0.02906709604486224,0.0656290807865313
6.517339604882421e-07,0.023645451693614206,0.063636499687969
7.232633896483533e-07,0.016323643166881396,0.06137396561493305
8.026433522257174e-07,0.0077949054556682995,0.0591550058562573
8.907354638610439e-07,-0.0011570320959037872,0.05726771026249484
9.884959046625586e-07,-0.00972271510567424,0.055900594107682534
1.096985797892384e-06,-0.01713535632873686,0.05509764694712114
1.217382727739662e-06,-0.022736867728781363,0.054762740848446366
1.3509935211980278e-06,-0.026035547663404657,0.054710610570035824
1.499268432786047e-06,-0.026750015948707073,0.05473730574107003
1.6638168860761274e-06,-0.024835111738251925,0.054679577468756
1.8464249428955464e-06,-0.020487042459667038,0.05444743365074978
2.049074689815846e-06,-0.01412695222159499,0.05402953214847982
2.2739657523579273e-06,-0.006364084136517789,0.05347827585913458
2.523539170434766e-06,0.002058356147205842,0.05288270825433227
2.800503894183631e-06,0.01032986460730001,0.05233705696805782
3.107866187782014e-06,0.01764583614477111,0.05191276399374617
3.4489622604057595e-06,0.023280645093839425,0.05164110250210861
3.827494478516315e-06,0.026653941591684216,0.05151043667305489
4.247571552536894e-06,0.02738412087857256,0.05147703388727998
4.713753134116729e-06,0.025324126189847362,0.05148361769907858
5.2310993080562585e-06,0.020576406159136695,0.05147817968551035
5.805225516094895e-06,0.013485795686964508,0.05142725067273121
6.44236350872137e-06,0.004611128325951341,0.05132108902219048
7.149428986597577e-06,-0.005321684668253113,0.0511712078928592
7.934096665797492e-06,-0.015480745858738487,0.05100254614586117
8.804883581643465e-06,-0.024997894896301887,0.050843426874748104
9.771241535346501e-06,-0.033040901364458364,0.050716450307150794
1.0843659686896109e-05,-0.038881935225088426,0.0506327410219254
1.2033778407775906e-05,-0.041956664707742064,0.05059065868565906
1.3354515629298974e-05,-0.041909364990134534,0.050578561356240316
1.48202070579886e-05,-0.038620819410789764,0.050580018611786716
1.6446761779946626e-05,-0.032217400656502804,0.05057941341795154
1.8251834943190462e-05,-0.02306136298606276,0.050566182289033236
2.0255019392306664e-05,-0.01172389641218885,0.05053673409477748
2.2478058335487252e-05,0.0010562463956862445,0.050493974382581394
2.4945081352303165e-05,0.014424836929105567,0.050445058285478815
2.7682866303920665e-05,0.027470761499413854,0.050398366073543796
3.072112998861759e-05,0.039286815751433224,0.050360722710853546
3.409285069746814e-05,0.049028673437049974,0.05033562288964547
3.783462617131933e-05,0.05596854930775619,0.050322790101128355
4.1987070844439056e-05,0.05954080115964855,0.050318942050501865
4.659525668664687e-05,0.05937750759614868,0.05031929809150394
5.170920242896755e-05,0.05533281632228171,0.05031923323664206
5.7384416483024044e-05,0.04749550632759947,0.05031555983229956
6.368249944718586e-05,0.03618970229536833,0.050307134680162985
7.067181273927492e-05,0.021964013772154622,0.05029474946150199
7.842822061337681e-05,0.0055695726494553455,0.05028047993595198
8.703591361485166e-05,-0.012072434472510274,0.05026679140821823
9.658832241158708e-05,-0.029913026394911668,0.05025571013138286
0.00010718913192051276,-0.04682658554396202,0.05024829060055669
0.00011895340673703195,-0.06166971337411775,0.05024447704902405
0.0001320088400831418,-0.07334611798091561,0.05024332209852024
0.00014649713983072864,-0.0808752509265549,0.050243427088326
0.0001625755666443795,-0.08346168203497406,0.05024342979419313
0.00018041864093920718,-0.08056144451579073,0.05024238596833879
0.00020022003718155845,-0.07194091042450523,0.05023995316504686
0.0002221946860939524,-0.057723296920933365,0.05023636171379077
0.0002465811075822604,-0.03841778483615954,0.05023222337888344
0.0002736439997074672,-0.014926561044507736,0.0502282657195188
0.00030367711180354605,0.01147405545540181,0.050225085092669715
0.00033700643292719284,0.03918085923642067,0.05022298756643435
0.0003739937302478798,0.066339956227905,0.05022194790985031
0.0004150404757850477,0.09095023754766984,0.050221676271310724
0.00046059220411451084,0.11098998477551802,0.05022175221816239
0.0005111433483440171,0.12455999630056702,0.05022177350577196
0.0005672426068491978,0.13003440320351523,0.05022147228321438
0.0006294988990221888,0.12620861112398174,0.05022076959716975
0.0006985879746785249,0.11243278310111648,0.05021976257754835
0.0007752597488629464,0.08871914052076413,0.050218659445441044
0.000860346441668451,0.05581220822547195,0.05021769066453717
0.0009547716114208065,0.015212983378365408,0.050217027128806616
0.001059560179277617,-0.03084920922829859,0.050216729833345485
0.0011758495540521582,-0.07949986658793406,0.05021674263167378
0.0013049019780144017,-0.12735609109984836,0.05021692551345461
0.001448118227674533,-0.17071137043069928,0.05021711354680276
0.0016070528182616384,-0.20575858921088042,0.05021718036495365
0.0017834308769319094,-0.22883787684810564,0.05021708489218816
0.0019791668678535573,-0.2366930900076074,0.05021688630413841
0.002196385372416547,-0.22671902483820716,0.05021672243698231
0.002437444150122222,-0.19718105004679387,0.05021675857517364
0.002704959730463137,-0.14738984538960054,0.05021712307304885
0.0030018358135755923,-0.0778163082654757,0.050217851715070656
0.003331294787934677,0.009864672215663006,0.050218861162215626
0.0036969127071950323,0.1128082115275788,0.05021996442408385
0.00410265810582719,0.2271124684297412,0.05022092838726685
0.004552935074866948,0.34800631954119154,0.050221559056361074
0.00505263106533568,0.4701016998478629,0.05022178838845367
0.005607169938205458,0.587695623544441,0.05022173145148893
0.006222570836730231,0.6951028346330759,0.050221687318955884
0.006905513520162331,0.7869972629230446,0.050222071923439304
0.007663410868007463,0.8587392279108954,0.05022329293613691
0.008504489341802686,0.9066657765008372,0.05022559977183189
0.009437878277775391,0.9283236693839108,0.05022895822037881
0.010473708979594508,0.92262822237808,0.05023300144960205
0.011623224686798541,0.8899362150871539,0.05023709331882431
0.01289890261253308,0.8320270430040679,0.05024050741416093
0.014314589375234785,0.7519927707830583,0.05024268376690808
0.015885651294280528,0.6540442543220202,0.050243487987041514
0.01762914118095948,0.5432465368385806,0.0502433783724324
0.01956398343517065,0.4252018179375021,0.050243397502273676
0.021711179456945052,0.3057020419110401,0.05024494815288099
0.02409403560239527,0.19037525227615504,0.050249382847046255
0.026738416158399492,0.08435014335475088,0.05025751200977895
0.029673024081888724,-0.008038318534957511,0.050269191966126364
0.032929712550971546,-0.0834826079039992,0.050283164768159735
0.036543830709572546,-0.13986082064489125,0.050297271006635995
0.040554607358408275,-0.1763102574043245,0.050309049361346524
0.04500557675700498,-0.19321374859353924,0.05031659823397168
0.0499450511585514,-0.19210255053133096,0.05031944945822349
0.05542664520663107,-0.17548570220145976,0.05031913871693441
0.06150985788580504,-0.14662088590223732,0.05031918954876328
0.06826071834272393,-0.10924568961338821,0.050324369809415494
0.0757525025877192,-0.0672904464309898,0.050339310109424155
0.08406652885618333,-0.02459438621408161,0.05036683304669526
0.09329304026284696,0.015354317474631785,0.05040653969162209
0.10353218432956637,0.04963673768386556,0.050454241171602895
0.11489510001873086,0.07606575923468739,0.05050265107341275
0.1275051240713013,0.09328407836543207,0.05054338673280942
0.1414991297434576,0.10079410019662127,0.05056986372307343
0.15702901247293774,0.09892162444404029,0.050580256566171794
0.17426333860096507,0.08872021917388118,0.05057948502290546
0.19338917504552322,0.07182738754853979,0.05057927432895064
0.21461411978584058,0.050286731958831155,0.050595773414644725
0.23816855519761607,0.026352119049166234,0.05064496140135334
0.2643081486974108,0.002290271280459777,0.05073696733489703
0.29331662783900486,-0.019802702445691267,0.05087115938105307
0.32550885998350565,-0.03815742290515267,0.05103404187217766
0.36123426997094304,-0.05144963308717365,0.05120138875413084
0.40088063288984643,-0.058874182338851,0.05134474997158448
0.4448782831127585,-0.060171905580013174,0.051440946923771304
0.4937047852839004,-0.05561064863823617,0.05148195067525886
0.5478901179593945,-0.045925278562837235,0.05148193918365571
0.6080224261649427,-0.03222447605856971,0.05147847751687352
