tau,gamma,sigma_gamma
1e-07,-0.012542063846927576,0.11608829054978466
1.1097524964120721e-07,-0.012551541454730142,0.10584494157803095
1.2315506032928263e-07,-0.011979254802779948,0.09446702795139485
1.3667163564620074e-07,-0.01088630481839914,0.08268345902773175
1.5167168884709241e-07,-0.009363194024953003,0.07136584699208848
1.6831803533309585e-07,-0.007524578751556987,0.06146998355704127
1.867913599020781e-07,-0.005501950934402089,0.053885254202906054
2.0729217795953698e-07,-0.003434727453701214,0.04912275536782726
2.300430119772917e-07,-0.0014604062309828691,0.04697108947072217
2.5529080682395163e-07,0.0002954209046741596,0.04652302053711147
2.833096101839324e-07,0.0017283466370940914,0.04665498108274305
3.1440354715915e-07,0.0027628849534480082,0.04648854342442498
3.489101213406774e-07,0.003357937198909866,0.045552018267364186
3.872038781812557e-07,0.0035094412311948986,0.0437459355489881
4.2970047043208437e-07,0.003249904418662908,0.04125345741931312
4.768611697714474e-07,0.0026448086235717483,0.03844586738816743
5.291978735958437e-07,0.0017861737861295524,0.03577949135751938
5.872786613189477e-07,0.0007838442422851699,0.033668120268857155
6.517339604882421e-07,-0.0002447123342399493,0.03234205871458812
7.232633896483533e-07,-0.0011851551594297405,0.031762524139952925
8.026433522257174e-07,-0.001936577846532117,0.03166603189131213
8.907354638610439e-07,-0.002420428590266255,0.031711431054622874
9.884959046625586e-07,-0.002587241199378809,0.03162201544646621
1.096985797892384e-06,-0.002420596731461444,0.031257118903621796
1.217382727739662e-06,-0.0019380101439949726,0.030618000076873812
1.3509935211980278e-06,-0.0011887327481368004,0.029814128492121814
1.499268432786047e-06,-0.0002487465224376706,0.029008191883418005
1.6638168860761274e-06,0.0007865294192015426,0.028352556846761905
1.8464249428955464e-06,0.0018111199015109491,0.02793420803433639
2.049074689815846e-06,0.002718159962192601,0.02774951625349015
2.2739657523579273e-06,0.0034095229450912257,0.027719747533609486
2.523539170434766e-06,0.0038046398058568798,0.027735197400679062
2.800503894183631e-06,0.0038478502358003652,0.02770195197471555
3.107866187782014e-06,0.003513775583627421,0.027571392410546174
3.4489622604057595e-06,0.0028103697751404866,0.027346846952174705
3.827494478516315e-06,0.00177946893786185,0.02707143461180675
4.247571552536894e-06,0.0004948104142172838,0.026804844249651797
4.713753134116729e-06,-0.0009423781794595243,0.026598077348653822
5.2310993080562585e-06,-0.0024100074047339604,0.026475188010326015
5.805225516094895e-06,-0.003773658638031918,0.02642826852982329
6.44236350872137e-06,-0.004896607922283636,0.026425942149499327
7.149428986597577e-06,-0.00565082160732544,0.026429533176561503
7.934096665797492e-06,-0.005928288387352154,0.026408801107174026
8.804883581643465e-06,-0.005651932527172221,0.026351252226768748
9.771241535346501e-06,-0.0047852445918863395,0.026263046113255466
1.0843659686896109e-05,-0.003339692667331917,0.026162945666527965
1.2033778407775906e-05,-0.0013789680724443087,0.026072767259475587
1.3354515629298974e-05,0.000980795691063463,0.02600837623944136
1.48202070579886e-05,0.0035754903688882678,0.02597451841927511
1.6446761779946626e-05,0.006202517477511549,0.02596487011178633
1.8251834943190462e-05,0.008635172390828671,0.025966388888131856
2.0255019392306664e-05,0.010641272334915186,0.025965451706849302
2.2478058335487252e-05,0.012004795637260202,0.025953038571757823
2.4945081352303165e-05,0.012548752575934685,0.025927171284780136
2.7682866303920665e-05,0.012157070539995374,0.02589223867228725
3.072112998861759e-05,0.010793027496902141,0.02585605660356647
3.409285069746814e-05,0.008511775636819152,0.02582617898293804
3.783462617131933e-05,0.005464805244457693,0.025806986424081843
4.1987070844439056e-05,0.0018948168039187863,0.025798528370862293
4.659525668664687e-05,-0.001879634293878496,0.02579725278033556
5.170920242896755e-05,-0.005489255062670395,0.025797994656545472
5.7384416483024044e-05,-0.008547234980852636,0.02579621398095608
6.368249944718586e-05,-0.010687762139749424,0.025789574046757857
7.067181273927492e-05,-0.01160607943614167,0.025778382600847808
7.842822061337681e-05,-0.011095717957889661,0.025764944203046355
8.703591361485166e-05,-0.009078397874974442,0.025752273561520492
