tau,gamma,sigma_gamma
1e-07,-0.021736602893987822,0.10143672619416824
1.1097524964120721e-07,-0.02602159553797634,0.09298954613268479
1.2315506032928263e-07,-0.029228229113115844,0.08410032175154
1.3667163564620074e-07,-0.031291159802563584,0.07502894466349899
1.5167168884709241e-07,-0.03218002426429223,0.06604488401026892
1.6831803533309585e-07,-0.03190126748007316,0.05742391643619921
1.867913599020781e-07,-0.030498771644730027,0.04944620833842584
2.0729217795953698e-07,-0.028053199624366698,0.042392254812863774
2.300430119772917e-07,-0.02468001065297898,0.03652762137173037
2.5529080682395163e-07,-0.020526154508118566,0.032060544822847814
2.833096101839324e-07,-0.015765502643432683,0.0290635690504773
3.1440354715915e-07,-0.010593127572420258,0.027396320635469353
3.489101213406774e-07,-0.005218594237170748,0.02671404920502292
3.872038781812557e-07,0.0001415241923581334,0.026585438589336385
4.2970047043208437e-07,0.005271650254478288,0.026626795452073054
4.768611697714474e-07,0.009965434610407442,0.026569078456878448
5.291978735958437e-07,0.01403390016204753,0.02626131928464986
5.872786613189477e-07,0.017313167361784565,0.02564752168050505
6.517339604882421e-07,0.019671429520471406,0.024740770592088093
7.232633896483533e-07,0.021014860511257893,0.023601933430405342
8.026433522257174e-07,0.021292164999806573,0.02232296536015418
8.907354638610439e-07,0.020497523568302256,0.0210126058557635
9.884959046625586e-07,0.01867174028731,0.019782022428893212
1.096985797892384e-06,0.015901467294924032,0.018728722985692222
1.217382727739662e-06,0.01231645727513353,0.017919546403257464
1.3509935211980278e-06,0.008084877663897316,0.01737722731161329
1.499268432786047e-06,0.0034068066042038936,0.017077309662541527
1.6638168860761274e-06,-0.0014938835626949754,0.016958507763943535
1.8464249428955464e-06,-0.0063789680457588815,0.01694215355371171
2.049074689815846e-06,-0.011006276258783032,0.016951904283391127
2.2739657523579273e-06,-0.015140642095261114,0.01692740053326014
2.523539170434766e-06,-0.018564931240803162,0.016830584699432438
2.800503894183631e-06,-0.02109065240013308,0.01664642115478235
3.107866187782014e-06,-0.022567653762251894,0.016380179802994756
3.4489622604057595e-06,-0.022892423042087273,0.016052922165727238
3.827494478516315e-06,-0.02201454950494508,0.015695835274385263
4.247571552536894e-06,-0.019940968980620255,0.015343972584627611
4.713753134116729e-06,-0.01673769640549949,0.01502981060951254
5.2310993080562585e-06,-0.012528852136881596,0.014777485201771738
5.805225516094895e-06,-0.007492904500168152,0.014598787281948664
6.44236350872137e-06,-0.0018561770236402708,0.0144919583738434
7.149428986597577e-06,0.004116200697104944,0.014443548679755043
7.934096665797492e-06,0.010131590895895215,0.014432599942958573
8.804883581643465e-06,0.015882964336199734,0.014435786961285542
9.771241535346501e-06,0.021063300554146736,0.014432088001352431
1.0843659686896109e-05,0.025380645977875815,0.014406130347016904
1.2033778407775906e-05,0.02857314365778052,0.014349850865161828
1.3354515629298974e-05,0.030423313851287048,0.014262723869524938
1.48202070579886e-05,0.030770864108092155,0.014150714767796998
1.6446761779946626e-05,0.02952334088061548,0.014024382935221843
1.8251834943190462e-05,0.02666400266987523,0.013896446677094946
2.0255019392306664e-05,0.02225639586259831,0.013779263641840126
2.2478058335487252e-05,0.016445245638124106,0.013682535081369787
2.4945081352303165e-05,0.009453430974105004,0.013611719587113671
2.7682866303920665e-05,0.0015749885934894792,0.013567426225665945
3.072112998861759e-05,-0.006835721629670388,0.013545783086171367
3.409285069746814e-05,-0.015378366243140817,0.01353971829346404
3.783462617131933e-05,-0.023623993704291024,0.013540669190732518
4.1987070844439056e-05,-0.03113471598962292,0.013540349497360772
4.659525668664687e-05,-0.037484889467037874,0.013532228449707513
5.170920242896755e-05,-0.04228285309130797,0.013512444457907578
5.7384416483024044e-05,-0.04519220593229534,0.01348014814677521
6.368249944718586e-05,-0.0459515746956356,0.01343724934385437
7.067181273927492e-05,-0.04439183894356802,0.01338773945992478
7.842822061337681e-05,-0.04044984874573743,0.013336693540105736
8.703591361485166e-05,-0.03417778575897046,0.013289201176284998
9.658832241158708e-05,-0.02574748110055225,0.013249398400942788
0.00010718913192051276,-0.015449206331027199,0.013219780673956889
0.00011895340673703195,-0.003684689723172596,0.013200871593114977
0.0001320088400831418,0.009045630924504167,0.013191355943244049
0.00014649713983072864,0.02216083646754896,0.013188515550628733
