tau,gamma,sigma_gamma
1e-07,0.05168838064273018,0.2642444358262335
1.1097524964120721e-07,0.03916859500871084,0.2433950221857301
1.2315506032928263e-07,0.025399281768891058,0.21998069461977462
1.3667163564620074e-07,0.011159390029405358,0.19518348775274802
1.5167168884709241e-07,-0.0027302899290404525,0.1704047389314072
1.6831803533309585e-07,-0.015454875077047348,0.14721393148835663
1.867913599020781e-07,-0.02625610165742387,0.12724700635233155
2.0729217795953698e-07,-0.034482688391165084,0.11195361775563917
2.300430119772917e-07,-0.039636755125926015,0.10210655069084218
2.5529080682395163e-07,-0.04141267439092644,0.09728746487743933
2.833096101839324e-07,-0.03972499186915002,0.0959308412499961
3.1440354715915e-07,-0.03472260256644688,0.09605663803255342
3.489101213406774e-07,-0.026787194409358506,0.0960249255755095
3.872038781812557e-07,-0.016515026323112636,0.09484527622795734
4.2970047043208437e-07,-0.004682325399599563,0.09215113638966473
4.768611697714474e-07,0.007804120951035998,0.0880638118397735
5.291978735958437e-07,0.019968339609420127,0.08304858252757874
5.872786613189477e-07,0.030834550096628277,0.07777610987655627
6.517339604882421e-07,0.03949970175074213,0.07297024905220563
7.232633896483533e-07,0.04520377788726648,0.06922850250082958
8.026433522257174e-07,0.04739233263376974,0.06684523482668912
8.907354638610439e-07,0.045766027141489474,0.06572556603992934
9.884959046625586e-07,0.04031267929228477,0.06546134070680101
1.096985797892384e-06,0.03131849897634709,0.06552503470128657
1.217382727739662e-06,0.01935667578442235,0.06545983645547206
1.3509935211980278e-06,0.005253210231614958,0.06498790013816733
1.499268432786047e-06,-0.009968299690555682,0.06403518443040852
1.6638168860761274e-06,-0.02515943613384053,0.0627017047983115
1.8464249428955464e-06,-0.03913225721198188,0.06120106902748209
2.049074689815846e-06,-0.050750843620136266,0.0597838999811145
2.2739657523579273e-06,-0.059022068829271745,0.05865922311558711
2.523539170434766e-06,-0.06317835030998253,0.05793378516071252
2.800503894183631e-06,-0.06274550821821379,0.057590176582721746
3.107866187782014e-06,-0.05758980280914727,0.05751082885727854
3.4489622604057595e-06,-0.047939685056533676,0.05753290145586042
3.827494478516315e-06,-0.03437967344436288,0.057507092018628345
4.247571552536894e-06,-0.01781592246317132,0.05733895360833294
4.713753134116729e-06,0.0005846932858446507,0.05700474668745336
5.2310993080562585e-06,0.019477973092335787,0.05654414464066646
5.805225516094895e-06,0.037442329894986415,0.05603675286791174
6.44236350872137e-06,0.0530878375381576,0.055571080930180976
7.149428986597577e-06,0.06516599498894493,0.05521526931487017
7.934096665797492e-06,0.07267150990742266,0.05499815576206298
8.804883581643465e-06,0.0749277837343243,0.054905760518270716
9.771241535346501e-06,0.07164883448854198,0.054892434495483186
1.0843659686896109e-05,0.06297205521570959,0.05490049841317126
1.2033778407775906e-05,0.04945835942294252,0.054880154632836374
1.3354515629298974e-05,0.032058752596356044,0.05480317114601276
1.48202070579886e-05,0.012049004148025233,0.054667397846348185
1.6446761779946626e-05,-0.009063325721967885,0.054492591938793876
1.8251834943190462e-05,-0.029652927899974202,0.054310338067173974
2.0255019392306664e-05,-0.04810340338065089,0.05415199125603744
2.2478058335487252e-05,-0.06293681839196097,0.054038594338582074
2.4945081352303165e-05,-0.07293588830009412,0.05397565514612159
2.7682866303920665e-05,-0.07724876584512685,0.05395376197771581
3.072112998861759e-05,-0.07546744945551609,0.05395392509896504
3.409285069746814e-05,-0.06767261297000005,0.05395509625497545
3.783462617131933e-05,-0.05444007869198231,0.05394104499655813
4.1987070844439056e-05,-0.03680704847386096,0.05390451535665293
4.659525668664687e-05,-0.016199366914520397,0.05384785412333537
5.170920242896755e-05,0.0056757182542241935,0.05378053841631462
5.7384416483024044e-05,0.026963859382135524,0.05371488954135645
6.368249944718586e-05,0.04581502331888032,0.05366160247715377
7.067181273927492e-05,0.06054023336753289,0.053626526427529804
7.842822061337681e-05,0.06976088632239907,0.05360952525635228
8.703591361485166e-05,0.07253790681011196,0.05360545298540133
9.658832241158708e-05,0.06846905409406645,0.053606577280967224
0.00010718913192051276,0.05774475700224002,0.05360542934033291
0.00011895340673703195,0.04115581370712107,0.053597090147617314
0.0001320088400831418,0.020049963731366915,0.053580278196047645
0.00014649713983072864,-0.003761538803530584,0.0535571024991884
0.0001625755666443795,-0.02814196208987596,0.05353177882027139
0.00018041864093920718,-0.05080230239582306,0.053508890112515
0.00020022003718155845,-0.06949672181593769,0.05349182018734296
0.0002221946860939524,-0.0822246697251785,0.05348183083728642
0.0002465811075822604,-0.08742268652039797,0.053477983082350466
0.0002736439997074672,-0.08412878782903022,0.053477782736725724
0.00030367711180354605,-0.0721036717789616,0.05347823232470655
0.00033700643292719284,-0.051895756001584914,0.05347687234751737
0.0003739937302478798,-0.024841086076122565,0.053472479870264523
0.0004150404757850477,0.007005804487164369,0.053465245928749634
0.00046059220411451084,0.041008332188994245,0.05345646452390718
0.0005111433483440171,0.07414399561417895,0.053447900446156105
0.0005672426068491978,0.10324705444278948,0.05344110287201238
0.0006294988990221888,0.1252798700378719,0.05343689798066595
0.0006985879746785249,0.13761154362671846,0.05343520800724685
0.0007752597488629464,0.13828063959616088,0.05343521279281386
0.000860346441668451,0.12621881160356452,0.05343575087688275
0.0009547716114208065,0.1014141564324973,0.053435791507165896
0.001059560179277617,0.06499703438291249,0.05343479899114044
0.0011758495540521582,0.01923667536524931,0.05343287159684564
0.0013049019780144017,-0.03255626190362193,0.053430624507394
0.001448118227674533,-0.0862184226046736,0.05342888242486521
0.0016070528182616384,-0.13700331616476547,0.05342831192896667
0.0017834308769319094,-0.17991406463895032,0.05342913323170485
0.0019791668678535573,-0.2100756948690048,0.05343102906995293
0.002196385372416547,-0.22311905609515037,0.0534332779602069
0.002437444150122222,-0.21554633193439088,0.05343506601239025
0.002704959730463137,-0.18504842170528946,0.05343585458997446
0.0030018358135755923,-0.13074724706930851,0.053435662720932385
0.003331294787934677,-0.05334113850977218,0.053435135920694724
0.0036969127071950323,0.04486149073323986,0.05343536232017463
0.00410265810582719,0.16002651025681303,0.053437476023722674
0.004552935074866948,0.2869936047729027,0.05344218465769717
0.00505263106533568,0.41957892254919216,0.053449399760602416
0.005607169938205458,0.5509604038708034,0.05345813679162638
0.006222570836730231,0.6741184752242759,0.053466759336539875
0.006905513520162331,0.7823000211541,0.05347353648612103
0.007663410868007463,0.8694713005141068,0.053477338453362014
0.008504489341802686,0.930725969406808,0.05347822608900553
0.009437878277775391,0.9626175891764319,0.05347768267162174
0.010473708979594508,0.9633916821719595,0.05347833498770248
0.011623224686798541,0.9331000874948359,0.053483170591843994
0.01289890261253308,0.8735894299084634,0.053494467933921125
0.014314589375234785,0.788365198841916,0.05351278638710728
0.015885651294280528,0.6823424427384452,0.053536438064517924
0.01762914118095948,0.5615026390501612,0.053561721805494185
0.01956398343517065,0.43248321156875136,0.05358399170290145
0.021711179456945052,0.3021308904593525,0.053599297028689326
0.02409403560239527,0.1770522937209762,0.053606087076029915
0.026738416158399492,0.06319461776797652,0.05360634001072445
0.029673024081888724,-0.0345137481641018,0.05360557290890457
0.032929712550971546,-0.11243821801383547,0.05361150447922364
0.036543830709572546,-0.1684112855725175,0.05363160403786694
0.040554607358408275,-0.2017950500239749,0.05367023802274469
0.04500557675700498,-0.21343271354902527,0.05372644346632168
0.0499450511585514,-0.20549726429305792,0.053793315990922734
0.05542664520663107,-0.18125310566637154,0.05385956078913198
0.06150985788580504,-0.14475242111677744,0.053913029960998726
0.06826071834272393,-0.10049214077423585,0.053945282777278836
0.0757525025877192,-0.053059248147917515,0.05395565182311705
0.08406652885618333,-0.006791768237803808,0.0539532177706239
0.09329304026284696,0.03451976080901886,0.05395552374213461
0.10353218432956637,0.06786991489406091,0.053983809564775394
0.11489510001873086,0.09120048621002752,0.054055826308370206
0.1275051240713013,0.10347910732656374,0.05417849996996486
0.1414991297434576,0.10469341109080688,0.05434330596147135
0.15702901247293774,0.09576642661477308,0.05452671449128915
0.17426333860096507,0.07840479023735725,0.054696455561440746
0.19338917504552322,0.054895986509052364,0.054822236045717045
0.21461411978584058,0.027873916909697982,0.05488774106889
0.23816855519761607,7.34555115400326e-05,0.05489989315975326
0.2643081486974108,-0.025905726332155155,0.0548915669224354
0.29331662783900486,-0.047807773430633915,0.05491531348895429
0.32550885998350565,-0.06388675432711466,0.055028179739652905
0.36123426997094304,-0.07301967643036278,0.05527126311681131
0.40088063288984643,-0.07476077331833153,0.05565103507059501
0.4448782831127585,-0.06933653297110709,0.05613058591930685
0.4937047852839004,-0.05758576459081155,0.056636139052590094
0.5478901179593945,-0.040853174783592294,0.05707844623456105
0.6080224261649427,-0.020848137844609482,0.05738308664917677
0.67475440531107,0.0005176053107334155,0.05752078812785787
0.748810385759003,0.021298794341134908,0.05752851582656306
0.8309941949353403,0.03967796928225198,0.05751290476024026
0.9221978823334341,0.054106763226656085,0.05762961989801494
1.0234114021054528,0.06341715681257654,0.05803777628695002
1.135733358343105,0.06689581603959027,0.058839874825686214
1.2603829296797273,0.06431810430839846,0.060030731912597154
1.3987131026472386,0.05594185139638341,0.0614815168416521
1.552225357427048,0.04246418254668072,0.06297001265415979
1.7225859653987874,0.024947411083374504,0.06424636125663749
1.9116440753857036,0.004721992602256364,0.06511261737619947
2.121451784910632,-0.016724282446205052,0.0654972767770726
2.35428641432242,-0.03786134903609195,0.06551130944611455
2.612675225563332,-0.057227142085082505,0.06546990494571622
2.8994228538828812,-0.07352520834450615,0.0658540705011291
3.2176417502507353,-0.08570347135446355,0.06718520068301284
3.5707859649004625,-0.09300999628592876,0.06982584076238997
3.9626886387014784,-0.09502376740854857,0.07379908676691142
4.397603609302721,-0.09166059606579324,0.07874347294031646
4.880251583654434,-0.08315615078183214,0.08402357660129339
5.415871378079476,-0.07002961090424265,0.08891262759246228
6.010276782070388,-0.0530325050390843,0.09276739652397759
6.669919663030129,-0.033087868059055836,0.0951761645554099
7.401959996915652,-0.011224946511163125,0.09609727881974509
8.214343584919439,0.011485647404583688,0.09600428935505602
9.115888299750837,0.03399210561667587,0.09601303538899357
10.11637979766207,0.055313603062643324,0.09786436029883175
11.226677735108158,0.0745822142064867,0.10352816549829008
12.458833642950081,0.09107336242453812,0.11439756167573203
13.826221737646593,0.10422459402099093,0.1306481114827137
15.343684089300131,0.11364332149810252,0.15133587563120046
17.02769172225898,0.1191048405737547,0.17494643478112454
18.896523396912116,0.12054236830829268,0.19984336156878738
20.970464013232306,0.11803107532551849,0.22448329744273576
23.27202478960412,0.1117681132089956,0.24750235911194493
25.826187606826746,0.1020505033506538,0.2677642433775251
28.66067616948256,0.08925249935998636,0.2844071208343533
31.80625692794119,0.0738037083037284,0.2968995938179476
35.297073027306574,0.05616890113634554,0.30510761752642196
39.17101490809261,0.03683009814753291,0.3093717960388405
43.47013158125035,0.01627121058865555,0.31058990162519257
48.241087041653735,-0.005034725833183984,0.31028551066312976
53.535666774107185,-0.0266358671757132,0.3106131061549438
59.411339849650396,-0.04810967783376441,0.31420846663231294
65.93188271333541,-0.06906914626409844,0.32379019049956764
73.16807143427206,-0.08916739811482444,0.3415453453213471
81.19844993184009,-0.10810097046748979,0.3685698300027253
90.11018251665037,-0.12561195741750453,0.4047017410119619
100.0,-0.14148917833600194,0.4487999197089579
