tau,gamma,sigma_gamma
1e-07,-0.014868662613736205,0.09644221779492085
1.1097524964120721e-07,-0.020148172359007788,0.08782061382040572
1.2315506032928263e-07,-0.02441594516967882,0.07886447403487293
1.3667163564620074e-07,-0.027568339655616114,0.0698352303887603
1.5167168884709241e-07,-0.029537885838927025,0.061001190387418296
1.6831803533309585e-07,-0.030296221526768363,0.05263521285306533
1.867913599020781e-07,-0.02985575959785791,0.0450132811128268
2.0729217795953698e-07,-0.028269961620694062,0.0384091688704462
2.300430119772917e-07,-0.025632140104889345,0.03307331467434073
2.5529080682395163e-07,-0.022072764415817403,0.02917783846008551
2.833096101839324e-07,-0.017755303318196525,0.02672760133697719
3.1440354715915e-07,-0.01287069682937414,0.025498698056525305
3.489101213406774e-07,-0.0076306104947931885,0.02509114643621702
3.872038781812557e-07,-0.0022596826514700297,0.02507307040481901
4.2970047043208437e-07,0.0030129721853242586,0.025099365665839573
4.768611697714474e-07,0.007962696025508365,0.02495041871962677
5.291978735958437e-07,0.012378313989565015,0.02451896497248751
5.872786613189477e-07,0.01607089069234746,0.02378241204491151
6.517339604882421e-07,0.018881844641953194,0.02277757019895658
7.232633896483533e-07,0.020690056956979674,0.021581105059554406
8.026433522257174e-07,0.021417634728948087,0.020294108476949256
8.907354638610439e-07,0.02103402996770143,0.019028136875125994
9.884959046625586e-07,0.019558270818315293,0.01789017357524131
1.096985797892384e-06,0.01705913161027439,0.01696556177952315
1.217382727739662e-06,0.01365314974566445,0.01630129332159739
1.3509935211980278e-06,0.009500487576119099,0.015896184337408328
1.499268432786047e-06,0.004798732681067008,0.015704440143366576
1.6638168860761274e-06,-0.00022517371154862076,0.015652218571385296
1.8464249428955464e-06,-0.005324597362772465,0.015659199408304403
2.049074689815846e-06,-0.010244092624397183,0.015656165006692254
2.2739657523579273e-06,-0.014731063814508616,0.015594738623651912
2.523539170434766e-06,-0.018547708266154928,0.015450210062969294
2.800503894183631e-06,-0.021482706057319945,0.015219890048184371
3.107866187782014e-06,-0.023362107156138734,0.014919073948684802
3.4489622604057595e-06,-0.024058877275074053,0.0145756759531236
3.827494478516315e-06,-0.023500599913141684,0.014224094712398879
4.247571552536894e-06,-0.021674893681272067,0.013898640980068157
4.713753134116729e-06,-0.018632189580515046,0.013627269038618387
