tau,gamma,sigma_gamma
1e-07,-0.0032146249515676573,0.03964700199411819
1.1097524964120721e-07,-0.004940510070440496,0.0357002550050988
1.2315506032928263e-07,-0.006409803258648594,0.031681942482680074
1.3667163564620074e-07,-0.007586068475120555,0.027708487249208897
1.5167168884709241e-07,-0.00844203245110009,0.023897750786271706
1.6831803533309585e-07,-0.008960648502124968,0.020368661161506107
1.867913599020781e-07,-0.009135845131496012,0.017240693885773893
2.0729217795953698e-07,-0.008972916548174226,0.014629636582489539
2.300430119772917e-07,-0.00848852353740881,0.012631833548965807
2.5529080682395163e-07,-0.007710286253939103,0.011289085671669816
2.833096101839324e-07,-0.006675965604742373,0.010546803525443583
3.1440354715915e-07,-0.005432245741147312,0.010250058446399514
3.489101213406774e-07,-0.0040331468176191265,0.010199251732585625
3.872038781812557e-07,-0.0025381135066027127,0.010218300885417078
4.2970047043208437e-07,-0.0010098402780158722,0.010187429821775281
4.768611697714474e-07,0.00048809164728425003,0.01004272595492732
5.291978735958437e-07,0.0018936791687877985,0.009763396704303989
5.872786613189477e-07,0.0031489688861938703,0.00935881562949498
6.517339604882421e-07,0.0042024351818952255,0.008858551853674209
7.232633896483533e-07,0.005011163561960075,0.008304912679586137
8.026433522257174e-07,0.00554274126692178,0.007746690255593738
8.907354638610439e-07,0.005776764523076849,0.007232780486961172
9.884959046625586e-07,0.00570588458384691,0.0068047610573293
1.096985797892384e-06,0.005336329844794818,0.006488802803053394
1.217382727739662e-06,0.004687861899583368,0.006289716924451828
1.3509935211980278e-06,0.0037931457017492676,0.006190727923378117
1.499268432786047e-06,0.002696538938707249,0.006160136010243273
1.6638168860761274e-06,0.0014523316164911648,0.006161484633508322
1.8464249428955464e-06,0.00012249274635678375,0.006162441900807244
2.049074689815846e-06,-0.0012259942886032604,0.006139906253837413
2.2739657523579273e-06,-0.002524103866051064,0.006081581022391413
2.523539170434766e-06,-0.0037039252536601452,0.005985304629541539
2.800503894183631e-06,-0.0047018681796373585,0.005857232028555844
3.107866187782014e-06,-0.005461771934164972,0.005709426413877067
3.4489622604057595e-06,-0.005937770792456831,0.005557098931953002
3.827494478516315e-06,-0.006096773204689043,0.005415628556087482
4.247571552536894e-06,-0.00592042358391609,0.005297680239274517
4.713753134116729e-06,-0.005406433690296808,0.005210830731238621
5.2310993080562585e-06,-0.004569194988846448,0.005156420424517891
5.805225516094895e-06,-0.0034396131819676157,0.005129866937529804
6.44236350872137e-06,-0.002064140113986923,0.005122419741122329
7.149428986597577e-06,-0.0005030153286895711,0.005123566696163025
7.934096665797492e-06,0.0011722323185523464,0.00512341675404439
8.804883581643465e-06,0.0028819347575961274,0.005114438963062999
9.771241535346501e-06,0.004541962896084328,0.005092402061763853
1.0843659686896109e-05,0.006067778015335534,0.0050565755928852355
1.2033778407775906e-05,0.00737867610691012,0.005009306465462167
1.3354515629298974e-05,0.008402026932799345,0.004955186593755494
1.48202070579886e-05,0.009077300320498694,0.004899938049301463
1.6446761779946626e-05,0.00935967252844705,0.004849220704176997
1.8251834943190462e-05,0.009223015936441925,0.004807525675267429
2.0255019392306664e-05,0.00866209575343646,0.004777392384157546
2.2478058335487252e-05,0.007693827675780085,0.0047590740419330415
2.4945081352303165e-05,0.0063574891260316235,0.004750733078298689
2.7682866303920665e-05,0.004713822831803327,0.0047490404749626035
3.072112998861759e-05,0.0028430228645675015,0.004750029563013258
3.409285069746814e-05,0.0008416478368076241,0.004749931627105508
3.783462617131933e-05,-0.0011814388489668204,0.004745860292048059
4.1987070844439056e-05,-0.003109948616909719,0.0047362247953614805
4.659525668664687e-05,-0.0048256656267540166,0.004720857539128266
5.170920242896755e-05,-0.006214320241085147,0.0047008611147405744
5.7384416483024044e-05,-0.007171563825160376,0.004678237390016209
6.368249944718586e-05,-0.007608751052131879,0.004655437954487308
7.067181273927492e-05,-0.007458228960388169,0.004634825190089002
7.842822061337681e-05,-0.006677840843373417,0.004618219661819745
8.703591361485166e-05,-0.00525437432270337,0.004606602832848079
9.658832241158708e-05,-0.0032057207598654713,0.00459999558454655
0.00010718913192051276,-0.0005815627359027076,0.004597561509566895
0.00011895340673703195,0.0025375319331004675,0.004597819698614071
0.0001320088400831418,0.006042660468565941,0.004599041838864015
0.00014649713983072864,0.009800753582709376,0.00459958331468803
0.0001625755666443795,0.013660256268039461,0.004598176657883311
0.00018041864093920718,0.017458136174838046,0.004594143410444625
0.00020022003718155845,0.021027960601173845,0.004587440042840722
0.0002221946860939524,0.024208717298591864,0.004578603451295754
0.0002465811075822604,0.026854000423611524,0.004568603733461947
0.0002736439997074672,0.02884114416747252,0.004558596813046677
0.00030367711180354605,0.030079865399756045,0.004549720689835692
0.00033700643292719284,0.03051997490786107,0.004542865512256283
0.0003739937302478798,0.03015773550339418,0.004538507544032347
0.0004150404757850477,0.029040484390463916,0.004536683686065334
0.00046059220411451084,0.027269195973190108,0.00453697711019234
0.0005111433483440171,0.02499873774200978,0.004538667517296612
0.0005672426068491978,0.022435663365854452,0.0045408674301261175
0.0006294988990221888,0.019833489990844555,0.0045426827931671614
0.0006985879746785249,0.017485516835108683,0.004543418844794083
0.0007752597488629464,0.01571535465973284,0.004542630692137302
0.000860346441668451,0.014865445673251543,0.004540251405604393
0.0009547716114208065,0.015283955674590288,0.004536550025135396
0.001059560179277617,0.017310509957383147,0.0045320647436629755
0.0011758495540521582,0.021261317082007736,0.004527519022739708
0.0013049019780144017,0.027414276231979784,0.004523647993459994
0.001448118227674533,0.03599469143193801,0.004521115181789251
0.0016070528182616384,0.047162217339518975,0.00452034540127472
0.0017834308769319094,0.06099963571841727,0.004521465106197138
0.0019791668678535573,0.07750400925385748,0.004524286867174733
0.002196385372416547,0.09658068157921207,0.004528331623623888
0.002437444150122222,0.11804049188128829,0.00453292751293158
0.002704959730463137,0.14160045295591317,0.004537318891270865
0.0030018358135755923,0.16688800778263158,0.004540808125808966
0.003331294787934677,0.1934488369860219,0.00454289351445242
0.0036969127071950323,0.22075804393944054,0.004543383174158986
0.00410265810582719,0.24823440191971713,0.0045424065345666936
0.004552935074866948,0.2752572148456238,0.004540460907468945
0.00505263106533568,0.3011852256900056,0.004538285143258403
0.005607169938205458,0.3253769099180772,0.004536787137055289
0.006222570836730231,0.3472114198627878,0.004536841574084125
0.006905513520162331,0.366109403308883,0.004539122275471248
0.007663410868007463,0.3815529079724911,0.004543960914134196
0.008504489341802686,0.39310360408364886,0.004551244922975062
0.009437878277775391,0.4004186094881561,0.004560402764200875
0.010473708979594508,0.4032632837785286,0.004570495272237306
0.011623224686798541,0.4015204669155992,0.004580367286553974
0.01289890261253308,0.3951957693245731,0.004588870211903369
0.014314589375234785,0.38441866920027223,0.004595104577052028
0.015885651294280528,0.3694393328333945,0.004598625235111932
0.01762914118095948,0.35062123840589265,0.0045995949470569834
0.01956398343517065,0.3284298462613151,0.0045988221551895156
0.021711179456945052,0.30341771227904246,0.004597646652943257
0.02409403560239527,0.2762065793835973,0.004597763851939301
0.026738416158399492,0.24746709956252744,0.004600872299913924
0.029673024081888724,0.2178969303276972,0.004608370116425664
0.032929712550971546,0.18819801146287318,0.004620948748967853
0.036543830709572546,0.1590538577568168,0.004638402461717758
0.040554607358408275,0.13110770006096573,0.00465958193876596
0.04500557675700498,0.10494227070580564,0.004682537124180349
0.0499450511585514,0.08106196175299374,0.00470485241150077
0.05542664520663107,0.05987798865089644,0.004724119573814666
0.06150985788580504,0.04169707179573834,0.004738465281673378
0.06826071834272393,0.02671400930762502,0.004747012960922508
0.0757525025877192,0.01500836186721699,0.00475017944848366
0.08406652885618333,0.006545311076138205,0.004749819972281925
0.09329304026284696,0.001180592981427253,0.004749032136185399
0.10353218432956637,-0.0013307453510833511,0.004751671445154604
0.11489510001873086,-0.0013221599634789527,0.0047616474289724365
0.1275051240713013,0.0007994875002168556,0.004782083929993158
0.1414991297434576,0.004571319623210002,0.00481446215438874
0.15702901247293774,0.00949343052570839,0.004858091478824186
0.17426333860096507,0.015048728771262176,0.004910040147335115
0.19338917504552322,0.02072287685655283,0.004965524786429571
0.21461411978584058,0.026023581081631164,0.005018784748065476
0.23816855519761607,0.03049852711615131,0.005064223330854911
0.2643081486974108,0.03375132461269459,0.005097576249706993
0.29331662783900486,0.03545491528552702,0.005117023328471027
0.32550885998350565,0.03536200888891017,0.005123929056499797
0.36123426997094304,0.03331223558666352,0.005123184655661117
0.40088063288984643,0.029235835998804305,0.005122835472563066
0.4448782831127585,0.023153846319189597,0.005133064393089044
0.4937047852839004,0.015174869755469444,0.005164233005020859
0.5478901179593945,0.005488652039161934,0.005224500325723243
0.6080224261649427,-0.0056432069332004176,0.005317429654277617
0.67475440531107,-0.017898975181367405,0.005440512428623418
0.748810385759003,-0.03091043581662234,0.005585076326464428
0.8309941949353403,-0.04427789412977745,0.005737764388230485
0.9221978823334341,-0.05758594636785119,0.005882992566953856
1.0234114021054528,-0.07041940275212255,0.00600591783022835
1.135733358343105,-0.08237877154766693,0.00609537726399953
1.2603829296797273,-0.09309474716195609,0.00614659127972054
1.3987131026472386,-0.10224120123643843,0.006163499840070466
