tau,gamma,sigma_gamma
1e-07,0.37110940417150573,1.247424300941937
1.1097524964120721e-07,0.3031649993992289,1.1563640605788965
1.2315506032928263e-07,0.21967825885957382,1.0506116731924073
1.3667163564620074e-07,0.1248369958137232,0.9362492456478332
1.5167168884709241e-07,0.023715754574254788,0.8209247930633093
1.6831803533309585e-07,-0.07799568412860935,0.7134624185026263
1.867913599020781e-07,-0.17433192237388084,0.6230142362585197
2.0729217795953698e-07,-0.25943899943183624,0.5571153799074191
2.300430119772917e-07,-0.327981984735743,0.5185139202751633
2.5529080682395163e-07,-0.37554186060236816,0.502928270755658
2.833096101839324e-07,-0.39896858101349153,0.5008184992501877
3.1440354715915e-07,-0.3966582531392078,0.502010407337662
3.489101213406774e-07,-0.36872654714420605,0.49911896578531123
3.872038781812557e-07,-0.3170575598076084,0.488477786861185
4.2970047043208437e-07,-0.24521697636464523,0.4696983483197993
4.768611697714474e-07,-0.1582297281739784,0.4448568719294859
5.291978735958437e-07,-0.06223442390137279,0.4176172773683216
5.872786613189477e-07,0.035961518393037295,0.39224172503946275
6.517339604882421e-07,0.1293920817839762,0.3724041566561242
7.232633896483533e-07,0.21146693242405945,0.35999381397331554
8.026433522257174e-07,0.27648477252773773,0.3545043300931215
8.907354638610439e-07,0.32008116056215385,0.3535101185093369
9.884959046625586e-07,0.339570850412656,0.35392426309239045
1.096985797892384e-06,0.33415330915011054,0.35320132248691405
1.217382727739662e-06,0.3049619018682961,0.3499767915985
1.3509935211980278e-06,0.2549511906835278,0.3441548431199926
1.499268432786047e-06,0.1886315397398448,0.3366397074884607
1.6638168860761274e-06,0.11167429214435742,0.3288685480503687
1.8464249428955464e-06,0.03042277355712031,0.3222630606739342
2.049074689815846e-06,-0.0486469379219443,0.3177396297480497
2.2739657523579273e-06,-0.11946704343631609,0.3154453662303445
2.523539170434766e-06,-0.17687258417549856,0.3148209741613739
2.800503894183631e-06,-0.21700605024818742,0.31492823199455267
3.107866187782014e-06,-0.2375974808682031,0.31485336313782836
3.4489622604057595e-06,-0.23809763414044482,0.3140086583942824
3.827494478516315e-06,-0.21965590654008338,0.3122534935784073
4.247571552536894e-06,-0.18494932125679497,0.30984447726050424
4.713753134116729e-06,-0.13788262038019639,0.3072688159166849
5.2310993080562585e-06,-0.08319095245860808,0.30503150177104976
5.805225516094895e-06,-0.025984770913623834,0.3034704570354164
6.44236350872137e-06,0.02871935439702611,0.3026603602866913
7.149428986597577e-06,0.07643853376168863,0.30242916341857534
7.934096665797492e-06,0.11359484576814793,0.30246318048691095
8.804883581643465e-06,0.1377869193997867,0.30244395986829
9.771241535346501e-06,0.14794117412986907,0.30215933756523017
1.0843659686896109e-05,0.1443341499680173,0.30155463911155383
1.2033778407775906e-05,0.128489702349043,0.3007192787711985
1.3354515629298974e-05,0.10296625966088868,0.29982628934658545
1.48202070579886e-05,0.07105880429446643,0.2990538883108534
1.6446761779946626e-05,0.03644695113086982,0.2985192497307953
1.8251834943190462e-05,0.002823983312737255,0.2982460228343306
2.0255019392306664e-05,-0.026458177208496636,0.2981717507185539
2.2478058335487252e-05,-0.04869615131315186,0.29818537344616663
2.4945081352303165e-05,-0.06206830247651851,0.2981753448372819
2.7682866303920665e-05,-0.06577563119765273,0.29806873181209065
3.072112998861759e-05,-0.06008106750005027,0.2978490446678426
3.409285069746814e-05,-0.04624724649210066,0.2975506515735358
3.783462617131933e-05,-0.026381761677328086,0.29723624126220616
4.1987070844439056e-05,-0.003206605491470782,0.2969684299606425
4.659525668664687e-05,0.020225542229297844,0.2967866724838357
5.170920242896755e-05,0.04084171319937013,0.2966968171347365
5.7384416483024044e-05,0.05585780230842374,0.2966747975692893
6.368249944718586e-05,0.06305939730867749,0.29668051273376983
7.067181273927492e-05,0.06103022528668589,0.2966749289550305
7.842822061337681e-05,0.0493090006009993,0.2966335948251719
8.703591361485166e-05,0.0284617042877926,0.29655238412541957
9.658832241158708e-05,6.345945371322159e-05,0.2964448823065058
0.00010718913192051276,-0.0334083622298067,0.29633392926126906
0.00011895340673703195,-0.06876092349551755,0.2962414304699381
0.0001320088400831418,-0.10233723578795662,0.29618041726518773
0.00014649713983072864,-0.13031141854554562,0.29615180091976895
0.0001625755666443795,-0.14900373951076062,0.2961461299224292
0.00018041864093920718,-0.15518963199423297,0.29614878970266917
0.00020022003718155845,-0.14637733087664628,0.29614611463222024
0.0002221946860939524,-0.12103129187869399,0.296130042257137
0.0002465811075822604,-0.07872298191409755,0.2960998946311377
0.0002736439997074672,-0.02019661087786062,0.2960611721124452
0.00030367711180354605,0.05265557137045107,0.29602234947015893
0.00033700643292719284,0.13690626652271476,0.2959911722501659
0.0003739937302478798,0.2287849354560194,0.295971893128371
0.0004150404757850477,0.32393248827270327,0.2959642617482183
0.00046059220411451084,0.41769792924708327,0.2959643424179484
0.0005111433483440171,0.5054529737013809,0.2959665401978128
0.0005672426068491978,0.5828998182170153,0.2959658986278529
0.0006294988990221888,0.6463486831739829,0.29595980166744595
0.0006985879746785249,0.6929452700634329,0.2959485514339234
0.0007752597488629464,0.7208334681764654,0.29593479207940554
0.000860346441668451,0.7292449140207964,0.29592215377485237
0.0009547716114208065,0.7185136392986351,0.29591370863232197
0.001059560179277617,0.6900203118329955,0.29591082863704504
0.0011758495540521582,0.646075813622474,0.2959128076860651
0.0013049019780144017,0.589757605588602,0.29591731157966833
0.001448118227674533,0.5247142145653925,0.2959214215825987
0.0016070528182616384,0.45495321825433166,0.2959228384002224
0.0017834308769319094,0.3846265279423733,0.2959208081706911
0.0019791668678535573,0.31782402358248873,0.29591641683929043
0.002196385372416547,0.2583832719487873,0.2959121625619127
0.002437444150122222,0.20971979403930163,0.2959109483670145
0.002704959730463137,0.1746797233934103,0.29591487245978176
0.0030018358135755923,0.15541513815560393,0.2959242632850742
0.003331294787934677,0.1532820542765876,0.29593737877125725
0.0036969127071950323,0.16876196740190608,0.2959509377121368
0.00410265810582719,0.20140960085541337,0.29596137438119346
0.004552935074866948,0.24983162380135582,0.29596639258517243
0.00505263106533568,0.3117028967171791,0.2959662223650245
0.005607169938205458,0.3838276263559237,0.29596399588845357
0.006222570836730231,0.4622521320029591,0.2959649435494597
0.006905513520162331,0.5424334267734139,0.29597453281956276
0.007663410868007463,0.6194634920984754,0.2959961418438229
0.008504489341802686,0.6883432951863142,0.2960291945343406
0.009437878277775391,0.7442939074392143,0.2960686535249571
0.010473708979594508,0.7830854080332301,0.29610638418992663
0.011623224686798541,0.8013586090523859,0.29613417920842167
0.01289890261253308,0.7969110078342965,0.2961474843173854
0.014314589375234785,0.7689175811799487,0.29614834464989004
0.015885651294280528,0.7180596036521365,0.29614609487094273
0.01762914118095948,0.6465407110815704,0.2961549995617207
0.01956398343517065,0.5579785985817125,0.29618918530767535
0.021711179456945052,0.4571722530683928,0.29625649590383535
0.02409403560239527,0.3497573144754824,0.2963537593805301
0.026738416158399492,0.24177463185742454,0.29646588780769884
0.029673024081888724,0.13918784304564724,0.29657008850853406
0.032929712550971546,0.04739347298618668,0.29664446386080373
0.036543830709572546,-0.029229490506168077,0.2966782102395439
0.040554607358408275,-0.0876850006488894,0.29667927100113767
0.04500557675700498,-0.12660123012642543,0.2966755093619773
0.0499450511585514,-0.14631964398449782,0.2967073668783572
