tau,gamma,sigma_gamma
1e-07,0.8065005976899897,1.091004223956248
1.1097524964120721e-07,0.7790800390312711,0.97714670085729
1.2315506032928263e-07,0.7164652007028849,0.8560335918583951
1.3667163564620074e-07,0.623276571581016,0.7360738772279071
1.5167168884709241e-07,0.5058257054748196,0.6268839300367788
1.6831803533309585e-07,0.37175923633731145,0.5383144372038362
1.867913599020781e-07,0.22959085881177543,0.47790851978415705
2.0729217795953698e-07,0.08815198776386524,0.44675884798518817
2.300430119772917e-07,-0.04399896671833403,0.43749905057184346
2.5529080682395163e-07,-0.15916263204340453,0.43816187882844265
2.833096101839324e-07,-0.2510317526129029,0.43813598730853454
3.1440354715915e-07,-0.3151253456698271,0.43106493393161094
3.489101213406774e-07,-0.3490848015936763,0.41484719268937575
3.872038781812557e-07,-0.3528037685204026,0.39067652230333005
4.2970047043208437e-07,-0.3283778744732615,0.36201769169786585
4.768611697714474e-07,-0.2798764967394334,0.33357562228248877
5.291978735958437e-07,-0.21295530621659964,0.31003304117188235
5.872786613189477e-07,-0.13434349317176952,0.29448596966270313
6.517339604882421e-07,-0.05125178933261054,0.2871817368227672
7.232633896483533e-07,0.029244732428708176,0.2856233853738085
8.026433522257174e-07,0.10079252036871367,0.286111320640147
8.907354638610439e-07,0.15826060909614625,0.2854706171069735
9.884959046625586e-07,0.19811198974406352,0.28198322632969297
1.096985797892384e-06,0.2186135777905065,0.2755133537874697
1.217382727739662e-06,0.21986953283027333,0.26716165384027674
1.3509935211980278e-06,0.2036806715620969,0.25867518842242804
1.499268432786047e-06,0.17325028884431504,0.25174226948585
1.6638168860761274e-06,0.13277194836166473,0.24735056762244328
1.8464249428955464e-06,0.08694605747541573,0.24546989834024324
2.049074689815846e-06,0.040478075283999715,0.24521918420401612
2.2739657523579273e-06,-0.00238861744105634,0.24538164525384865
2.523539170434766e-06,-0.03825780140016377,0.24494401770512522
2.800503894183631e-06,-0.06484683620919895,0.24342026735175507
3.107866187782014e-06,-0.08111239080108135,0.24090615909315696
3.4489622604057595e-06,-0.08723016090709734,0.23792259784612765
3.827494478516315e-06,-0.08444007045432045,0.23514048334298795
4.247571552536894e-06,-0.07478342940180482,0.23309248928701023
4.713753134116729e-06,-0.06076990892461254,0.23197899854304307
5.2310993080562585e-06,-0.04501870082458481,0.23163904686614242
5.805225516094895e-06,-0.029919160359213492,0.23167734777322735
6.44236350872137e-06,-0.0173515893578724,0.23166410877115792
7.149428986597577e-06,-0.008499289318251613,0.23130746138441102
7.934096665797492e-06,-0.003769897812162526,0.23053610546102768
8.804883581643465e-06,-0.0028290536290569435,0.22948152968581306
9.771241535346501e-06,-0.004734575675684027,0.2283870482565137
1.0843659686896109e-05,-0.008146514779809877,0.22749004473852644
1.2033778407775906e-05,-0.011579291143334558,0.22692644766938225
1.3354515629298974e-05,-0.013657808124889925,0.22669215534637555
1.48202070579886e-05,-0.013340427680077482,0.2266683539574788
1.6446761779946626e-05,-0.010077776064008503,0.22668911009889026
1.8251834943190462e-05,-0.003886601108206378,0.22661521167443904
2.0255019392306664e-05,0.00466916221239444,0.2263831572508075
2.2478058335487252e-05,0.01458419371670061,0.22601492988224592
2.4945081352303165e-05,0.02458589202933581,0.22559243273200016
2.7682866303920665e-05,0.03334849144107466,0.2252130710427633
3.072112998861759e-05,0.039713466309422074,0.22494715082895259
3.409285069746814e-05,0.042882100757196895,0.224813773190709
3.783462617131933e-05,0.04255076596109575,0.22478177623467607
4.1987070844439056e-05,0.03896845899885193,0.22479090238589633
4.659525668664687e-05,0.032908165289427416,0.2247808400611494
5.170920242896755e-05,0.0255568180427872,0.2247149045958605
5.7384416483024044e-05,0.018341068264362548,0.2245898711042914
6.368249944718586e-05,0.012715883678083628,0.22443067247146706
7.067181273927492e-05,0.00994868709972252,0.22427488411233695
7.842822061337681e-05,0.010932458748357021,0.2241550131359191
8.703591361485166e-05,0.016056841003774025,0.2240860544760607
9.658832241158708e-05,0.025157445232707687,0.22406238059085806
0.00010718913192051276,0.037551591382907645,0.22406354082473517
0.00011895340673703195,0.05215541609823049,0.22406497043255794
0.0001320088400831418,0.06766467910279061,0.22404841478809218
0.00014649713983072864,0.08277160292277586,0.2240079001386992
0.0001625755666443795,0.09638423389219497,0.22394971855502738
0.00018041864093920718,0.10781402840598275,0.2238875157243381
0.00020022003718155845,0.11690179854463167,0.2238353615177741
0.0002221946860939524,0.12406115627982217,0.22380192382096406
0.0002465811075822604,0.13023083996608875,0.22378786003500922
0.0002736439997074672,0.1367409574870635,0.22378690908183313
0.00030367711180354605,0.14511120006955025,0.22378954251175154
0.00033700643292719284,0.15680948602266653,0.22378725502592078
0.0003739937302478798,0.17300577387095473,0.2237757010800268
0.0004150404757850477,0.19435694268850057,0.2237556129482728
0.00046059220411451084,0.2208545612402304,0.22373157292273319
0.0005111433483440171,0.2517586482729257,0.22370951228133398
0.0005672426068491978,0.28562848849560396,0.22369411421653376
0.0006294988990221888,0.32044800331277656,0.22368716865485952
0.0006985879746785249,0.3538300813920614,0.22368730661453096
0.0007752597488629464,0.38327354773582556,0.22369097844045566
0.000860346441668451,0.4064395981963571,0.2236941039124478
0.0009547716114208065,0.4214124455820638,0.22369365924305454
0.001059560179277617,0.4269117764229122,0.22368864723056767
0.0011758495540521582,0.4224318276769736,0.22368022889928707
