tau,gamma,sigma_gamma
1e-07,0.12113495665948903,0.12909471844541898
1.1097524964120721e-07,0.09752544490606851,0.08052856369382155
1.2315506032928263e-07,0.07136896488816546,0.0527823446623934
1.3667163564620074e-07,0.04437450966599954,0.04020483021692556
1.5167168884709241e-07,0.018253571553486836,0.03667196153078933
1.6831803533309585e-07,-0.005395963296791706,0.036824516708808375
1.867913599020781e-07,-0.025201930870366596,0.036877898720337754
2.0729217795953698e-07,-0.0401165761172706,0.03490196603128837
2.300430119772917e-07,-0.049492807964725216,0.03061317734678326
2.5529080682395163e-07,-0.053130352384869184,0.024835398651493534
2.833096101839324e-07,-0.05128632282549006,0.018840102968074035
3.1440354715915e-07,-0.04464763987357401,0.01376783298453077
3.489101213406774e-07,-0.034266141051148225,0.010267531001108665
3.872038781812557e-07,-0.021460822215431108,0.008400407719410197
4.2970047043208437e-07,-0.007695085641444166,0.007765937593010364
4.768611697714474e-07,0.005560240926797633,0.00775098676036734
5.291978735958437e-07,0.01696536052349984,0.0077872248104178254
5.872786613189477e-07,0.025437885475184885,0.007526410909452608
6.517339604882421e-07,0.03025416057334951,0.006892929357309896
7.232633896483533e-07,0.031114549975427508,0.006025142671365558
8.026433522257174e-07,0.028165013903162617,0.005153718201317048
8.907354638610439e-07,0.021971647671307437,0.0044782381431396345
9.884959046625586e-07,0.013449827061776887,0.004088794427996589
1.096985797892384e-06,0.0037546789712905593,0.003952209250371652
1.217382727739662e-06,-0.00585580232564098,0.003953096458090499
1.3509935211980278e-06,-0.014170111773637473,0.003959777072164883
1.499268432786047e-06,-0.020168148639186256,0.0038822595014273986
1.6638168860761274e-06,-0.023144613286604,0.0036997416613182565
1.8464249428955464e-06,-0.022795659226176213,0.00345240874668562
2.049074689815846e-06,-0.01925734541418933,0.003208691960256971
2.2739657523579273e-06,-0.013089792463688354,0.003027546068700815
2.523539170434766e-06,-0.005207338256695948,0.002932679329848753
2.800503894183631e-06,0.003238308824620617,0.0029085614954560413
3.107866187782014e-06,0.011008720744030143,0.0029146155344683677
3.4489622604057595e-06,0.01694511743471594,0.002908413765020157
3.827494478516315e-06,0.020129487025769777,0.0028651567892268304
4.247571552536894e-06,0.020019125423459627,0.0027852675686901307
4.713753134116729e-06,0.01653561110742885,0.0026891497784191642
5.2310993080562585e-06,0.010094176079292083,0.0026033666565403735
5.805225516094895e-06,0.0015665082373743644,0.002546931677454012
6.44236350872137e-06,-0.007821550880180439,0.0025233321975086653
7.149428986597577e-06,-0.01664717452149489,0.00252151198440842
7.934096665797492e-06,-0.02348435228032031,0.002523591691772964
8.804883581643465e-06,-0.027109985650895396,0.0025142827132320633
9.771241535346501e-06,-0.026694661787587393,0.002487704013059755
1.0843659686896109e-05,-0.021950683020804718,0.0024485078141793792
1.2033778407775906e-05,-0.013213822444413381,0.002407482030680086
1.3354515629298974e-05,-0.0014426261323023937,0.002375570033279928
1.48202070579886e-05,0.011870829593135568,0.0023580923285635436
1.6446761779946626e-05,0.024873131708773144,0.0023533960145769584
1.8251834943190462e-05,0.03558723964761157,0.002354518948582296
2.0255019392306664e-05,0.0421878568295142,0.002353476587650505
2.2478058335487252e-05,0.043279131796225556,0.0023451600940447292
2.4945081352303165e-05,0.03813606206858822,0.00232942614628584
2.7682866303920665e-05,0.026872654967519338,0.0023101493780437465
3.072112998861759e-05,0.010506747460567567,0.0022927863122070846
3.409285069746814e-05,-0.009097081644540594,0.0022813247820252514
3.783462617131933e-05,-0.029410007001388294,0.0022766251903227896
4.1987070844439056e-05,-0.04753347449877765,0.0022763553701210526
4.659525668664687e-05,-0.06057575785962399,0.002276744492505145
5.170920242896755e-05,-0.06606650536105008,0.0022746380924338894
5.7384416483024044e-05,-0.062355797635063936,0.0022685948379113086
6.368249944718586e-05,-0.04894111050361971,0.002259886850932702
7.067181273927492e-05,-0.026669729210880178,0.002250853184815327
7.842822061337681e-05,0.002224307912911172,0.0022439643847071977
8.703591361485166e-05,0.03427161164836434,0.0022402797251928064
9.658832241158708e-05,0.06510729604997323,0.002239451960175387
0.00010718913192051276,0.08997446301054879,0.0022397246001197857
0.00011895340673703195,0.10434247081866488,0.002239412774997618
0.0001320088400831418,0.1045712185677985,0.0022373419837400377
0.00014649713983072864,0.08853979449759208,0.0022336028754388337
0.0001625755666443795,0.056154255828914756,0.002229149085451354
0.00018041864093920718,0.009656284662924008,0.002225294143475054
0.00020022003718155845,-0.046328000279572734,0.0022228658677967417
0.0002221946860939524,-0.10503304913072498,0.002222009842327566
0.0002465811075822604,-0.15809333753713872,0.0022220923930191816
0.0002736439997074672,-0.19634163149339656,0.0022221795889301177
0.00030367711180354605,-0.21079549702881195,0.0022215673116967594
0.00033700643292719284,-0.19373236471756172,0.0022200654063304626
0.0003739937302478798,-0.1397341544216033,0.002218014296733628
0.0004150404757850477,-0.046576066427860496,0.002216061587507312
0.00046059220411451084,0.08415765335803371,0.0022146588001028533
0.0005111433483440171,0.24682536138197975,0.0022141077781334673
0.0005672426068491978,0.43190584378589847,0.0022141804874422633
0.0006294988990221888,0.6266161157459464,0.0022143842176411965
0.0006985879746785249,0.8159334648130425,0.0022142833594109845
0.0007752597488629464,0.9839375690189627,0.0022137095188980993
0.000860346441668451,1.1153469622304328,0.002212819575209579
0.0009547716114208065,1.1970947001573222,0.0022119666146345196
0.001059560179277617,1.219774919176416,0.0022114267478450245
0.0011758495540521582,1.178797325740561,0.0022113673991022154
0.0013049019780144017,1.0751108221120376,0.0022116659440207798
0.001448118227674533,0.9153983899950617,0.0022120567369832145
0.0016070528182616384,0.7116990034555783,0.0022121549832512244
0.0017834308769319094,0.48047300275084126,0.0022119677684457884
0.0019791668678535573,0.24118831145460717,0.0022115946379521745
0.002196385372416547,0.014559152207766601,0.002211363982240755
0.002437444150122222,-0.17938987519937655,0.0022114584047692176
0.002704959730463137,-0.3232383716322147,0.002212080787884929
0.0030018358135755923,-0.4038654001124087,0.002212947741416116
0.003331294787934677,-0.4137472397615056,0.0022138131461488797
0.0036969127071950323,-0.35171912289115426,0.0022142477110627112
0.00410265810582719,-0.22311782602628227,0.002214261823127117
0.004552935074866948,-0.039286992610868765,0.0022140954614471298
0.00505263106533568,0.18350554029166233,0.0022140955729632594
0.005607169938205458,0.42562692432966287,0.002214761649920405
0.006222570836730231,0.6659534675354735,0.0022162800960252582
0.006905513520162331,0.8838660132423684,0.002218315767386514
0.007663410868007463,1.0611618417751743,0.002220317714201059
0.008504489341802686,1.183689910366411,0.002221638007490867
0.009437878277775391,1.2425486618985815,0.0022220920840680947
0.010473708979594508,1.234735061111678,0.002221927038771554
0.011623224686798541,1.1631941485493371,0.002221953655048736
0.01289890261253308,1.0362832242881268,0.002223126507299611
0.014314589375234785,0.8667264129417163,0.0022258085411870354
0.015885651294280528,0.6701869612279552,0.0022298682388601776
0.01762914118095948,0.4636206373015739,0.0022343209308637313
0.01956398343517065,0.26359043602587917,0.0022377469941723405
0.021711179456945052,0.08471916408052493,0.0022394469417257312
0.02409403560239527,-0.06156648986507207,0.0022396156076460727
0.026738416158399492,-0.16788576959334023,0.0022393628907657614
0.029673024081888724,-0.23128282866946392,0.002240639197154337
0.032929712550971546,-0.25312483921698004,0.002244912359184781
0.036543830709572546,-0.23856221316691517,0.0022523494200328287
0.040554607358408275,-0.19563926318642189,0.0022615426308441045
0.04500557675700498,-0.1341764916678585,0.0022698712441204805
0.0499450511585514,-0.06456294488179992,0.0022751961931994913
0.05542664520663107,0.0034024298583972268,0.002276747983458449
0.06150985788580504,0.061496835773141356,0.002276161661288967
0.06826071834272393,0.10379197894144454,0.0022770037279151722
0.0757525025877192,0.1270470984345593,0.0022828867719830725
0.08406652885618333,0.13076058698061388,0.0022955880184483135
0.09329304026284696,0.1169045605474821,0.002313731414307796
0.10353218432956637,0.08940139551759785,0.0023327728658379954
0.11489510001873086,0.05342642349751259,0.002347291920393957
0.1275051240713013,0.01463433003937098,0.002354046566541257
0.1414991297434576,-0.021592403668364568,0.002354234468061378
0.15702901247293774,-0.050785630561222206,0.0023535611659362132
0.17426333860096507,-0.06985737151080684,0.002360261907028871
0.19338917504552322,-0.07734938183057238,0.002380459635411114
0.21461411978584058,-0.07345602037275967,0.0024147879733114053
0.23816855519761607,-0.05983839352757059,0.002456322835662661
0.2643081486974108,-0.039271653189643985,0.0024938928506372804
0.29331662783900486,-0.015184160334683838,0.0025172918454501314
0.32550885998350565,0.00884448653232539,0.0025236853735997045
