tau,gamma
1.5915494309189534e-08,238.73796952488507
1.7867812560421838e-08,253.5800164984804
2.0059617344717335e-08,269.37155951073964
2.252028594187271e-08,286.17611169683346
2.5282799277189108e-08,304.06171693902365
2.8384183972642706e-08,323.1013010201218
3.1866008623488106e-08,343.37305264700296
3.577494095200778e-08,364.96083712581503
4.0163373306071395e-08,387.95464575100345
4.509012488621082e-08,412.4510842810919
5.062123011332682e-08,438.55390421881367
5.683082370370718e-08,466.37458099566703
6.380213431422649e-08,496.0329435857228
7.162860007579055e-08,527.657860545615
8.041512096678426e-08,561.3879880028219
9.027946481238243e-08,597.3725856990932
1.0135384575466524e-07,635.7724078475837
1.1378669635014843e-07,676.7606762893566
1.2774465704657216e-07,720.5241442470152
1.4341480970437763e-07,767.2642598813627
1.6100718509929065e-07,817.1984398737932
1.8075757801466409e-07,870.5614643972006
2.029307076549301e-07,927.6070061183395
2.278237657399342e-07,988.6093073143339
2.5577039983610107e-07,1053.8650208080294
2.871451853139662e-07,1123.6952322576049
3.2236864587078037e-07,1198.447683406193
3.6191288990944486e-07,1278.4992182435915
4.063079383195007e-07,1364.2584766972775
4.561488284729229e-07,1456.168863504563
5.121035896512623e-07,1554.7118233820718
5.74922196800678e-07,1660.4104575744811
6.454466226241629e-07,1773.8335214176363
7.246221227415433e-07,1895.5998477948708
8.135099051749279e-07,2026.3832474241942
9.133013539717295e-07,2166.9179439387394
1.025333997607853e-06,2318.0046098968737
1.15110943619935e-06,2480.5170794054993
1.2923134678052121e-06,2655.4098242347363
1.450838683578916e-06,2843.7262934820146
1.6288098346169018e-06,3046.6082324258905
1.8286123105018771e-06,3265.3061147123676
2.0529241112456025e-06,3501.1908440841594
2.304751741158771e-06,3755.7669083034825
2.587470505741883e-06,4030.6871997455596
2.9048697517061447e-06,4327.76975563447
3.261203656486841e-06,4649.016717677718
3.661248247993413e-06,4996.635868002307
4.110365418845124e-06,5373.06516845073
4.614574793090707e-06,5781.000816874088
5.180634408658257e-06,6223.429441473516
5.816131296941888e-06,6703.665188240022
6.529583173584297e-06,7225.392624647917
7.330552603441569e-06,7792.716594887032
8.229775169909627e-06,8410.220431221387
9.23930336649704e-06,9083.034270108279
1.0372668139256173e-05,9816.915664136626
1.1645060245265305e-05,10618.345253710597
1.3073533857951263e-05,11494.64100954772
1.4677235148224411e-05,12454.095538958392
1.647765890515174e-05,13506.14224971228
1.849893663571733e-05,14661.557903455554
2.0768160005138393e-05,15932.71143427752
2.331574395288505e-05,17333.87209869378
2.6175834351333675e-05,18881.59441206529
2.938676567099965e-05,20595.20342992681
3.2991574786545186e-05,22497.412521294063
3.703857781022617e-05,24615.11802021484
4.158201768421365e-05,26980.432821721442
4.668279121162341e-05,29632.046903868235
5.240926527082344e-05,32617.041350238404
5.8838193152932947e-05,35993.34091132947
6.605574330440243e-05,39833.080374809164
7.41586542631553e-05,44227.302133337434
8.325553126817479e-05,49292.63121966215
9.34683019213017e-05,55180.951830378384
0.00010493385041182426,62093.74993704272
0.00011780585220775954,70303.9061008521
0.00013225683380462935,80189.74634488164
0.00014848048513903294,92289.95925738255
0.00016669425566084373,107395.44001977204
0.00018714226885980175,126709.48216641365
0.00021009859431059567,152141.27843970622
0.00023587092109242816,186876.07740415074
0.0002648046818187811,236563.9855299041
0.0002972876825527304,312024.7685638491
0.0003337553006636634,436119.07827936596
0.00037469632029350715,663881.9886932998
0.00042065948364660636,1153691.9231065868
0.0004722608459117441,2482952.73537618
0.0005301920323960711,6899935.457318512
0.0005952295085432703,8567135.42782609
0.000668244987084209,3142757.488332635
0.0007502171118095913,1409527.764714063
0.000842244574564987,828732.2826015693
0.0009455608412784363,587626.6718863229
0.001061550684397074,476290.2765557846
0.0011917687433209434,425917.74122134305
0.0013379603616039037,409341.10876176
0.0015020849802075775,414170.69621066994
0.0016863424003536755,433734.8327906647
0.0018932022679819418,463257.7411794105
0.0021254371750009096,497850.7894521274
0.0023861598209953846,531496.8445346457
0.0026788647334778496,557215.4568109153
0.0030074751058702166,568702.1322331489
0.003376395380996514,562778.7052305969
0.003790570284875552,540822.2654807355
0.004255551102057486,507845.5886484517
0.004777570080808367,470011.9549651736
0.005363623965413007,432470.49061397894
0.006021567775199462,398492.545879098
0.0067602200872276435,369639.9305142787
0.007589481233770937,346318.6331413317
0.00852046599881972,328300.9715847792
0.009565652592169526,315083.0029319121
0.010739049897828902,306088.81705592305
0.012056385238417105,300771.3530105195
0.01353531517220237,298653.5841242612
0.01519566214814357,299338.98415875284
0.017059680190878886,302507.87035739963
0.01915235317670053,307908.3321968127
0.021501729698379143,315345.9697634016
0.02413929900711065,324674.29572687787
0.027100413070424708,335786.4742246809
0.030424760402997054,348608.5189649101
0.034156898021232666,363093.84039388224
0.0383468486515332,379218.9533121544
0.04305077119677292,396980.1479074037
0.04833171344740451,416390.9473883142
0.05426045712596027,437480.20465426665
0.06091646659128078,460290.7200421781
0.06838895391817905,484878.2887865734
0.07677807462805569,511311.1095282929
0.08619627009712638,539669.504216596
0.09676977463487758,570045.9156960731
0.10864030743248122,602545.1629005729
0.12196697205875401,637284.9456361635
0.13692838896305695,674396.6021333968
0.1537250895675778,714026.1335696069
0.17258220403758295,756335.5212948933
0.19375247875446222,801504.3752846099
0.21751966393547334,849731.9672452812
0.24420231680525822,901239.7198739783
0.27415807129394165,956274.2463718377
0.30778843148958834,1015111.0632566585
0.34554415309280173,1078059.1373021486
0.3879312850023754,1145466.4775540163
0.43551795200880566,1217727.0508398993
0.4889419695057153,1295289.3912720769
0.5489193922809734,1378667.4016754313
0.6162541119689893,1468454.0237754222
0.6918486318011088,1565338.7089695437
0.7767161630706536,1670129.990887225
0.8719942054443924,1783785.005534168
0.9789597931405871,1907448.623316954
1.0990466113217496,2042506.1137438887
1.2338642121171932,2190655.2382896515
1.3852195878322835,2354006.8526623934
1.5551413904952367,2535228.3928670534
1.7459071223618012,2737753.7126370836
1.9600736618185912,2966098.9692734843
2.2005115338310697,3226354.529281541
2.4704433842709874,3526982.336851677
2.773487173804034,3880172.4270787323
3.1137046702753675,4304291.8867368875
3.4956558895482757,4828649.874549588
3.924460214479118,5503720.792102505
4.40586501122105,6426215.78272311
4.946322662536721,7813934.380780356
5.553077050616192,10316133.186440127
6.234260648549262,17740396.57235468
6.999003521792896,365.70913488975407
7.857555700605556,333.1355090970445
8.82142456363606,303.47427487788934
9.903529074050875,276.4633909988924
11.118372935464329,251.86464715729733
12.482238988520601,229.46145654440446
14.013407453672322,209.05685932534715
15.732400945314113,190.47171584774415
17.66225954125525,173.5430706840307
19.828849594351112,158.12267063145703
22.261210425371008,144.07562157590976
24.99194354390693,131.27917070193374
28.057649614146005,119.6216019278796
31.499419022259765,109.00123368484394
35.36338262060462,99.32550926036936
39.7013300304851,90.51017090965443
44.5714037907428,82.47850981274156
50.03887865600455,75.16068473847052
56.17703648971452,68.49310297574723
63.068148478343396,62.41785771948996
70.80457783163132,56.88221666067559
79.4900177486105,51.83815703456358
89.24088124216779,47.24194283469574
100.18786145028722,43.053740308309045
112.47768334720406,39.23726821619729
126.27507033305963,35.75947967120729
141.76495206073776,32.59027266822368
159.15494309189532,29.702226688109672
