,tau,gamma,ftp
0,1e-07,0.00011817136218897131,2.9653772387107032e-06
1,1.1097524964120721e-07,0.00012844928042747518,3.223011252968925e-06
2,1.2315506032928263e-07,0.00013962219391599798,3.503029365647935e-06
3,1.3667163564620074e-07,0.00015176823358020077,3.8073765044606877e-06
4,1.5167168884709241e-07,0.0001649723863911069,4.138166611866516e-06
5,1.6831803533309585e-07,0.00017932710340055023,4.4976973365394454e-06
6,1.867913599020781e-07,0.00019493296285884318,4.888466002612816e-06
7,2.0729217795953698e-07,0.00021189939361219553,5.313186967966551e-06
8,2.300430119772917e-07,0.00023034546450449665,5.774810492535883e-06
9,2.5529080682395163e-07,0.000250400746094881,6.276543248185947e-06
10,2.833096101839324e-07,0.00027220625165677115,6.821870613189224e-06
11,3.1440354715915e-07,0.00029591546515483994,7.414580906845775e-06
12,3.489101213406774e-07,0.00032169546471379727,8.058791733390128e-06
13,3.872038781812557e-07,0.00034972815100901556,8.758978619129133e-06
14,4.2970047043208437e-07,0.00038021159103751866,9.520006142862332e-06
15,4.768611697714474e-07,0.00041336148888468155,1.0347161777165121e-05
16,5.291978735958437e-07,0.00044941279640569524,1.1246192677193108e-05
17,5.872786613189477e-07,0.0004886214782129382,1.2223345674434626e-05
18,6.517339604882421e-07,0.0005312664470260055,1.328541075544793e-05
19,7.232633896483533e-07,0.0005776516873296666,1.4439768330238223e-05
20,8.026433522257174e-07,0.0006281085874307305,1.5694440621740363e-05
21,8.907354638610439e-07,0.0006829985024480906,1.705814753707355e-05
22,9.884959046625586e-07,0.0007427155735583861,1.854036741304689e-05
23,1.096985797892384e-06,0.0008076898320085672,2.0151403063056954e-05
24,1.217382727739662e-06,0.0008783906200620054,2.1902453590293934e-05
25,1.3509935211980278e-06,0.0009553303652444198,2.3805692473352744e-05
26,1.499268432786047e-06,0.001039068749091991,2.587435247524564e-05
27,1.6638168860761274e-06,0.0011302173171860842,2.8122817975781495e-05
28,1.8464249428955464e-06,0.001229444583717062,3.056672538070283e-05
29,2.049074689815846e-06,0.0013374816913090145,3.3223072319270876e-05
30,2.2739657523579273e-06,0.001455128695543321,3.611033640563973e-05
31,2.523539170434766e-06,0.0015832615537633918,3.9248604408860066e-05
32,2.800503894183631e-06,0.0017228399095926337,4.2659712752293295e-05
33,3.107866187782014e-06,0.0018749157784723688,4.636740034620707e-05
34,3.4489622604057595e-06,0.0020406432558125907,5.039747484807078e-05
35,3.827494478516315e-06,0.002221289388512495,5.4777993544348336e-05
36,4.247571552536894e-06,0.002418246373214944,5.9539460156249876e-05
37,4.713753134116729e-06,0.002633045271395498,6.471503899090898e-05
38,5.2310993080562585e-06,0.0028673714630880953,7.034078798986213e-05
39,5.805225516094895e-06,0.0031230820987359657,7.645591236971596e-05
40,6.44236350872137e-06,0.0034022258535753376,8.310304070679086e-05
41,7.149428986597577e-06,0.0037070653426445415,9.032852548985755e-05
