tau,gamma
1e-07,0.0010065892750486982
1.1097524964120721e-07,0.0010603899486604285
1.2315506032928263e-07,0.001117066254147418
1.3667163564620074e-07,0.0011767719046531851
1.5167168884709241e-07,0.0012396688317795862
1.6831803533309585e-07,0.001305927625321718
1.867913599020781e-07,0.0013757279965861283
2.0729217795953698e-07,0.0014492592665664207
2.300430119772917e-07,0.0015267208803206947
2.5529080682395163e-07,0.0016083229489698757
2.833096101839324e-07,0.001694286820814911
3.1440354715915e-07,0.0017848456831545902
3.489101213406774e-07,0.0018802451964745643
3.872038781812557e-07,0.001980744162772466
4.2970047043208437e-07,0.0020866152298842262
4.768611697714474e-07,0.0021981456337832406
5.291978735958437e-07,0.0023156379809374504
5.872786613189477e-07,0.002439411072930254
6.517339604882421e-07,0.002569800775679989
7.232633896483533e-07,0.0027071609357304485
8.026433522257174e-07,0.002851864346231968
8.907354638610439e-07,0.0030043037653902415
9.884959046625586e-07,0.0031648929903289806
1.096985797892384e-06,0.0033340679894940098
1.217382727739662e-06,0.0035122880969216544
1.3509935211980278e-06,0.003700037271904722
1.499268432786047e-06,0.003897825427816662
1.6638168860761274e-06,0.004106189834100446
1.8464249428955464e-06,0.00432569659569545
2.049074689815846e-06,0.004556942214465448
2.2739657523579273e-06,0.00480055523750695
2.523539170434766e-06,0.005057197997561752
2.800503894183631e-06,0.005327568451135729
3.107866187782014e-06,0.005612402120340386
3.4489622604057595e-06,0.005912474144930467
3.827494478516315e-06,0.006228601451514833
4.247571552536894e-06,0.006561645047475919
4.713753134116729e-06,0.006912512447752501
5.2310993080562585e-06,0.007282160243330053
5.805225516094895e-06,0.007671596821053393
6.44236350872137e-06,0.008081885245238007
7.149428986597577e-06,0.008514146312525317
7.934096665797492e-06,0.008969561792517098
8.804883581643465e-06,0.009449377867955836
9.771241535346501e-06,0.009954908789611869
1.0843659686896109e-05,0.010487540762621395
1.2033778407775906e-05,0.011048736082821272
1.3354515629298974e-05,0.011640037543683314
1.48202070579886e-05,0.012263073136803882
1.6446761779946626e-05,0.012919561071603084
1.8251834943190462e-05,0.013611315142991447
2.0255019392306664e-05,0.01434025047933605
2.2478058335487252e-05,0.015108389707189251
2.4945081352303165e-05,0.015917869574021633
2.7682866303920665e-05,0.016770948075747565
3.072112998861759e-05,0.01767001214227836
3.409285069746814e-05,0.018617585941850548
3.783462617131933e-05,0.019616339873648653
4.1987070844439056e-05,0.020669100328507276
4.659525668664687e-05,0.02177886030951689
5.170920242896755e-05,0.02294879101850935
5.7384416483024044e-05,0.024182254531074792
6.368249944718586e-05,0.02548281770245126
7.067181273927492e-05,0.026854267469945584
7.842822061337681e-05,0.028300627745214597
8.703591361485166e-05,0.029826178122675153
9.658832241158708e-05,0.03143547466962252
0.00010718913192051276,0.033133373110701254
0.00011895340673703195,0.034925054775894714
0.0001320088400831418,0.03681605574930919
0.00014649713983072864,0.0388122997383973
0.0001625755666443795,0.040920135283255825
0.00018041864093920718,0.04314637804751045
0.00020022003718155845,0.04549835908149781
0.0002221946860939524,0.04798398013193916
0.0002465811075822604,0.05061177729906414
0.0002736439997074672,0.05339099462385994
0.00030367711180354605,0.056331669540071926
0.00033700643292719284,0.05944473256789043
0.0003739937302478798,0.06274212418565785
0.0004150404757850477,0.06623693252820158
0.00046059220411451084,0.06994355647386599
0.0005111433483440171,0.07387789986282124
0.0005672426068491978,0.07805760412736144
0.0006294988990221888,0.0825023286365893
0.0006985879746785249,0.08723409074006044
0.0007752597488629464,0.09227768108918274
0.000860346441668451,0.09766117468352238
0.0009547716114208065,0.10341656475988992
0.001059560179277617,0.10958055589689972
0.0011758495540521582,0.11619556572164834
0.0013049019780144017,0.12331100317439525
0.001448118227674533,0.130984918207949
0.0016070528182616384,0.1392861575120197
0.0017834308769319094,0.14829722056879083
0.0019791668678535573,0.15811810205407123
0.002196385372416547,0.16887155077689756
0.002437444150122222,0.18071040803142704
0.002704959730463137,0.19382807496624793
0.0030018358135755923,0.20847382317354138
0.003331294787934677,0.22497584929308634
0.0036969127071950323,0.2437771887269946
0.00410265810582719,0.26549395517221785
0.004552935074866948,0.2910144675054428
0.00505263106533568,0.32167830552576226
0.005607169938205458,0.35962492574529703
0.006222570836730231,0.40854216634420704
0.006905513520162331,0.4755036144362308
0.007663410868007463,0.5764611003711436
0.008504489341802686,0.7590659172667408
0.009437878277775391,1.3042838872012432
0.010473708979594508,0.0
0.011623224686798541,0.0
0.01289890261253308,0.0
0.014314589375234785,0.0
0.015885651294280528,0.0
0.01762914118095948,0.0
0.01956398343517065,0.0
0.021711179456945052,0.0
0.02409403560239527,0.0
0.026738416158399492,0.0
0.029673024081888724,0.0
0.032929712550971546,0.0
0.036543830709572546,0.0
0.040554607358408275,0.0
0.04500557675700498,0.0
0.0499450511585514,0.0
0.05542664520663107,0.0
0.06150985788580504,0.0
0.06826071834272393,0.0
0.0757525025877192,0.0
0.08406652885618333,0.0
0.09329304026284696,0.0
0.10353218432956637,0.0
0.11489510001873086,0.0
0.1275051240713013,0.0
0.1414991297434576,0.0
0.15702901247293774,0.0
0.17426333860096507,0.0
0.19338917504552322,0.0
0.21461411978584058,0.0
0.23816855519761607,0.0
